Sternbild,RA_start,Dec_start,RA_end,Dec_end
And,354.39125,46.46,355.10208,44.33
And,355.10208,44.33,354.53417,43.27
And,354.53417,43.27,345.48042,42.33
And,345.48042,42.33,354.53417,43.27
And,354.53417,43.27,4.58208,36.79
And,4.58208,36.79,9.83208,30.86
And,9.83208,30.86,2.09708,29.09
And,2.09708,29.09,9.83208,30.86
And,9.83208,30.86,9.63875,29.31
And,9.63875,29.31,11.83458,24.27
And,11.83458,24.27,9.63875,29.31
And,9.63875,29.31,9.83208,30.86
And,9.83208,30.86,17.43292,35.62
And,17.43292,35.62,30.975,42.33
And,30.975,42.33,17.43292,35.62
And,17.43292,35.62,24.49833,48.63
And,24.49833,48.63,17.43292,35.62
And,17.43292,35.62,14.18833,38.5
And,14.18833,38.5,12.45333,41.08
Ant,164.17958,-37.13778,156.78792,-31.06778
Ant,156.78792,-31.06778,146.05042,-27.76944
Ant,146.05042,-27.76944,142.31125,-35.95139
Aql,298.82833,6.41,297.69583,8.87
Aql,297.69583,8.87,296.565,10.61
Aql,296.565,10.61,291.37458,3.11
Aql,291.37458,3.11,286.3525,13.86
Aql,286.3525,13.86,291.37458,3.11
Aql,291.37458,3.11,298.11833,1.01
Aql,298.11833,1.01,302.82625,-0.82139
Aql,302.82625,-0.82139,298.11833,1.01
Aql,298.11833,1.01,291.37458,3.11
Aql,291.37458,3.11,286.56208,-4.8825
Aql,286.56208,-4.8825,285.42,-5.73889
Aqr,347.36167,-21.1725,348.97292,-9.08778
Aqr,348.97292,-9.08778,348.58083,-6.04889
Aqr,348.58083,-6.04889,338.83917,-0.1175
Aqr,338.83917,-0.1175,335.41417,-1.38722
Aqr,335.41417,-1.38722,343.15375,-7.57972
Aqr,343.15375,-7.57972,343.6625,-15.82083
Aqr,343.6625,-15.82083,343.15375,-7.57972
Aqr,343.15375,-7.57972,335.41417,-1.38722
Aqr,335.41417,-1.38722,334.20833,-7.78333
Aqr,334.20833,-7.78333,331.60917,-13.86972
Aqr,331.60917,-13.86972,334.20833,-7.78333
Aqr,334.20833,-7.78333,335.41417,-1.38722
Aqr,335.41417,-1.38722,331.44583,-0.31972
Aqr,331.44583,-0.31972,322.88958,-5.57111
Ari,47.9075,19.73,44.80292,21.34
Ari,44.80292,21.34,42.49583,27.26
Ari,42.49583,27.26,31.79333,23.46
Ari,31.79333,23.46,28.66,20.81
Ari,28.66,20.81,28.3825,19.29
Aur,79.1725,46.0,89.88208,44.95
Aur,89.88208,44.95,89.93042,37.21
Aur,89.93042,37.21,81.57292,28.61
Aur,81.57292,28.61,74.24833,33.17
Aur,74.24833,33.17,75.61958,41.08
Aur,75.61958,41.08,76.62875,41.23
Aur,76.62875,41.23,75.49208,43.82
Aur,75.49208,43.82,79.1725,46.0
Boo,218.01958,38.31,217.9575,30.37
Boo,217.9575,30.37,213.91542,19.18
Boo,213.91542,19.18,221.24667,27.07
Boo,221.24667,27.07,228.87583,33.31
Boo,228.87583,33.31,225.48667,40.39
Boo,225.48667,40.39,218.01958,38.31
Boo,218.01958,38.31,214.09583,46.09
Boo,214.09583,46.09,216.29917,51.85
Boo,216.29917,51.85,213.37083,51.79
Boo,213.37083,51.79,214.09583,46.09
CMa,104.03417,-17.05417,103.5475,-12.03861
CMa,103.5475,-12.03861,105.93958,-15.63333
CMa,105.93958,-15.63333,104.03417,-17.05417
CMa,104.03417,-17.05417,101.28708,-16.71611
CMa,101.28708,-16.71611,95.675,-17.95583
CMa,95.675,-17.95583,99.17083,-19.25583
CMa,99.17083,-19.25583,103.53292,-24.18389
CMa,103.53292,-24.18389,104.65625,-28.97222
CMa,104.65625,-28.97222,105.42958,-27.93472
CMa,105.42958,-27.93472,107.09792,-26.39333
CMa,107.09792,-26.39333,111.02375,-29.30306
CMa,111.02375,-29.30306,107.09792,-26.39333
CMa,107.09792,-26.39333,105.75625,-23.83333
CMa,105.75625,-23.83333,101.28708,-16.71611
CMi,114.82542,5.23,111.7875,8.29
CVn,194.00708,38.32,188.43542,41.36
Cae,70.14042,-41.86389,70.51458,-37.14444
Cam,52.47875,58.88,52.26708,59.94
Cam,52.26708,59.94,57.38,65.53
Cam,57.38,65.53,57.58958,71.33
Cam,57.58958,71.33,73.5125,66.34
Cam,73.5125,66.34,75.85458,60.44
Cam,75.85458,60.44,74.32167,53.75
Cap,304.51375,-12.54472,305.25292,-14.78139
Cap,305.25292,-14.78139,311.52375,-25.27083
Cap,311.52375,-25.27083,312.95542,-26.91917
Cap,312.95542,-26.91917,321.66667,-22.41139
Cap,321.66667,-22.41139,325.02292,-16.66222
Cap,325.02292,-16.66222,326.76,-16.12722
Cap,326.76,-16.12722,325.02292,-16.66222
Cap,325.02292,-16.66222,320.56167,-16.83444
Cap,320.56167,-16.83444,316.48667,-17.23278
Cap,316.48667,-17.23278,305.25292,-14.78139
Cas,28.59875,63.67,21.45417,60.24
Cas,21.45417,60.24,14.17708,60.72
Cas,14.17708,60.72,10.12708,56.54
Cas,10.12708,56.54,2.29458,59.15
Cen,207.40417,-42.47389,207.37625,-41.68778
Cen,207.37625,-41.68778,200.14917,-36.71222
Cen,200.14917,-36.71222,207.37625,-41.68778
Cen,207.37625,-41.68778,211.67083,-36.37
Cen,211.67083,-36.37,207.37625,-41.68778
Cen,207.37625,-41.68778,209.56792,-42.10083
Cen,209.56792,-42.10083,218.87667,-42.15778
Cen,218.87667,-42.15778,224.79042,-42.10417
Cep,354.83667,77.63,322.165,70.56
Cep,322.165,70.56,319.645,62.59
Cep,319.645,62.59,332.71375,58.2
Cep,332.71375,58.2,342.42,66.2
Cep,342.42,66.2,354.83667,77.63
Cet,40.825,3.24,37.03958,8.46
Cet,37.03958,8.46,41.23542,10.11
Cet,41.23542,10.11,44.92875,8.91
Cet,44.92875,8.91,45.57,4.09
Cet,45.57,4.09,40.825,3.24
Cet,40.825,3.24,39.87083,0.33
Cet,39.87083,0.33,34.83625,-2.9775
Cet,34.83625,-2.9775,27.865,-10.335
Cet,27.865,-10.335,21.00583,-8.18333
Cet,21.00583,-8.18333,17.1475,-10.18222
Cet,17.1475,-10.18222,10.8975,-17.98667
Cet,10.8975,-17.98667,22.40042,-21.62944
Cet,22.40042,-21.62944,30.00125,-21.07778
Cet,30.00125,-21.07778,27.865,-10.335
Cnc,134.62167,11.86,131.17125,18.15
Cnc,131.17125,18.15,124.12875,9.19
Cnc,124.12875,9.19,131.17125,18.15
Cnc,131.17125,18.15,130.82125,21.47
Cnc,130.82125,21.47,131.67417,28.76
Col,95.52833,-33.43639,94.13792,-35.14056
Col,94.13792,-35.14056,89.38417,-35.28333
Col,89.38417,-35.28333,87.74,-35.76833
Col,87.74,-35.76833,89.78667,-42.81528
Col,89.78667,-42.81528,87.74,-35.76833
Col,87.74,-35.76833,84.91208,-34.07417
Col,84.91208,-34.07417,79.37125,-34.89528
Com,197.49708,17.53,197.96833,27.88
Com,197.96833,27.88,186.73458,28.27
CrA,284.68083,-37.1075,286.60458,-37.06333
CrA,286.60458,-37.06333,287.36792,-37.90444
CrA,287.36792,-37.90444,287.50708,-39.34083
CrA,287.50708,-39.34083,287.08708,-40.49667
CrA,287.08708,-40.49667,285.77875,-42.09528
CrB,240.36083,29.85,239.39708,26.88
CrB,239.39708,26.88,237.39875,26.07
CrB,237.39875,26.07,235.68583,26.3
CrB,235.68583,26.3,233.67208,26.71
CrB,233.67208,26.71,231.95708,29.11
CrB,231.95708,29.11,233.2325,31.36
Crt,179.00375,-17.15083,176.19083,-18.35083
Crt,176.19083,-18.35083,171.22042,-17.68389
Crt,171.22042,-17.68389,167.91458,-22.82583
Crt,167.91458,-22.82583,164.94375,-18.29889
Crt,164.94375,-18.29889,169.83542,-14.77861
Crt,169.83542,-14.77861,171.22042,-17.68389
Crt,171.22042,-17.68389,169.83542,-14.77861
Crt,169.83542,-14.77861,171.1525,-10.85944
Crt,171.1525,-10.85944,174.17042,-9.80222
Crv,182.10333,-24.72889,182.53125,-22.61972
Crv,182.53125,-22.61972,183.95167,-17.54194
Crv,183.95167,-17.54194,187.46625,-16.51556
Crv,187.46625,-16.51556,188.59667,-23.39667
Crv,188.59667,-23.39667,182.53125,-22.61972
Cyg,292.68042,27.96,299.07667,35.08
Cyg,299.07667,35.08,305.55708,40.26
Cyg,305.55708,40.26,311.55292,33.97
Cyg,311.55292,33.97,318.23417,30.23
Cyg,318.23417,30.23,311.55292,33.97
Cyg,311.55292,33.97,305.55708,40.26
Cyg,305.55708,40.26,310.35792,45.28
Cyg,310.35792,45.28,305.55708,40.26
Cyg,305.55708,40.26,296.24375,45.13
Cyg,296.24375,45.13,292.42625,51.73
Del,308.30333,11.3,309.3875,14.6
Del,309.3875,14.6,309.90958,15.91
Del,309.90958,15.91,311.66458,16.12
Del,311.66458,16.12,310.86458,15.07
Del,310.86458,15.07,309.3875,14.6
Dra,268.38208,56.87,269.15167,51.49
Dra,269.15167,51.49,262.60833,52.3
Dra,262.60833,52.3,263.04417,55.18
Dra,263.04417,55.18,268.38208,56.87
Dra,268.38208,56.87,288.13875,67.66
