API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Mar  2 11:19:51 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-18 12:17:00.0000 TDB
Stop  time      : A.D. 2026-Apr-20 12:17:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
EOP file        : eop.260227.p260526
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-FEB-27. PREDICTS-> 2026-MAY-25
Reference frame : ICRF
*******************************************************************************
JDTDB
   X     Y     Z
   VX    VY    VZ
   LT    RG    RR
*******************************************************************************
$$SOE
2461149.011805556 = A.D. 2026-Apr-18 12:17:00.0000 TDB 
 X = 1.089004919444472E+00 Y = 9.955961190692925E-02 Z =-1.162104109567912E-02
 VX= 1.143783431072039E-02 VY= 2.752140034472175E-02 VZ= 1.129640642916716E-02
 LT= 6.316154165280406E-03 RG= 1.093608192861349E+00 RR= 1.377513616358220E-02
2461149.053472222 = A.D. 2026-Apr-18 13:17:00.0000 TDB 
 X = 1.089480653940916E+00 Y = 1.007072374325920E-01 Z =-1.114980153679928E-02
 VX= 1.139739762366240E-02 VY= 2.756461864125815E-02 VZ= 1.132309174114248E-02
 LT= 6.319468494341721E-03 RG= 1.094182051149232E+00 RR= 1.377005825399410E-02
2461149.095138889 = A.D. 2026-Apr-18 14:17:00.0000 TDB 
 X = 1.089954700587228E+00 Y = 1.018566629381514E-01 Z =-1.067745017269075E-02
 VX= 1.135681747311058E-02 VY= 2.760779933820383E-02 VZ= 1.134977306140584E-02
 LT= 6.322781598962175E-03 RG= 1.094755697431752E+00 RR= 1.376495988940813E-02
2461149.136805556 = A.D. 2026-Apr-18 15:17:00.0000 TDB 
 X = 1.090427053401854E+00 Y = 1.030078868517547E-01 Z =-1.020398717202120E-02
 VX= 1.131609367139826E-02 VY= 2.765094218560240E-02 VZ= 1.137645027723419E-02
 LT= 6.326093474207236E-03 RG= 1.095329130854521E+00 RR= 1.375984096914414E-02
2461149.178472222 = A.D. 2026-Apr-18 16:17:00.0000 TDB 
 X = 1.090897706395410E+00 Y = 1.041609075911093E-01 Z =-9.729412708167554E-03
 VX= 1.127522603037174E-02 VY= 2.769404693231365E-02 VZ= 1.140312327530866E-02
 LT= 6.329404115118066E-03 RG= 1.095902350558943E+00 RR= 1.375470139175013E-02
2461149.220138889 = A.D. 2026-Apr-18 17:17:00.0000 TDB 
 X = 1.091366653570663E+00 Y = 1.053157235634338E-01 Z =-9.253726959240673E-03
 VX= 1.123421436139132E-02 VY= 2.773711332600498E-02 VZ= 1.142979194170966E-02
 LT= 6.332713516711306E-03 RG= 1.096475355682176E+00 RR= 1.374954105499909E-02
2461149.261805556 = A.D. 2026-Apr-18 18:17:00.0000 TDB 
 X = 1.091833888922511E+00 Y = 1.064723331654081E-01 Z =-8.776930108110911E-03
 VX= 1.119305847533233E-02 VY= 2.778014111314275E-02 VZ= 1.145645616191173E-02
 LT= 6.336021673978914E-03 RG= 1.097048145357105E+00 RR= 1.374435985588568E-02
2461149.303472222 = A.D. 2026-Apr-18 19:17:00.0000 TDB 
 X = 1.092299406437960E+00 Y = 1.076307347831228E-01 Z =-8.299022342432951E-03
 VX= 1.115175818258625E-02 VY= 2.782313003898357E-02 VZ= 1.148311582077851E-02
 LT= 6.339328581887959E-03 RG= 1.097620718712304E+00 RR= 1.373915769062311E-02
2461149.345138889 = A.D. 2026-Apr-18 20:17:00.0000 TDB 
 X = 1.092763200096105E+00 Y = 1.087909267920287E-01 Z =-7.820003854671947E-03
 VX= 1.111031329306206E-02 VY= 2.786607984756543E-02 VZ= 1.150977080255756E-02
 LT= 6.342634235380444E-03 RG= 1.098193074872008E+00 RR= 1.373393445464000E-02
2461149.386805556 = A.D. 2026-Apr-18 21:17:00.0000 TDB 
 X = 1.093225263868113E+00 Y = 1.099529075568864E-01 Z =-7.339874842128755E-03
 VX= 1.106872361618742E-02 VY= 2.790899028169892E-02 VZ= 1.153642099087522E-02
 LT= 6.345938629373106E-03 RG= 1.098765212956079E+00 RR= 1.372869004257713E-02
2461149.428472222 = A.D. 2026-Apr-18 22:17:00.0000 TDB 
 X = 1.093685591717199E+00 Y = 1.111166754317143E-01 Z =-6.858635506966229E-03
 VX= 1.102698896091020E-02 VY= 2.795186108295825E-02 VZ= 1.156306626873139E-02
 LT= 6.349241758757240E-03 RG= 1.099337132079970E+00 RR= 1.372342434828440E-02
2461149.470138889 = A.D. 2026-Apr-18 23:17:00.0000 TDB 
 X = 1.094144177598607E+00 Y = 1.122822287597371E-01 Z =-6.376286056235440E-03
 VX= 1.098510913569998E-02 VY= 2.799469199167222E-02 VZ= 1.158970651849423E-02
 LT= 6.352543618398498E-03 RG= 1.099908831354697E+00 RR= 1.371813726481772E-02
2461149.511805556 = A.D. 2026-Apr-19 00:17:00.0000 TDB 
 X = 1.094601015459591E+00 Y = 1.134495658733338E-01 Z =-5.892826701902022E-03
 VX= 1.094308394854964E-02 VY= 2.803748274691519E-02 VZ= 1.161634162189495E-02
 LT= 6.355844203136698E-03 RG= 1.100480309886803E+00 RR= 1.371282868443592E-02
2461149.553472222 = A.D. 2026-Apr-19 01:17:00.0000 TDB 
 X = 1.095056099239397E+00 Y = 1.146186850939853E-01 Z =-5.408257660872720E-03
 VX= 1.090091320697708E-02 VY= 2.808023308649792E-02 VZ= 1.164297146002243E-02
 LT= 6.359143507785639E-03 RG= 1.101051566778325E+00 RR= 1.370749849859774E-02
2461149.595138889 = A.D. 2026-Apr-19 02:17:00.0000 TDB 
 X = 1.095509422869237E+00 Y = 1.157895847322215E-01 Z =-4.922579155022484E-03
 VX= 1.085859671802705E-02 VY= 2.812294274695839E-02 VZ= 1.166959591331783E-02
 LT= 6.362441527132902E-03 RG= 1.101622601126759E+00 RR= 1.370214659795878E-02
2461149.636805556 = A.D. 2026-Apr-19 03:17:00.0000 TDB 
 X = 1.095960980272277E+00 Y = 1.169622630875676E-01 Z =-4.435791411221534E-03
 VX= 1.081613428827303E-02 VY= 2.816561146355251E-02 VZ= 1.169621486156926E-02
 LT= 6.365738255939653E-03 RG= 1.102193412025031E+00 RR= 1.369677287236856E-02
2461149.678472222 = A.D. 2026-Apr-19 04:17:00.0000 TDB 
 X = 1.096410765363611E+00 Y = 1.181367184484917E-01 Z =-3.947894661362457E-03
 VX= 1.077352572381927E-02 VY= 2.820823897024484E-02 VZ= 1.172282818390628E-02
 LT= 6.369033688940462E-03 RG= 1.102763998561458E+00 RR= 1.369137721086755E-02
2461149.720138889 = A.D. 2026-Apr-19 05:17:00.0000 TDB 
 X = 1.096858772050247E+00 Y = 1.193129490923492E-01 Z =-3.458889142388045E-03
 VX= 1.073077083030292E-02 VY= 2.825082499969914E-02 VZ= 1.174943575879446E-02
 LT= 6.372327820843089E-03 RG= 1.103334359819719E+00 RR= 1.368595950168422E-02
2461149.761805556 = A.D. 2026-Apr-19 06:17:00.0000 TDB 
 X = 1.097304994231083E+00 Y = 1.204909532853299E-01 Z =-2.968775096318912E-03
 VX= 1.068786941289619E-02 VY= 2.829336928326901E-02 VZ= 1.177603746402984E-02
 LT= 6.375620646328307E-03 RG= 1.103904494878817E+00 RR= 1.368051963223221E-02
2461149.803472222 = A.D. 2026-Apr-19 07:17:00.0000 TDB 
 X = 1.097749425796889E+00 Y = 1.216707292824021E-01 Z =-2.477552770281510E-03
 VX= 1.064482127630876E-02 VY= 2.833587155098833E-02 VZ= 1.180263317673345E-02
 LT= 6.378912160049694E-03 RG= 1.104474402813049E+00 RR= 1.367505748910743E-02
2461149.845138889 = A.D. 2026-Apr-19 08:17:00.0000 TDB 
 X = 1.098192060630291E+00 Y = 1.228522753272581E-01 Z =-1.985222416536490E-03
 VX= 1.060162622479018E-02 VY= 2.837833153156176E-02 VZ= 1.182922277334570E-02
 LT= 6.382202356633435E-03 RG= 1.105044082691967E+00 RR= 1.366957295808525E-02
2461149.886805556 = A.D. 2026-Apr-19 09:17:00.0000 TDB 
 X = 1.098632892605745E+00 Y = 1.240355896522582E-01 Z =-1.491784292507044E-03
 VX= 1.055828406213240E-02 VY= 2.842074895235509E-02 VZ= 1.185580612962075E-02
 LT= 6.385491230678136E-03 RG= 1.105613533580349E+00 RR= 1.366406592411773E-02
2461149.928472222 = A.D. 2026-Apr-19 10:17:00.0000 TDB 
 X = 1.099071915589527E+00 Y = 1.252206704783749E-01 Z =-9.972386608077131E-04
 VX= 1.051479459167246E-02 VY= 2.846312353938560E-02 VZ= 1.188238312062094E-02
 LT= 6.388778776754614E-03 RG= 1.106182754538160E+00 RR= 1.365853627133083E-02
2461149.970138889 = A.D. 2026-Apr-19 11:17:00.0000 TDB 
 X = 1.099509123439705E+00 Y = 1.264075160151368E-01 Z =-5.015857892731757E-04
 VX= 1.047115761629524E-02 VY= 2.850545501731239E-02 VZ= 1.190895362071108E-02
 LT= 6.392064989405702E-03 RG= 1.106751744620522E+00 RR= 1.365298388302174E-02
2461150.011805556 = A.D. 2026-Apr-19 12:17:00.0000 TDB 
 X = 1.099944510006128E+00 Y = 1.275961244605708E-01 Z =-4.825950987707132E-06
 VX= 1.042737293843632E-02 VY= 2.854774310942656E-02 VZ= 1.193551750355278E-02
 LT= 6.395349863146048E-03 RG= 1.107320502877676E+00 RR= 1.364740864165614E-02
2461150.053472222 = A.D. 2026-Apr-19 13:17:00.0000 TDB 
 X = 1.100378069130402E+00 Y = 1.287864940011466E-01 Z = 4.930405756857603E-04
 VX= 1.038344036008503E-02 VY= 2.858998753764145E-02 VZ= 1.196207464209871E-02
 LT= 6.398633392461914E-03 RG= 1.107889028354947E+00 RR= 1.364181042886561E-02
2461150.095138889 = A.D. 2026-Apr-19 14:17:00.0000 TDB 
 X = 1.100809794645872E+00 Y = 1.299786228117170E-01 Z = 9.920135070756303E-04
 VX= 1.033935968278749E-02 VY= 2.863218802248277E-02 VZ= 1.198862490858686E-02
 LT= 6.401915571810981E-03 RG= 1.108457320092712E+00 RR= 1.363618912544499E-02
2461150.136805556 = A.D. 2026-Apr-19 15:17:00.0000 TDB 
 X = 1.101239680377609E+00 Y = 1.311725090554618E-01 Z = 1.492092554171934E-03
 VX= 1.029513070764987E-02 VY= 2.867434428307873E-02 VZ= 1.201516817453477E-02
 LT= 6.405196395622139E-03 RG= 1.109025377126364E+00 RR= 1.363054461134982E-02
2461150.178472222 = A.D. 2026-Apr-19 16:17:00.0000 TDB 
 X = 1.101667720142383E+00 Y = 1.323681508838280E-01 Z = 1.993277422596250E-03
 VX= 1.025075323534171E-02 VY= 2.871645603715009E-02 VZ= 1.204170431073373E-02
 LT= 6.408475858295290E-03 RG= 1.109593198486275E+00 RR= 1.362487676569380E-02
2461150.220138889 = A.D. 2026-Apr-19 17:17:00.0000 TDB 
 X = 1.102093907748652E+00 Y = 1.335655464364719E-01 Z = 2.495567812571072E-03
 VX= 1.020622706609940E-02 VY= 2.875852300100018E-02 VZ= 1.206823318724294E-02
 LT= 6.411753954201142E-03 RG= 1.110160783197765E+00 RR= 1.361918546674628E-02
2461150.261805556 = A.D. 2026-Apr-19 18:17:00.0000 TDB 
 X = 1.102518236996542E+00 Y = 1.347646938411990E-01 Z = 2.998963418889481E-03
 VX= 1.016155199972972E-02 VY= 2.880054488950488E-02 VZ= 1.209475467338367E-02
 LT= 6.415030677681011E-03 RG= 1.110728130281062E+00 RR= 1.361347059192984E-02
2461150.303472222 = A.D. 2026-Apr-19 19:17:00.0000 TDB 
 X = 1.102940701677828E+00 Y = 1.359655912139049E-01 Z = 3.503463930884065E-03
 VX= 1.011672783561353E-02 VY= 2.884252141610259E-02 VZ= 1.212126863773337E-02
 LT= 6.418306023046608E-03 RG= 1.111295238751269E+00 RR= 1.360773201781783E-02
2461150.345138889 = A.D. 2026-Apr-19 20:17:00.0000 TDB 
 X = 1.103361295575916E+00 Y = 1.371682366585149E-01 Z = 4.009069032395919E-03
 VX= 1.007175437270960E-02 VY= 2.888445229278412E-02 VZ= 1.214777494811979E-02
 LT= 6.421579984579841E-03 RG= 1.111862107618331E+00 RR= 1.360196962013200E-02
2461150.386805556 = A.D. 2026-Apr-19 21:17:00.0000 TDB 
 X = 1.103780012465828E+00 Y = 1.383726282669238E-01 Z = 4.515778401743140E-03
 VX= 1.002663140955851E-02 VY= 2.892633723008258E-02 VZ= 1.217427347161507E-02
 LT= 6.424852556532613E-03 RG= 1.112428735886993E+00 RR= 1.359618327374019E-02
2461150.428472222 = A.D. 2026-Apr-19 22:17:00.0000 TDB 
 X = 1.104196846114183E+00 Y = 1.395787641189347E-01 Z = 5.023591711689430E-03
 VX= 9.981358744286704E-03 VY= 2.896817593706318E-02 VZ= 1.220076407452977E-02
 LT= 6.428123733126601E-03 RG= 1.112995122556772E+00 RR= 1.359037285265397E-02
2461150.470138889 = A.D. 2026-Apr-19 23:17:00.0000 TDB 
 X = 1.104611790279180E+00 Y = 1.407866422821974E-01 Z = 5.532508629412119E-03
 VX= 9.935936174610673E-03 VY= 2.900996812131311E-02 VZ= 1.222724662240692E-02
 LT= 6.431393508553071E-03 RG= 1.113561266621915E+00 RR= 1.358453823002641E-02
2461150.511805556 = A.D. 2026-Apr-20 00:17:00.0000 TDB 
 X = 1.105024838710580E+00 Y = 1.419962608121472E-01 Z = 6.042528816469990E-03
 VX= 9.890363497841189E-03 VY= 2.905171348893126E-02 VZ= 1.225372098001604E-02
 LT= 6.434661876972655E-03 RG= 1.114127167071368E+00 RR= 1.357867927814982E-02
2461150.553472222 = A.D. 2026-Apr-20 01:17:00.0000 TDB 
 X = 1.105435985149692E+00 Y = 1.432076177519420E-01 Z = 6.553651928771086E-03
 VX= 9.844640510887770E-03 VY= 2.909341174451803E-02 VZ= 1.228018701134715E-02
 LT= 6.437928832515147E-03 RG= 1.114692822888736E+00 RR= 1.357279586845365E-02
2461150.595138889 = A.D. 2026-Apr-20 02:17:00.0000 TDB 
 X = 1.105845223329353E+00 Y = 1.444207111324002E-01 Z = 7.065877616539933E-03
 VX= 9.798767010263157E-03 VY= 2.913506259116496E-02 VZ= 1.230664457960475E-02
 LT= 6.441194369279302E-03 RG= 1.115258233052250E+00 RR= 1.356688787150219E-02
2461150.636805556 = A.D. 2026-Apr-20 03:17:00.0000 TDB 
