API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Mar  2 11:20:26 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Jan-14 04:48:00.0000 TDB
Stop  time      : A.D. 2023-Jan-16 04:48:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
EOP file        : eop.260227.p260526
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-FEB-27. PREDICTS-> 2026-MAY-25
Reference frame : ICRF
*******************************************************************************
JDTDB
   X     Y     Z
   VX    VY    VZ
   LT    RG    RR
*******************************************************************************
$$SOE
2459958.700000000 = A.D. 2023-Jan-14 04:48:00.0000 TDB 
 X = 5.205890351780087E+00 Y = 2.691396270943454E-01 Z =-5.872717482126344E-03
 VX= 1.422894913224890E-02 VY= 1.339200353058397E-02 VZ= 5.815005295917773E-03
 LT= 3.010688849765993E-02 RG= 5.212846149891641E+00 RR= 1.489484165155454E-02
2459958.741666667 = A.D. 2023-Jan-14 05:48:00.0000 TDB 
 X = 5.206483111113441E+00 Y = 2.696978474734937E-01 Z =-5.630329964064237E-03
 VX= 1.422349878595494E-02 VY= 1.340257534676402E-02 VZ= 5.819595947327227E-03
 LT= 3.011047248723965E-02 RG= 5.213466698450929E+00 RR= 1.489148970861701E-02
2459958.783333333 = A.D. 2023-Jan-14 06:48:00.0000 TDB 
 X = 5.207075643329997E+00 Y = 2.702565084364902E-01 Z =-5.387751118766425E-03
 VX= 1.421804731240321E-02 VY= 1.341315171094365E-02 VZ= 5.824189073815444E-03
 LT= 3.011405567050907E-02 RG= 5.214087107401918E+00 RR= 1.488814024860799E-02
2459958.825000000 = A.D. 2023-Jan-14 07:48:00.0000 TDB 
 X = 5.207667948355133E+00 Y = 2.708156101910327E-01 Z =-5.144980834897238E-03
 VX= 1.421259336231565E-02 VY= 1.342373346583872E-02 VZ= 5.828785054302226E-03
 LT= 3.011763804791215E-02 RG= 5.214707376821474E+00 RR= 1.488479197186431E-02
2459958.866666667 = A.D. 2023-Jan-14 08:48:00.0000 TDB 
 X = 5.208260026055481E+00 Y = 2.713751529759724E-01 Z =-4.902018987261731E-03
 VX= 1.420713547057592E-02 VY= 1.343432126155974E-02 VZ= 5.833384174000718E-03
 LT= 3.012121961956437E-02 RG= 5.215327506729595E+00 RR= 1.488144345364938E-02
2459958.908333333 = A.D. 2023-Jan-14 09:48:00.0000 TDB 
 X = 5.208851876234823E+00 Y = 2.719351370530089E-01 Z =-4.658865440830953E-03
 VX= 1.420167209154064E-02 VY= 1.344491554312111E-02 VZ= 5.837986619061581E-03
 LT= 3.012480038522677E-02 RG= 5.215947497084903E+00 RR= 1.487809317863063E-02
2459958.950000000 = A.D. 2023-Jan-14 10:48:00.0000 TDB 
 X = 5.209443498631486E+00 Y = 2.724955626979799E-01 Z =-4.415520054935789E-03
 VX= 1.419620163532951E-02 VY= 1.345551654334667E-02 VZ= 5.842592473807450E-03
 LT= 3.012838034428837E-02 RG= 5.216567347781614E+00 RR= 1.487473957660246E-02
2459958.991666667 = A.D. 2023-Jan-14 11:48:00.0000 TDB 
 X = 5.210034892917264E+00 Y = 2.730564301919618E-01 Z =-4.171982687523819E-03
 VX= 1.419072250386211E-02 VY= 1.346612428104435E-02 VZ= 5.847201720477072E-03
 LT= 3.013195949575735E-02 RG= 5.217187058647996E+00 RR= 1.487138105822278E-02
2459959.033333333 = A.D. 2023-Jan-14 12:48:00.0000 TDB 
 X = 5.210626058697796E+00 Y = 2.736177398124026E-01 Z =-3.928253199377169E-03
 VX= 1.418523312561175E-02 VY= 1.347673856412831E-02 VZ= 5.851814241308072E-03
 LT= 3.013553783826060E-02 RG= 5.217806629446303E+00 RR= 1.486801604972318E-02
2459959.075000000 = A.D. 2023-Jan-14 13:48:00.0000 TDB 
 X = 5.211216995514372E+00 Y = 2.741794918244785E-01 Z =-3.684331458198340E-03
 VX= 1.417973198836676E-02 VY= 1.348735899724694E-02 VZ= 5.856429822734153E-03
 LT= 3.013911537005147E-02 RG= 5.218426059874113E+00 RR= 1.486464302586627E-02
2459959.116666667 = A.D. 2023-Jan-14 14:48:00.0000 TDB 
 X = 5.211807702847032E+00 Y = 2.747416864728536E-01 Z =-3.440217342482023E-03
 VX= 1.417421766968661E-02 VY= 1.349798499344630E-02 VZ= 5.861048161463843E-03
 LT= 3.014269208902522E-02 RG= 5.219045349567002E+00 RR= 1.486126054081759E-02
2459959.158333333 = A.D. 2023-Jan-14 15:48:00.0000 TDB 
 X = 5.212398180118918E+00 Y = 2.753043239740030E-01 Z =-3.195910745097502E-03
 VX= 1.416868886513798E-02 VY= 1.350861578946088E-02 VZ= 5.865668872243135E-03
 LT= 3.014626799274168E-02 RG= 5.219664498102468E+00 RR= 1.485786725700009E-02
2459959.200000000 = A.D. 2023-Jan-14 16:48:00.0000 TDB 
 X = 5.212988426701743E+00 Y = 2.758674045092450E-01 Z =-2.951411576514320E-03
 VX= 1.416314441466760E-02 VY= 1.351925046435266E-02 VZ= 5.870291497169879E-03
 LT= 3.014984307845453E-02 RG= 5.220283505004999E+00 RR= 1.485446197227606E-02
2459959.241666667 = A.D. 2023-Jan-14 17:48:00.0000 TDB 
 X = 5.213578441922318E+00 Y = 2.764309282186131E-01 Z =-2.706719767610374E-03
 VX= 1.415758332742891E-02 VY= 1.352988796135260E-02 VZ= 5.874915516492453E-03
 LT= 3.015341734314708E-02 RG= 5.220902369752269E+00 RR= 1.485104364576928E-02
2459959.283333333 = A.D. 2023-Jan-14 18:48:00.0000 TDB 
 X = 5.214168225070105E+00 Y = 2.769948951957079E-01 Z =-2.461835271997919E-03
 VX= 1.415200480476861E-02 VY= 1.354052711279017E-02 VZ= 5.879540360834717E-03
 LT= 3.015699078357397E-02 RG= 5.221521091782367E+00 RR= 1.484761142203077E-02
2459959.325000000 = A.D. 2023-Jan-14 19:48:00.0000 TDB 
 X = 5.214757775405632E+00 Y = 2.775593054836419E-01 Z =-2.216758067815614E-03
 VX= 1.414640825954409E-02 VY= 1.355116666775362E-02 VZ= 5.884165424657679E-03
 LT= 3.016056339630846E-02 RG= 5.222139670501966E+00 RR= 1.484416465170607E-02
2459959.366666667 = A.D. 2023-Jan-14 20:48:00.0000 TDB 
 X = 5.215347092169586E+00 Y = 2.781241590721803E-01 Z =-1.971488158940755E-03
 VX= 1.414079332702573E-02 VY= 1.356180532135924E-02 VZ= 5.888790080372823E-03
 LT= 3.016413517779369E-02 RG= 5.222758105295220E+00 RR= 1.484070290390812E-02
2459959.408333333 = A.D. 2023-Jan-14 21:48:00.0000 TDB 
 X = 5.215936174592013E+00 Y = 2.786894558960885E-01 Z =-1.726025575624274E-03
 VX= 1.413515985775019E-02 VY= 1.357244174287765E-02 VZ= 5.893413691690964E-03
 LT= 3.016770612439513E-02 RG= 5.223376395532826E+00 RR= 1.483722596053100E-02
2459959.450000000 = A.D. 2023-Jan-14 22:48:00.0000 TDB 
 X = 5.216525021900565E+00 Y = 2.792551958345381E-01 Z =-1.480370374630892E-03
 VX= 1.412950787509540E-02 VY= 1.358307459700663E-02 VZ= 5.898035623296058E-03
 LT= 3.017127623244772E-02 RG= 5.223994540580200E+00 RR= 1.483373377499485E-02
2459959.491666667 = A.D. 2023-Jan-14 23:48:00.0000 TDB 
 X = 5.217113633325782E+00 Y = 2.798213787110808E-01 Z =-1.234522639141498E-03
 VX= 1.412383746913284E-02 VY= 1.359370254769332E-02 VZ= 5.902655241477943E-03
 LT= 3.017484549828611E-02 RG= 5.224612539802703E+00 RR= 1.483022636644623E-02
2459959.533333333 = A.D. 2023-Jan-15 00:48:00.0000 TDB 
 X = 5.217702008108689E+00 Y = 2.803880042927636E-01 Z =-9.884824790424148E-04
 VX= 1.411814922430691E-02 VY= 1.360432426488001E-02 VZ= 5.907271921922044E-03
 LT= 3.017841391828805E-02 RG= 5.225230392573167E+00 RR= 1.482670424717488E-02
2459959.575000000 = A.D. 2023-Jan-15 01:48:00.0000 TDB 
 X = 5.218290145521446E+00 Y = 2.809550723001158E-01 Z =-7.422500258902576E-04
 VX= 1.411244377914348E-02 VY= 1.361493878010210E-02 VZ= 5.911885214505853E-03
 LT= 3.018198148899635E-02 RG= 5.225848098292994E+00 RR= 1.482316800207125E-02
2459959.616666667 = A.D. 2023-Jan-15 02:48:00.0000 TDB 
 X = 5.218878044862586E+00 Y = 2.815225824073190E-01 Z =-4.958254328372767E-04
 VX= 1.410672194331472E-02 VY= 1.362554487119673E-02 VZ= 5.916494550948657E-03
 LT= 3.018554820709126E-02 RG= 5.226465656387391E+00 RR= 1.481961837263052E-02
2459959.658333333 = A.D. 2023-Jan-15 03:48:00.0000 TDB 
 X = 5.219465705469541E+00 Y = 2.820905342416379E-01 Z =-2.492088747282776E-04
 VX= 1.410098471450537E-02 VY= 1.363614153072223E-02 VZ= 5.921099468302881E-03
 LT= 3.018911406946244E-02 RG= 5.227083066317815E+00 RR= 1.481605629889613E-02
2459959.700000000 = A.D. 2023-Jan-15 04:48:00.0000 TDB 
 X = 5.220053126723798E+00 Y = 2.826589273924097E-01 Z =-2.400543723142357E-06
 VX= 1.409523320980927E-02 VY= 1.364672793767981E-02 VZ= 5.925699594618447E-03
 LT= 3.019267907324125E-02 RG= 5.227700327587580E+00 RR= 1.481248284958207E-02
2459959.741666667 = A.D. 2023-Jan-15 05:48:00.0000 TDB 
 X = 5.220640308055802E+00 Y = 2.832277614181254E-01 Z = 2.445993541643522E-04
 VX= 1.408946866025128E-02 VY= 1.365730343094310E-02 VZ= 5.930294636066715E-03
 LT= 3.019624321583115E-02 RG= 5.228317439747107E+00 RR= 1.480889921529592E-02
2459959.783333333 = A.D. 2023-Jan-15 06:48:00.0000 TDB 
 X = 5.221227248949383E+00 Y = 2.837970358530370E-01 Z = 4.917906022879608E-04
 VX= 1.408369239369500E-02 VY= 1.366786750940440E-02 VZ= 5.934884376662083E-03
 LT= 3.019980649493516E-02 RG= 5.228934402398686E+00 RR= 1.480530669159501E-02
2459959.825000000 = A.D. 2023-Jan-15 07:48:00.0000 TDB 
 X = 5.221813948945299E+00 Y = 2.843667502140314E-01 Z = 7.391729767026043E-04
 VX= 1.407790581018153E-02 VY= 1.367841984278234E-02 VZ= 5.939468682977660E-03
 LT= 3.020336890857835E-02 RG= 5.229551215200371E+00 RR= 1.480170665506710E-02
2459959.866666667 = A.D. 2023-Jan-15 08:48:00.0000 TDB 
 X = 5.222400407643642E+00 Y = 2.849369040080091E-01 Z = 9.867462497185856E-04
 VX= 1.407211035263200E-02 VY= 1.368896028388508E-02 VZ= 5.944047509500561E-03
 LT= 3.020693045512401E-02 RG= 5.230167877868769E+00 RR= 1.479810053487171E-02
2459959.908333333 = A.D. 2023-Jan-15 09:48:00.0000 TDB 
 X = 5.222986624704972E+00 Y = 2.855074967397164E-01 Z = 1.234510193650541E-03
 VX= 1.406630747501058E-02 VY= 1.369948887756018E-02 VZ= 5.948620902376996E-03
 LT= 3.021049113328253E-02 RG= 5.230784390180600E+00 RR= 1.479448978157631E-02
2459959.950000000 = A.D. 2023-Jan-15 10:48:00.0000 TDB 
 X = 5.223572599850086E+00 Y = 2.860785279198415E-01 Z = 1.482464584670630E-03
 VX= 1.406049860944703E-02 VY= 1.371000586428212E-02 VZ= 5.953189000587287E-03
 LT= 3.021405094211276E-02 RG= 5.231400751972899E+00 RR= 1.479087583466862E-02
2459959.991666667 = A.D. 2023-Jan-15 11:48:00.0000 TDB 
 X = 5.224158332858432E+00 Y = 2.866499970731381E-01 Z = 1.730609206652562E-03
 VX= 1.405468513341650E-02 VY= 1.372051167786993E-02 VZ= 5.957752034322508E-03
 LT= 3.021760988101527E-02 RG= 5.232016963141886E+00 RR= 1.478726008980758E-02
2459960.033333333 = A.D. 2023-Jan-15 12:48:00.0000 TDB 
 X = 5.224743823565154E+00 Y = 2.872219037463359E-01 Z = 1.978943854891411E-03
 VX= 1.404886833782577E-02 VY= 1.373100693760195E-02 VZ= 5.962310320701925E-03
 LT= 3.022116794971805E-02 RG= 5.232633023640457E+00 RR= 1.478364386667007E-02
2459960.075000000 = A.D. 2023-Jan-15 13:48:00.0000 TDB 
 X = 5.225329071856852E+00 Y = 2.877942475156159E-01 Z = 2.227468339594978E-03
 VX= 1.404304939672001E-02 VY= 1.374149243530327E-02 VZ= 5.966864257117522E-03
 LT= 3.022472514825435E-02 RG= 5.233248933474374E+00 RR= 1.478002837813231E-02
2459960.116666667 = A.D. 2023-Jan-15 14:48:00.0000 TDB 
 X = 5.225914077666121E+00 Y = 2.883670279934523E-01 Z = 2.476182489053227E-03
 VX= 1.403722933926259E-02 VY= 1.375196911804001E-02 VZ= 5.971414312519706E-03
 LT= 3.022828147693358E-02 RG= 5.233864692697209E+00 RR= 1.477641470146751E-02
2459960.158333333 = A.D. 2023-Jan-15 15:48:00.0000 TDB 
 X = 5.226498840964974E+00 Y = 2.889402448346546E-01 Z = 2.725086152407331E-03
 VX= 1.403140902462115E-02 VY= 1.376243806700656E-02 VZ= 5.975961016935941E-03
 LT= 3.023183693630540E-02 RG= 5.234480301404130E+00 RR= 1.477280375222010E-02
2459960.200000000 = A.D. 2023-Jan-15 16:48:00.0000 TDB 
 X = 5.227083361757303E+00 Y = 2.895138977414582E-01 Z = 2.974179201949685E-03
 VX= 1.402558912038606E-02 VY= 1.377290047312773E-02 VZ= 5.980504949483352E-03
 LT= 3.023539152711801E-02 RG= 5.235095759724688E+00 RR= 1.476919626140681E-02
2459960.241666667 = A.D. 2023-Jan-15 17:48:00.0000 TDB 
 X = 5.227667640070511E+00 Y = 2.900879864675381E-01 Z = 3.223461534897169E-03
 VX= 1.401977008513316E-02 VY= 1.378335760986519E-02 VZ= 5.985046725120262E-03
 LT= 3.023894525027141E-02 RG= 5.235711067814709E+00 RR= 1.476559275667921E-02
2459960.283333333 = A.D. 2023-Jan-15 18:48:00.0000 TDB 
 X = 5.228251675946529E+00 Y = 2.906625108208415E-01 Z = 3.472933074590436E-03
 VX= 1.401395215570291E-02 VY= 1.379381080373534E-02 VZ= 5.989586980388872E-03
 LT= 3.024249810676662E-02 RG= 5.236326225847517E+00 RR= 1.476199354804443E-02
