API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:26:30 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1900-Jan-18 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-05 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2415037.500000000, A.D. 1900-Jan-18 00:00:00.0000, -2.910362370196519E+00, -4.524841920382715E+00,  8.369640184341888E-02,  6.264085530764625E-03, -3.730442464189522E-03, -1.253705876149142E-04,  3.107605032867095E-02,  5.380651319123937E+00, -2.530529029320868E-04,
2415067.500000000, A.D. 1900-Feb-17 00:00:00.0000, -2.720003650488776E+00, -4.632840542001839E+00,  7.986484993168808E-02,  6.425519336002908E-03, -3.468451509731172E-03, -1.300300586022603E-04,  3.103125843458675E-02,  5.372895843075946E+00, -2.641104816706354E-04,
2415097.500000000, A.D. 1900-Mar-19 00:00:00.0000, -2.524970842878425E+00, -4.732880133611706E+00,  7.589611524583133E-02,  6.576838568856776E-03, -3.199670481828027E-03, -1.344931390555724E-04,  3.098466938513888E-02,  5.364829199222652E+00, -2.745429946080890E-04,
2415127.500000000, A.D. 1900-Apr-18 00:00:00.0000, -2.325577583734903E+00, -4.824750117192696E+00,  7.179640581614941E-02,  6.716054335753888E-03, -2.923772880192954E-03, -1.387555521535944E-04,  3.093634143082147E-02,  5.356461473324468E+00, -2.841790285492311E-04,
2415157.500000000, A.D. 1900-May-18 00:00:00.0000, -2.122148873843254E+00, -4.908253000490794E+00,  6.757215275183344E-02,  6.844244514257900E-03, -2.642483114474439E-03, -1.428346795953757E-04,  3.088635177052237E-02,  5.347806031954469E+00, -2.924903690067208E-04,
2415187.500000000, A.D. 1900-Jun-17 00:00:00.0000, -1.915018853885518E+00, -4.983203402473552E+00,  6.323009422193845E-02,  6.961894661055882E-03, -2.354296806286471E-03, -1.466416305437958E-04,  3.083478402998325E-02,  5.338877354460982E+00, -3.014663451556706E-04,
2415217.500000000, A.D. 1900-Jul-17 00:00:00.0000, -1.704533664436813E+00, -5.049426470713342E+00,  5.877724408265934E-02,  7.068406156956208E-03, -2.060865288561922E-03, -1.502190385576163E-04,  3.078172336037878E-02,  5.329690184312867E+00, -3.097699700744346E-04,
2415247.500000000, A.D. 1900-Aug-16 00:00:00.0000, -1.491047719562004E+00, -5.106758992136769E+00,  5.422102294948206E-02,  7.163087852424760E-03, -1.761434951561622E-03, -1.535082107892361E-04,  3.072725055893863E-02,  5.320258511116776E+00, -3.183314115489393E-04,
