API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:49 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-27 00:00:00.0000 TDB
Stop  time      : A.D. 2199-Nov-16 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451752.500000000, A.D. 2000-Jul-27 00:00:00.0000,  2.864247274659089E+00,  4.102002356843338E+00, -8.115398574221873E-02, -6.289313856977039E-03,  4.681395564787251E-03,  1.214092818062376E-04,  2.889890801719517E-02,  5.003690813323918E+00,  2.356445996796480E-04,
2451963.500000000, A.D. 2001-Feb-23 00:00:00.0000,  1.412210586839816E+00,  4.861029284146013E+00, -5.179820196586251E-02, -7.348753873988095E-03,  2.464598280426698E-03,  1.542850057056290E-04,  2.923726167394715E-02,  5.062274932936224E+00,  3.149778961280757E-04,
2452174.500000000, A.D. 2001-Sep-22 00:00:00.0000, -1.829851270739844E-01,  5.130781132881560E+00, -1.721314995348057E-02, -7.644575054311207E-03,  8.764204199092257E-05,  1.706917985740634E-04,  2.965192671558631E-02,  5.134071959253686E+00,  3.594763658080055E-04,
2452385.500000000, A.D. 2002-Apr-21 00:00:00.0000, -1.761549835821119E+00,  4.904721961155110E+00,  1.905366185036166E-02, -7.202653936473368E-03, -2.197008157470333E-03,  1.703178994755888E-04,  3.009910610003893E-02,  5.211498669514225E+00,  3.675266946449284E-04,
2452596.500000000, A.D. 2002-Nov-18 00:00:00.0000, -3.178172478104225E+00,  4.224839999609573E+00,  5.357843893870162E-02, -6.130006642165719E-03, -4.183672191537630E-03,  1.545866853456133E-04,  3.053546854248424E-02,  5.287052484324255E+00,  3.433208388469939E-04,
2452807.500000000, A.D. 2003-Jun-17 00:00:00.0000, -4.313877473663040E+00,  3.170045446631269E+00,  8.337195869200881E-02, -4.566415599515948E-03, -5.731200854517835E-03,  1.259490097871695E-04,  3.092232032852633E-02,  5.354033794717886E+00,  2.878746926669966E-04,
2453018.500000000, A.D. 2004-Jan-14 00:00:00.0000, -5.081705962582784E+00,  1.844056832600170E+00,  1.060588572850865E-01, -2.670276033770042E-03, -6.743758403046812E-03,  8.775320565601099E-05,  3.122816383481032E-02,  5.406988956269228E+00,  2.113913854766735E-04,
2453229.500000000, A.D. 2004-Aug-12 00:00:00.0000, -5.428330192344783E+00,  3.646778857715205E-01,  1.199567300666789E-01, -5.989666068666293E-04, -7.181030887414986E-03,  4.320794152822098E-05,  3.142972562627182E-02,  5.441888298612994E+00,  1.172035152061368E-04,
