API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:28:09 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1601-Aug-26 00:00:00.0000 TDB
Stop  time      : A.D. 2199-Sep-10 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2306050.500000000, A.D. 1601-Aug-26 00:00:00.0000, -5.419764430271401E+00, -5.559844427243857E-01,  1.244225671877172E-01,  6.924243534804376E-04, -7.161131157490385E-03,  1.210487874509686E-05,  3.147442684645577E-02,  5.449628074961833E+00,  4.224265420482894E-05,
2306859.500000000, A.D. 1603-Nov-13 00:00:00.0000, -2.012959281210590E+00, -4.941409665285232E+00,  6.457981349948294E-02,  6.914604931103080E-03, -2.500213137441999E-03, -1.462910908499203E-04,  3.081860368577615E-02,  5.336075814706701E+00, -2.949148991410407E-04,
2307668.500000000, A.D. 1606-Jan-30 00:00:00.0000,  3.585215607527766E+00, -3.573555487865018E+00, -6.695768622424184E-02,  5.251752178507413E-03,  5.699419682030941E-03, -1.405141265023992E-04,  2.923836011299608E-02,  5.062465121761865E+00, -3.020504966541375E-04,
2308477.500000000, A.D. 1608-Apr-18 00:00:00.0000,  4.372398908455750E+00,  2.347555721142288E+00, -1.076859423137169E-01, -3.652169338930351E-03,  7.004703590127143E-03,  5.513843491368438E-05,  2.866920198189123E-02,  4.963918446218160E+00,  9.453280259074286E-05,
2309286.500000000, A.D. 1610-Jul-06 00:00:00.0000, -8.519170219307945E-01,  5.105476483283590E+00, -6.087724041375325E-04, -7.529098436657779E-03, -8.952252410576962E-04,  1.731715215571397E-04,  2.989446064657163E-02,  5.176065407645178E+00,  3.561605457598985E-04,
2310095.500000000, A.D. 1612-Sep-22 00:00:00.0000, -5.204633641660617E+00,  1.492656705743407E+00,  1.115461581312487E-01, -2.161213290460786E-03, -6.912878384624802E-03,  7.553692906932435E-05,  3.127787285135881E-02,  5.415595805680116E+00,  1.732394752924659E-04,
2310904.500000000, A.D. 1614-Dec-10 00:00:00.0000, -3.789146709730602E+00, -3.856557643948076E+00,  1.004007677535479E-01,  5.305825372210777E-03, -4.946165946142264E-03, -1.003991392018547E-04,  3.123095181089230E-02,  5.407471679363849E+00, -1.922260302002992E-04,
2311713.500000000, A.D. 1617-Feb-26 00:00:00.0000,  1.794776970889686E+00, -4.837793058647343E+00, -2.167428898015559E-02,  6.998342463535391E-03,  2.976761328313078E-03, -1.693127407170319E-04,  2.980186253368293E-02,  5.160032541402735E+00, -3.559709469662548E-04,
