API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:23:46 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Jan-02 00:00:00.0000 TDB
Stop  time      : A.D. 1899-Dec-19 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2378497.500000000, A.D. 1800-Jan-02 00:00:00.0000, -1.085727257794213E+00, -1.118002887161471E+00,  3.813243439969615E-03,  1.058461729537475E-02, -8.562343860028047E-03, -4.434559077272418E-04,  9.000823694775747E-03,  1.558444312397545E+00, -1.232622394382227E-03,
2378527.500000000, A.D. 1800-Feb-01 00:00:00.0000, -7.331299681527873E-01, -1.331698245360422E+00, -9.465844650434770E-03,  1.280628237263996E-02, -5.559917575518577E-03, -4.363350713026565E-04,  8.779907500321775E-03,  1.520193859057021E+00, -1.302732948526998E-03,
2378557.500000000, A.D. 1800-Mar-03 00:00:00.0000, -3.256318739570450E-01, -1.444843718529036E+00, -2.201873382648064E-02,  1.419967843150788E-02, -1.885825763706672E-03, -3.944771480259881E-04,  8.554972395124660E-03,  1.481247552892125E+00, -1.276261012072842E-03,
2378587.500000000, A.D. 1800-Apr-02 00:00:00.0000,  1.079321938407083E-01, -1.440311374344422E+00, -3.276671995336867E-02,  1.450311687083086E-02,  2.237306491272371E-03, -3.159875228064148E-04,  8.344014825283548E-03,  1.444721381952136E+00, -1.139812085416510E-03,
2378617.500000000, A.D. 1800-May-02 00:00:00.0000,  5.315925590563430E-01, -1.309633213905766E+00, -4.063352189585539E-02,  1.351511838475871E-02,  6.453520327875034E-03, -2.032586129981413E-04,  8.166552055698509E-03,  1.413994655898981E+00, -8.903492536863027E-04,
2378647.500000000, A.D. 1800-Jun-01 00:00:00.0000,  9.052756083698040E-01, -1.056871514466393E+00, -4.470176112794060E-02,  1.117832199519260E-02,  1.029117256451010E-02, -6.470119581927149E-05,  8.041254759097314E-03,  1.392300101503891E+00, -5.416164452782157E-04,
2378677.500000000, A.D. 1800-Jul-01 00:00:00.0000,  1.190343073524152E+00, -7.010527742629914E-01, -4.440238674042062E-02,  7.654830083482065E-03,  1.324305910751041E-02,  8.503958904925455E-05,  7.982684005591531E-03,  1.382158889902679E+00, -1.273264023251112E-04,
2378707.500000000, A.D. 1800-Jul-31 00:00:00.0000,  1.356593920805052E+00, -2.753338287404730E-01, -3.967239731904454E-02,  3.339533280963560E-03,  1.489801378564454E-02,  2.275050672380840E-04,  7.998060072788422E-03,  1.384821173409459E+00,  3.028822115704845E-04,
