API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:14 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2300-Jan-21 00:00:00.0000 TDB
Stop  time      : A.D. 2399-Dec-08 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2561137.500000000, A.D. 2300-Jan-21 00:00:00.0000, -1.651589582024980E+00, -2.721734894710098E-02,  3.893919137319132E-02,  7.273040047463051E-04, -1.278165760935973E-02, -2.863921858089758E-04,  9.542731471863785E-03,  1.652272735404768E+00, -5.232046402115068E-04,
2561167.500000000, A.D. 2300-Feb-20 00:00:00.0000, -1.580947874492987E+00, -4.060318250243932E-01,  2.927689869252574E-02,  3.978108700952874E-03, -1.234345941305272E-02, -3.549451967606653E-04,  9.428637885292458E-03,  1.632518043267389E+00, -7.888040457224051E-04,
2561197.500000000, A.D. 2300-Mar-22 00:00:00.0000, -1.413949462375148E+00, -7.599179588853445E-01,  1.783393244161258E-02,  7.123289337694254E-03, -1.111517321032722E-02, -4.043423209762456E-04,  9.271544534097091E-03,  1.605318172679102E+00, -1.016971234828481E-03,
2561227.500000000, A.D. 2300-Apr-21 00:00:00.0000, -1.156423826354529E+00, -1.064874913089637E+00,  5.254872116333263E-03,  9.979922182005692E-03, -9.081373948991948E-03, -4.298840584101478E-04,  9.079332058354228E-03,  1.572037614171198E+00, -1.191289235472466E-03,
2561257.500000000, A.D. 2300-May-21 00:00:00.0000, -8.202105597887975E-01, -1.296947329065952E+00, -7.672839338093311E-03,  1.232977594871056E-02, -6.264428444581444E-03, -4.268169907218964E-04,  8.862883580084847E-03,  1.534560721908347E+00, -1.293597423093462E-03,
2561287.500000000, A.D. 2300-Jun-20 00:00:00.0000, -4.242028308606173E-01, -1.433757002597898E+00, -2.002612787945247E-02,  1.392261351408335E-02, -2.752460992066327E-03, -3.910077578650894E-04,  8.636298915038785E-03,  1.495328803309331E+00, -1.305279125379867E-03,
2561317.500000000, A.D. 2300-Jul-20 00:00:00.0000,  4.958675540948142E-03, -1.456978555134298E+00, -3.078190174083099E-02,  1.449786653168771E-02,  1.266793192304650E-03, -3.201773414223234E-04,  8.416732881440597E-03,  1.457312123074233E+00, -1.210409632513726E-03,
2561347.500000000, A.D. 2300-Aug-19 00:00:00.0000,  4.332405919712399E-01, -1.355783044236511E+00, -3.889805025070756E-02,  1.383412077569065E-02,  5.478277461870715E-03, -2.156601915228461E-04,  8.223490656877065E-03,  1.423853269085027E+00, -1.001131429866068E-03,
