API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:24:55 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2300-Jan-21 00:00:00.0000 TDB
Stop  time      : A.D. 2399-Dec-08 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2561137.500000000, A.D. 2300-Jan-21 00:00:00.0000, -3.860856311668898E-01, -1.647652099928085E-01,  2.161388986654071E-02,  5.219178313717701E-03, -2.469945297633339E-02, -2.502320573280408E-03,  2.427620462373043E-03,  4.203294532300501E-01,  4.759304650850360E-03,
2561167.500000000, A.D. 2300-Feb-20 00:00:00.0000,  1.529953770676881E-01, -4.190745624721706E-01, -4.832158374090970E-02,  2.078192631816635E-02,  1.102573103390454E-02, -9.863762136842426E-04,  2.591696199695796E-03,  4.487382864995531E-01, -3.105154021486433E-03,
2561197.500000000, A.D. 2300-Mar-22 00:00:00.0000,  1.470853296144438E-01,  2.722607584698976E-01,  8.960894821952186E-03, -3.038353391817742E-02,  1.443934929019951E-02,  3.950381692896342E-03,  1.787989965088243E-03,  3.095808657304317E-01, -1.622532308653849E-03,
2561227.500000000, A.D. 2300-Apr-21 00:00:00.0000, -3.724179905407171E-01, -2.134632209496633E-01,  1.637263986811282E-02,  8.192495241535612E-03, -2.321928455506757E-02, -2.651436642710833E-03,  2.480985274072299E-03,  4.295692839494478E-01,  4.334620062917064E-03,
2561257.500000000, A.D. 2300-May-21 00:00:00.0000,  1.940496440645808E-01, -3.938758423225288E-01, -4.998940483842453E-02,  1.959942673302542E-02,  1.379195340526532E-02, -6.516735128865706E-04,  2.552311165025362E-03,  4.419189791386787E-01, -3.612604996988329E-03,
2561287.500000000, A.D. 2300-Jun-20 00:00:00.0000,  8.279895857651483E-02,  2.957434517491401E-01,  1.673924904372168E-02, -3.274459929416387E-02,  8.599722008991267E-03,  3.685894400684129E-03,  1.776383255762459E-03,  3.075712263076621E-01, -3.453123573782340E-04,
2561317.500000000, A.D. 2300-Jul-20 00:00:00.0000, -3.530132109942479E-01, -2.588845680876337E-01,  1.087778365431664E-02,  1.086643621192834E-02, -2.148047732830276E-02, -2.752057607805369E-03,  2.529109124554418E-03,  4.379016703640443E-01,  3.870805670930202E-03,
2561347.500000000, A.D. 2300-Aug-19 00:00:00.0000,  2.323600707793838E-01, -3.631060033639117E-01, -5.095046240180862E-02,  1.807226839086686E-02,  1.649982728060916E-02, -2.904088003582506E-04,  2.507088058067342E-03,  4.340888408960445E-01, -4.093900021200415E-03,
