API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:29 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1000-Jul-23 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-29 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2086511.500000000, A.D. 1000-Jul-23 00:00:00.0000,  2.472618457051826E-01,  2.005529015275873E-01, -7.210742696503008E-03, -2.320331118993850E-02,  2.321996069431888E-02,  4.054955684510773E-03,  1.839227224086233E-03,  3.184523221188736E-01, -3.484673295508970E-03,
2086722.500000000, A.D. 1001-Feb-19 00:00:00.0000, -3.654618944244876E-01, -2.380591188005314E-01,  1.534713613234404E-02,  9.615971962026577E-03, -2.217932831944911E-02, -2.689504132058240E-03,  2.520602385481903E-03,  4.364287741520780E-01,  3.951260644186204E-03,
2086933.500000000, A.D. 1001-Sep-18 00:00:00.0000,  2.963954403836755E-01, -2.822559684119783E-01, -5.064348855551718E-02,  1.386741666043147E-02,  2.186532820783305E-02,  4.489117606659122E-04,  2.381891623481381E-03,  4.124117502175337E-01, -5.053480596538723E-03,
2087144.500000000, A.D. 1002-Apr-17 00:00:00.0000, -2.682418671675488E-01,  2.086343986220569E-01,  4.207140589878365E-02, -2.295676970256219E-02, -2.089658662334368E-02,  4.863476569026787E-04,  1.977657696113301E-03,  3.424208153489219E-01,  5.311246378418713E-03,
2087355.500000000, A.D. 1002-Nov-14 00:00:00.0000, -6.374486269614117E-02, -4.604316961047322E-01, -3.098843847644758E-02,  2.226236346619876E-02, -2.269276470675991E-03, -2.282490731181068E-03,  2.690555062981155E-03,  4.658551680696899E-01, -6.515622994630989E-04,
2087566.500000000, A.D. 1003-Jun-13 00:00:00.0000,  2.614571696888493E-01,  1.855352637931620E-01, -9.753807414675754E-03, -2.174694283533425E-02,  2.432550359932168E-02,  4.006374006297958E-03,  1.852477337215103E-03,  3.207465080894639E-01, -3.777851873170333E-03,
2087777.500000000, A.D. 1004-Jan-10 00:00:00.0000, -3.712727689747365E-01, -2.238819134847837E-01,  1.703113819916026E-02,  8.780416111604948E-03, -2.270339909256235E-02, -2.652838502767981E-03,  2.505913743692837E-03,  4.338855146650267E-01,  4.097325468810368E-03,
2087988.500000000, A.D. 1004-Aug-08 00:00:00.0000,  2.873841374029789E-01, -2.958500693065243E-01, -5.088524243598597E-02,  1.463686716869885E-02,  2.110260826241782E-02,  3.151916774210361E-04,  2.400186277021234E-03,  4.155793712845941E-01, -4.939714091197769E-03,
