API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:27 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 3000-Jul-26 00:00:00.0000 TDB
Stop  time      : A.D. 3999-Dec-26 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2816993.500000000, A.D. 3000-Jul-26 00:00:00.0000,  3.377575393401562E-01, -2.090532102207220E-01, -4.747101221565060E-02,  9.249616280054867E-03,  2.505650565052768E-02,  1.254152171643794E-03,  2.310473691961607E-03,  4.000461186981883E-01, -5.433251517844864E-03,
2817204.500000000, A.D. 3001-Feb-22 00:00:00.0000, -3.254083606183013E-01,  1.371727407997238E-01,  4.040518769749734E-02, -1.677093591604202E-02, -2.487991227081187E-02, -5.687173623625386E-04,  2.052866058639150E-03,  3.554427396524912E-01,  5.687492381004175E-03,
2817415.500000000, A.D. 3001-Sep-21 00:00:00.0000,  1.488839030771648E-02, -4.617505208342220E-01, -3.964335271969555E-02,  2.244502388156261E-02,  2.194938841425518E-03, -1.819684927213086E-03,  2.678040049498971E-03,  4.636882606574038E-01, -1.309512267883761E-03,
2817626.500000000, A.D. 3002-Apr-20 00:00:00.0000,  1.903891245078172E-01,  2.484388129207651E-01,  3.635310450709083E-03, -2.796949454391170E-02,  1.810994650631764E-02,  3.997259872288313E-03,  1.807867117454821E-03,  3.130224879755527E-01, -2.591962934397360E-03,
2817837.500000000, A.D. 3002-Nov-17 00:00:00.0000, -3.313374878148978E-01, -2.940863987649805E-01,  5.147307014319895E-03,  1.290612267232757E-02, -1.992277175444318E-02, -2.804237154066858E-03,  2.558872942507552E-03,  4.430551156905226E-01,  3.539739436218320E-03,
2818048.500000000, A.D. 3003-Jun-16 00:00:00.0000,  3.316041647369538E-01, -2.247093514196389E-01, -4.822014228081543E-02,  1.021515965986694E-02,  2.443021408896721E-02,  1.116195559677632E-03,  2.330196532407867E-03,  4.034610226625487E-01, -5.344087938859420E-03,
2818259.500000000, A.D. 3004-Jan-13 00:00:00.0000, -3.143727510838372E-01,  1.527034221805284E-01,  4.070797352986294E-02, -1.812420639619910E-02, -2.426738406746733E-02, -3.973547651158488E-04,  2.032175860301977E-03,  3.518603428614440E-01,  5.615490817135519E-03,
2818470.500000000, A.D. 3004-Aug-11 00:00:00.0000,  7.215776382316763E-04, -4.628723680484968E-01, -3.847372028386629E-02,  2.245897447436179E-02,  1.330599756535971E-03, -1.892494267729067E-03,  2.682550000855644E-03,  4.644691345284337E-01, -1.134371763828280E-03,
