API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:37 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : B.C. 0001-Mar-27 00:00:00.0000 TDB
Stop  time      : A.D. 3998-Mar-31 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
1721143.500000000, B.C. 0001-Mar-27 00:00:00.0000,  2.244036584740803E-02, -4.580751339128844E-01, -3.835413947263273E-02,  2.253686447135163E-02,  3.138682403870956E-03, -1.935042230001222E-03,  2.658040356888528E-03,  4.602254212267708E-01, -1.863869224805484E-03,
1721952.500000000, A.D. 0002-Jun-14 00:00:00.0000,  3.338359894991113E-01, -1.995590215662448E-01, -4.809634639289455E-02,  8.996949149999647E-03,  2.575686436239803E-02,  1.163008001661112E-03,  2.263410303711599E-03,  3.918973456272357E-01, -5.594438668646452E-03,
1722761.500000000, A.D. 0004-Aug-31 00:00:00.0000,  1.677317055048622E-01,  2.606243711905019E-01,  4.341597530819491E-03, -2.914930111458889E-02,  1.667542203837891E-02,  4.140269056755292E-03,  1.790204218036842E-03,  3.099642517438647E-01, -1.694599368369558E-03,
1723570.500000000, A.D. 0006-Nov-18 00:00:00.0000, -3.292757818372541E-01,  1.414343415165367E-01,  4.306075558289091E-02, -1.679682360425527E-02, -2.435157853058063E-02, -2.969358697859942E-04,  2.084637656548865E-03,  3.609438213020425E-01,  5.745635040707965E-03,
1724379.500000000, A.D. 0009-Feb-04 00:00:00.0000, -3.422089736590544E-01, -2.863381630069449E-01,  1.052011177719904E-02,  1.238218176009251E-02, -2.001259641452949E-02, -2.779974446769329E-03,  2.577765934022715E-03,  4.463263357665330E-01,  3.279731943495629E-03,
1725188.500000000, A.D. 0011-Apr-24 00:00:00.0000, -1.329061216099997E-02, -4.613165373400157E-01, -3.515653185221851E-02,  2.255845960543841E-02,  9.450028499674476E-04, -2.109749033450254E-03,  2.673170254429215E-03,  4.628450817788521E-01, -1.429397755403444E-03,
1725997.500000000, A.D. 0013-Jul-11 00:00:00.0000,  3.176045583416529E-01, -2.391211488939871E-01, -4.964415400347515E-02,  1.145557510503949E-02,  2.410147549398866E-02,  7.948298637711272E-04,  2.313930417978808E-03,  4.006446322546922E-01, -5.402014953653261E-03,
1726806.500000000, A.D. 0015-Sep-28 00:00:00.0000,  2.117397398978053E-01,  2.310409925631424E-01, -2.248180575497416E-03, -2.619901592374603E-02,  2.050137000018758E-02,  4.156352544548122E-03,  1.810039631450470E-03,  3.133986471133089E-01, -2.616667883329931E-03,
