API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:42 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 4000-Jun-17 00:00:00.0000 TDB
Stop  time      : A.D. 7998-Jun-23 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
3182197.500000000, A.D. 4000-Jun-17 00:00:00.0000, -3.907899355709295E-01, -9.069454201688312E-02,  2.618986997684593E-02,  4.552576286897357E-04, -2.650070558788451E-02, -2.271368046089125E-03,  2.321932080737717E-03,  4.020300772138665E-01,  5.387836746564339E-03,
3183006.500000000, A.D. 4002-Sep-04 00:00:00.0000, -1.816606618569698E-01, -4.259220462069289E-01, -2.014927440646688E-02,  2.016134991118300E-02, -9.965437424081486E-03, -2.584450920157458E-03,  2.676852615643189E-03,  4.634826628586194E-01,  1.368012639536720E-03,
3183815.500000000, A.D. 4004-Nov-21 00:00:00.0000,  1.914762287610852E-01, -3.994402718591682E-01, -5.021732886654436E-02,  1.968102161856491E-02,  1.324507968773432E-02, -5.878131354568326E-04,  2.574724887266102E-03,  4.457997948429142E-01, -3.348256426558913E-03,
3184624.500000000, A.D. 4007-Feb-08 00:00:00.0000,  3.581709251637127E-01, -3.241988173321718E-03, -3.127095999612557E-02, -5.260625075940549E-03,  2.907709903389312E-02,  2.904456848842696E-03,  2.076576312044704E-03,  3.595480427690090E-01, -5.755269030435208E-03,
3185433.500000000, A.D. 4009-Apr-27 00:00:00.0000, -4.801041233517508E-02,  3.048914809035727E-01,  2.983715149820716E-02, -3.352697546682842E-02, -3.653964258964710E-03,  2.593633180013170E-03,  1.790914297009463E-03,  3.100871981067490E-01,  1.847764022669645E-03,
3186242.500000000, A.D. 4011-Jul-15 00:00:00.0000, -3.892044486293821E-01, -4.822772473661979E-02,  2.961729917392386E-02, -2.457407958971458E-03, -2.701927825806808E-02, -2.063365622195666E-03,  2.271498956060671E-03,  3.932978523670453E-01,  5.589659577270632E-03,
3187051.500000000, A.D. 4013-Oct-01 00:00:00.0000, -2.128674455760013E-01, -4.085551993321252E-01, -1.599694582191544E-02,  1.922434607060900E-02, -1.194773352935978E-02, -2.669902805971510E-03,  2.662293460705439E-03,  4.609618233248755E-01,  1.804447703006001E-03,
3187860.500000000, A.D. 4015-Dec-19 00:00:00.0000,  1.595593120439473E-01, -4.187526683361644E-01, -4.908250004419899E-02,  2.059480444264064E-02,  1.111438336726227E-02, -8.456003903684092E-04,  2.603612780026075E-03,  4.508015784235723E-01, -2.942715255891821E-03,
