API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 10:21:02 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Sun (10)                        {source: nep097_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2199-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2488069.500000000, A.D. 2100-Jan-01 00:00:00.0000, -2.905922975723650E+01,  8.235172906391174E+00,  5.001937450825410E-01, -8.724295726095347E-04, -3.008564659206495E-03,  8.190961711268336E-05,  1.744653126015688E-01,  3.020773246479514E+01,  2.042695219529605E-05,
2488099.500000000, A.D. 2100-Jan-31 00:00:00.0000, -2.908525119377067E+01,  8.144890466610901E+00,  5.026493408562452E-01, -8.629167365203793E-04, -3.011024197687390E-03,  8.199413512535760E-05,  1.744688145993674E-01,  3.020833881691760E+01,  2.035537472705294E-05,
2488129.500000000, A.D. 2100-Mar-02 00:00:00.0000, -2.911098203058298E+01,  8.054529339047294E+00,  5.050999704646543E-01, -8.531859022065469E-04, -3.013323974184339E-03,  8.197975009693572E-05,  1.744722664503534E-01,  3.020893648638863E+01,  2.011262724808565E-05,
2488159.500000000, A.D. 2100-Apr-01 00:00:00.0000, -2.913642064399468E+01,  7.964091452400464E+00,  5.075454836685027E-01, -8.432724777893389E-04, -3.015549216217054E-03,  8.180364998593713E-05,  1.744756618175665E-01,  3.020952437599754E+01,  1.970739290346657E-05,
2488189.500000000, A.D. 2100-May-01 00:00:00.0000, -2.916156647269761E+01,  7.873579142949111E+00,  5.099857589149038E-01, -8.332716067468899E-04, -3.017823847617777E-03,  8.146820098004382E-05,  1.744790007905704E-01,  3.021010250125181E+01,  1.919814964359767E-05,
2488219.500000000, A.D. 2100-May-31 00:00:00.0000, -2.918641950713959E+01,  7.782994527264308E+00,  5.124206709334777E-01, -8.232939646498005E-04, -3.020220432708139E-03,  8.103947867293996E-05,  1.744822860898700E-01,  3.021067133319225E+01,  1.867453486476405E-05,
2488249.500000000, A.D. 2100-Jun-30 00:00:00.0000, -2.921098067971841E+01,  7.692339774716570E+00,  5.148502429128656E-01, -8.134805981688723E-04, -3.022749255068165E-03,  8.062788504701636E-05,  1.744855256933135E-01,  3.021123225314049E+01,  1.827343533217156E-05,
2488279.500000000, A.D. 2100-Jul-30 00:00:00.0000, -2.923525158734011E+01,  7.601615790164633E+00,  5.172745696419050E-01, -8.038732177376867E-04, -3.025367999655010E-03,  8.033339975821888E-05,  1.744887293804817E-01,  3.021178695437843E+01,  1.804941340480248E-05,
