API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:24:54 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Sun (10)                        {source: nep097_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2200-Jan-05 00:00:00.0000 TDB
Stop  time      : A.D. 2299-Dec-22 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2524597.500000000, A.D. 2200-Jan-05 00:00:00.0000,  2.777113277808931E+01,  1.086802363058613E+01, -8.641606279811667E-01, -1.161560632024037E-03,  2.951410352237784E-03, -3.411654454689069E-05,  1.723096181034213E-01,  2.983448553275550E+01, -5.107341815451597E-06,
2524627.500000000, A.D. 2200-Feb-04 00:00:00.0000,  2.773613299101567E+01,  1.095650192258344E+01, -8.651730271886290E-01, -1.171060806293730E-03,  2.947563859663426E-03, -3.392346773255704E-05,  1.723086506617302E-01,  2.983431802541927E+01, -5.240927551452732E-06,
2524657.500000000, A.D. 2200-Mar-06 00:00:00.0000,  2.770084482360557E+01,  1.104487360696306E+01, -8.661765307637690E-01, -1.180748807498742E-03,  2.943667379018705E-03, -3.358836461309584E-05,  1.723076601426738E-01,  2.983414652236111E+01, -5.571196639359717E-06,
2524687.500000000, A.D. 2200-Apr-05 00:00:00.0000,  2.766526748440614E+01,  1.113313751012385E+01, -8.671709572617525E-01, -1.190604806270840E-03,  2.939827252161674E-03, -3.312736713228463E-05,  1.723066401807003E-01,  2.983396992141985E+01, -6.039165728992495E-06,
2524717.500000000, A.D. 2200-May-05 00:00:00.0000,  2.762940076674106E+01,  1.122129154759173E+01, -8.681562498430556E-01, -1.200497316352797E-03,  2.936121517394178E-03, -3.261139342147419E-05,  1.723055855768292E-01,  2.983378732241997E+01, -6.490430462732185E-06,
2524747.500000000, A.D. 2200-Jun-04 00:00:00.0000,  2.759324550193931E+01,  1.130933418464024E+01, -8.691324399106943E-01, -1.210310144743905E-03,  2.932582481880889E-03, -3.213098697505058E-05,  1.723044978141987E-01,  2.983359898215888E+01, -6.801176177524732E-06,
2524777.500000000, A.D. 2200-Jul-04 00:00:00.0000,  2.755680236545725E+01,  1.139726428811626E+01, -8.700995791056039E-01, -1.219963463851770E-03,  2.929132893796447E-03, -3.176080884073696E-05,  1.723033783616204E-01,  2.983340515495341E+01, -6.923623815376798E-06,
2524807.500000000, A.D. 2200-Aug-03 00:00:00.0000,  2.752007215254630E+01,  1.148508076719143E+01, -8.710577981410054E-01, -1.229417749594347E-03,  2.925648171689890E-03, -3.153226125132087E-05,  1.723022293929774E-01,  2.983320621719977E+01, -6.867957894485769E-06,
