API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:26:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Sun (10)                        {source: nep097_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1900-Jan-18 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-05 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2415037.500000000, A.D. 1900-Jan-18 00:00:00.0000,  1.461396244016513E+00,  2.982851837162154E+01, -6.479444524061313E-01, -3.146178999303638E-03,  1.702274110858313E-04,  6.857287538328941E-05,  1.725223814468707E-01,  2.987132436370361E+01,  1.457537894370074E-05,
2415067.500000000, A.D. 1900-Feb-17 00:00:00.0000,  1.367009575393674E+00,  2.983349182603285E+01, -6.458750377333137E-01, -3.146799626162336E-03,  1.606495979135259E-04,  6.893307850171520E-05,  1.725249998265035E-01,  2.987177772208333E+01,  1.494759015935738E-05,
2415097.500000000, A.D. 1900-Mar-19 00:00:00.0000,  1.272613443706987E+00,  2.983817398367061E+01, -6.437991567246292E-01, -3.147185358857831E-03,  1.511780931853485E-04,  6.935559963774960E-05,  1.725276626055211E-01,  2.987223876797821E+01,  1.543495874159469E-05,
2415127.500000000, A.D. 1900-Apr-18 00:00:00.0000,  1.178210017252516E+00,  2.984256524361517E+01, -6.417169064984156E-01, -3.147289606412567E-03,  1.417616174111619E-04,  6.975243476215124E-05,  1.725303723252275E-01,  2.987270794140144E+01,  1.598786623039208E-05,
2415157.500000000, A.D. 1900-May-18 00:00:00.0000,  1.083800531024063E+00,  2.984666707441434E+01, -6.396283384747924E-01, -3.147207888817928E-03,  1.323004840701014E-04,  7.004862669297028E-05,  1.725331373888521E-01,  2.987318669732704E+01,  1.650235172333417E-05,
2415187.500000000, A.D. 1900-Jun-17 00:00:00.0000,  9.893851500572637E-01,  2.985048054083251E+01, -6.375335290510508E-01, -3.147073238549107E-03,  1.227055230867513E-04,  7.020629288723408E-05,  1.725359636304147E-01,  2.987367604588426E+01,  1.688417703766786E-05,
2415217.500000000, A.D. 1900-Jul-17 00:00:00.0000,  8.949637459506422E-01,  2.985400636073987E+01, -6.354325610333762E-01, -3.147039288881530E-03,  1.129720573438461E-04,  7.024645460356305E-05,  1.725388548707239E-01,  2.987417664862555E+01,  1.712333596209990E-05,
2415247.500000000, A.D. 1900-Aug-16 00:00:00.0000,  8.005353701597934E-01,  2.985724466043172E+01, -6.333254117729022E-01, -3.147229010063404E-03,  1.031190643157142E-04,  7.024018963853532E-05,  1.725418114350732E-01,  2.987468856187380E+01,  1.723526234551647E-05,
