API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:06 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2200-Jan-05 00:00:00.0000 TDB
Stop  time      : A.D. 2249-Dec-14 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2524597.500000000, A.D. 2200-Jan-05 00:00:00.0000,  8.470652041542191E+00, -4.962455839561853E+00, -2.544198908879099E-01,  2.505717687041017E-03,  4.804814636879249E-03, -1.823241182435013E-04,  5.671860221728632E-02,  9.820521546708395E+00, -2.619240655424999E-04,
2524627.500000000, A.D. 2200-Feb-04 00:00:00.0000,  8.544642383631894E+00, -4.817612510221505E+00, -2.598567876476821E-01,  2.425403005234925E-03,  4.851467354152981E-03, -1.801183556636502E-04,  5.667306028794204E-02,  9.812636206080803E+00, -2.651156600984416E-04,
2524657.500000000, A.D. 2200-Mar-06 00:00:00.0000,  8.616206956297370E+00, -4.671401851796338E+00, -2.652194890105715E-01,  2.344481092310199E-03,  4.896749322657678E-03, -1.778219281006675E-04,  5.662699392768199E-02,  9.804660063054939E+00, -2.679325646554332E-04,
2524687.500000000, A.D. 2200-Apr-05 00:00:00.0000,  8.685318306955576E+00, -4.523861398446630E+00, -2.705064448674067E-01,  2.262862598344666E-03,  4.940413931813731E-03, -1.753266657816630E-04,  5.658040698911330E-02,  9.796593784689042E+00, -2.703632499329058E-04,
2524717.500000000, A.D. 2200-May-05 00:00:00.0000,  8.751950284645277E+00, -4.375030773790631E+00, -2.757162283168361E-01,  2.180260918285393E-03,  4.982327506549209E-03, -1.725619289724463E-04,  5.653331166513072E-02,  9.788439482117404E+00, -2.726402796416803E-04,
2524747.500000000, A.D. 2200-Jun-04 00:00:00.0000,  8.816079615462549E+00, -4.224949388306693E+00, -2.808476375348914E-01,  2.096437170954349E-03,  5.022833000275544E-03, -1.696554622292918E-04,  5.648573043081709E-02,  9.780201046779984E+00, -2.751692787804485E-04,
2524777.500000000, A.D. 2200-Jul-04 00:00:00.0000,  8.877682618461142E+00, -4.073657145318581E+00, -2.858990504986071E-01,  2.011451803185842E-03,  5.062123927226628E-03, -1.667253061638602E-04,  5.643768115810498E-02,  9.771881573105979E+00, -2.780078707022044E-04,
2524807.500000000, A.D. 2200-Aug-03 00:00:00.0000,  8.936736561470509E+00, -3.921195486961124E+00, -2.908686578645669E-01,  1.925503197588988E-03,  5.100392740183925E-03, -1.638915495425715E-04,  5.638918649180016E-02,  9.763484981921975E+00, -2.810729221632501E-04,
