API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:50 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-27 00:00:00.0000 TDB
Stop  time      : A.D. 2249-Jul-23 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451752.500000000, A.D. 2000-Jul-27 00:00:00.0000,  5.464962923898351E+00,  7.320339852911196E+00, -3.447008900536359E-01, -4.769987540016240E-03,  3.331124139766925E-03,  1.314196472152580E-04,  5.279847768288740E-02,  9.141773024162614E+00, -1.890382448911697E-04,
2451963.500000000, A.D. 2001-Feb-23 00:00:00.0000,  4.413686013801688E+00,  7.957272779916275E+00, -3.139787298991224E-01, -5.181112224134752E-03,  2.697020059655333E-03,  1.589110703483814E-04,  5.258494372072455E-02,  9.104800764720455E+00, -1.600005300167143E-04,
2452174.500000000, A.D. 2001-Sep-22 00:00:00.0000,  3.284918626041360E+00,  8.454525529594914E+00, -2.777378993830178E-01, -5.504099796632884E-03,  2.008339326718240E-03,  1.842192573505407E-04,  5.241003032998565E-02,  9.074515449931159E+00, -1.269630877417457E-04,
2452385.500000000, A.D. 2002-Apr-21 00:00:00.0000,  2.097961698225658E+00,  8.802065363352312E+00, -2.365758503795344E-01, -5.730355999080378E-03,  1.279221222636112E-03,  2.059118428827858E-04,  5.227841662287894E-02,  9.051727242959279E+00, -8.959531534732980E-05,
2452596.500000000, A.D. 2002-Nov-18 00:00:00.0000,  8.736837793840438E-01,  8.992738869976240E+00, -1.912012755067836E-01, -5.855957342973572E-03,  5.245967750921174E-04,  2.235949206148663E-04,  5.219395500623496E-02,  9.037103167370381E+00, -4.884803888242863E-05,
2452807.500000000, A.D. 2003-Jun-17 00:00:00.0000, -3.661032461899046E-01,  9.022510630776388E+00, -1.424121002825328E-01, -5.877622901052273E-03, -2.419517551612198E-04,  2.376886061203010E-04,  5.215904175913312E-02,  9.031058126025467E+00, -7.202388892296450E-06,
2453018.500000000, A.D. 2004-Jan-14 00:00:00.0000, -1.599145418088370E+00,  8.890683025505686E+00, -9.107719304121541E-02, -5.793517377291829E-03, -1.005028516849018E-03,  2.480231357578370E-04,  5.217496168321425E-02,  9.033814575432697E+00,  3.394994883255706E-05,
2453229.500000000, A.D. 2004-Aug-12 00:00:00.0000, -2.803347440272247E+00,  8.599866602611099E+00, -3.811851374128307E-02, -5.604449757914796E-03, -1.747466363823854E-03,  2.536650495846432E-04,  5.224144390111057E-02,  9.045325614629723E+00,  7.446641011818759E-05,
