API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:28:10 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1750-Jan-20 00:00:00.0000 TDB
Stop  time      : A.D. 2248-Jun-03 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2360253.500000000, A.D. 1750-Jan-20 00:00:00.0000, -5.186593571523133E+00, -8.501835797852152E+00,  3.569196522808192E-01,  4.449355816547455E-03, -2.924045427147688E-03, -1.231518584076782E-04,  5.755539653832646E-02,  9.965407992048780E+00,  1.744834225003897E-04,
2361062.500000000, A.D. 1752-Apr-08 00:00:00.0000, -1.210842974366130E+00, -9.984219080855313E+00,  2.264037902050885E-01,  5.218754823267606E-03, -6.944021313890203E-04, -1.935195622712374E-04,  5.810126374964728E-02,  1.005992196984183E+01,  5.667606932142478E-05,
2361871.500000000, A.D. 1754-Jun-26 00:00:00.0000,  2.993040282245656E+00, -9.597571908089973E+00,  5.335004871737910E-02,  5.009078385046687E-03,  1.636552648523273E-03, -2.274786881897281E-04,  5.806465054396880E-02,  1.005358258979360E+01, -7.228212777018253E-05,
2362680.500000000, A.D. 1756-Sep-12 00:00:00.0000,  6.636089909820615E+00, -7.408757224382054E+00, -1.297315660753411E-01,  3.845361611521944E-03,  3.700354654230779E-03, -2.182465716570163E-04,  5.744948559224947E-02,  9.947070080194099E+00, -1.878493267745860E-04,
2363489.500000000, A.D. 1758-Nov-30 00:00:00.0000,  8.990488591356172E+00, -3.783363847162181E+00, -2.874733587440438E-01,  1.857225001227953E-03,  5.124747122978337E-03, -1.645809512199984E-04,  5.635952141448426E-02,  9.758348633006863E+00, -2.709587724737851E-04,
2364298.500000000, A.D. 1761-Feb-16 00:00:00.0000,  9.493532771531639E+00,  6.144131938969754E-01, -3.858336420011518E-01, -6.696298762622769E-04,  5.553680264863295E-03, -7.251163240932837E-05,  5.498995194598194E-02,  9.521215030461173E+00, -3.063601976347886E-04,
2365107.500000000, A.D. 1763-May-06 00:00:00.0000,  7.893272998032662E+00,  4.863689732126987E+00, -3.984745774616786E-01, -3.242580057658713E-03,  4.734926092894377E-03,  4.324446556201455E-05,  5.359669137541304E-02,  9.279979440750518E+00, -2.782969541384762E-04,
2365916.500000000, A.D. 1765-Jul-23 00:00:00.0000,  4.416944153162554E+00,  7.941394559661189E+00, -3.161291498980375E-01, -5.188278582567598E-03,  2.694562805443770E-03,  1.566522691953698E-04,  5.251438463418772E-02,  9.092583837600204E+00, -1.723682424178648E-04,
