API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:23:51 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura184_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Jan-02 00:00:00.0000 TDB
Stop  time      : A.D. 1899-Dec-19 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2378497.500000000, A.D. 1800-Jan-02 00:00:00.0000, -1.827140680503269E+01,  9.776241808999792E-01,  2.420008801727924E-01, -2.499937770775045E-04, -4.110814351233692E-03, -1.220304681407721E-05,  1.056870335682216E-01,  1.829914260559985E+01,  2.983491360497700E-05,
2378527.500000000, A.D. 1800-Feb-01 00:00:00.0000, -1.827850432564606E+01,  8.542734978663091E-01,  2.416320083643973E-01, -2.231995277535876E-04, -4.112508078984416E-03, -1.231475034531647E-05,  1.056922836487786E-01,  1.830005162886938E+01,  3.079615541308785E-05,
2378557.500000000, A.D. 1800-Mar-03 00:00:00.0000, -1.828480294537572E+01,  7.308755514244951E-01,  2.412523457545626E-01, -1.965673760525143E-04, -4.113993567226889E-03, -1.283462723498021E-05,  1.056977293489602E-01,  1.830099452262698E+01,  3.192624504402171E-05,
2378587.500000000, A.D. 1800-Apr-02 00:00:00.0000, -1.829030372879712E+01,  6.074369394031774E-01,  2.408620680353196E-01, -1.700029885169538E-04, -4.115243554683181E-03, -1.314326334184253E-05,  1.057033788226213E-01,  1.830197269866884E+01,  3.313793771956357E-05,
2378617.500000000, A.D. 1800-May-02 00:00:00.0000, -1.829500626679078E+01,  4.839632661703442E-01,  2.404612072867728E-01, -1.435396332858170E-04, -4.116303070112565E-03, -1.362474161602932E-05,  1.057092311347819E-01,  1.830298599510818E+01,  3.445573255034837E-05,
2378647.500000000, A.D. 1800-Jun-01 00:00:00.0000, -1.829891166049302E+01,  3.604601837782507E-01,  2.400500650883435E-01, -1.170272061796470E-04, -4.117155916174604E-03, -1.371758048836922E-05,  1.057152938239397E-01,  1.830403571719542E+01,  3.573566144563825E-05,
2378677.500000000, A.D. 1800-Jul-01 00:00:00.0000, -1.830201884574032E+01,  2.369320752997852E-01,  2.396289792973871E-01, -9.018235528237509E-05, -4.117987154334714E-03, -1.419784975341975E-05,  1.057215615572646E-01,  1.830512094157968E+01,  3.668010221266121E-05,
2378707.500000000, A.D. 1800-Jul-31 00:00:00.0000, -1.830432729934182E+01,  1.133837907386118E-01,  2.391968497653778E-01, -6.365748126132330E-05, -4.118548552866816E-03, -1.464656440349162E-05,  1.057280319498704E-01,  1.830624125533067E+01,  3.795029809991256E-05,
