API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:26:56 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura184_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2100-Jan-19 00:00:00.0000 TDB
Stop  time      : A.D. 2199-Dec-06 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2488087.500000000, A.D. 2100-Jan-19 00:00:00.0000,  1.884123237330923E+01,  6.612338911631569E+00, -2.191135500598454E-01, -1.330050433062728E-03,  3.520211922210414E-03,  3.034940216882562E-05,  1.153316311218466E-01,  1.996905290631312E+01, -8.961892087630089E-05,
2488117.500000000, A.D. 2100-Feb-18 00:00:00.0000,  1.880102535706301E+01,  6.717832731634680E+00, -2.182003248262734E-01, -1.350523412738185E-03,  3.512737255794105E-03,  3.065733637264521E-05,  1.153160652937559E-01,  1.996635776672608E+01, -9.014829221111544E-05,
2488147.500000000, A.D. 2100-Mar-20 00:00:00.0000,  1.876019930889388E+01,  6.823102013349596E+00, -2.172803889583743E-01, -1.371207287218804E-03,  3.505207224327425E-03,  3.069442449032540E-05,  1.153003814987355E-01,  1.996364220179834E+01, -9.088546121334133E-05,
2488177.500000000, A.D. 2100-Apr-19 00:00:00.0000,  1.871875533090651E+01,  6.928144792975274E+00, -2.163533830558914E-01, -1.391735586069397E-03,  3.497619005765082E-03,  3.098495056747121E-05,  1.152845831237646E-01,  1.996090679796715E+01, -9.149137039261168E-05,
2488207.500000000, A.D. 2100-May-19 00:00:00.0000,  1.867669483820556E+01,  7.032958686270615E+00, -2.154196823085184E-01, -1.412348559152536E-03,  3.489955224625549E-03,  3.111048380510074E-05,  1.152686745240537E-01,  1.995815230931384E+01, -9.219259953360240E-05,
2488237.500000000, A.D. 2100-Jun-18 00:00:00.0000,  1.863401763959930E+01,  7.137541809914520E+00, -2.144788148854741E-01, -1.432839496478705E-03,  3.482240009150539E-03,  3.157897420929250E-05,  1.152526523933163E-01,  1.995537816337266E+01, -9.279181784648388E-05,
2488267.500000000, A.D. 2100-Jul-18 00:00:00.0000,  1.859072437064639E+01,  7.241891047798330E+00, -2.135306481233551E-01, -1.453259449905789E-03,  3.474329350179352E-03,  3.166432491375344E-05,  1.152365154669745E-01,  1.995258414118871E+01, -9.338101494552032E-05,
2488297.500000000, A.D. 2100-Aug-17 00:00:00.0000,  1.854681417995438E+01,  7.346002164573313E+00, -2.125758756442447E-01, -1.473936294174150E-03,  3.466355843651986E-03,  3.196560029788427E-05,  1.152202521347394E-01,  1.994976823250282E+01, -9.422466086101950E-05,
