API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:39 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura184_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1600-Mar-23 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-29 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305529.500000000, A.D. 1600-Mar-23 00:00:00.0000,  1.590427680452168E+01,  1.174318956006375E+01, -1.628930688275743E-01, -2.370172400454524E-03,  2.980192348272119E-03,  4.259864690312016E-05,  1.141852336244912E-01,  1.977056033273485E+01, -1.368627514262769E-04,
2305740.500000000, A.D. 1600-Oct-20 00:00:00.0000,  1.539089810762813E+01,  1.236172751102341E+01, -1.537982561569038E-01, -2.495229883782396E-03,  2.881809729503595E-03,  4.362671873420442E-05,  1.140157689886306E-01,  1.974121844060749E+01, -1.411458975194616E-04,
2305951.500000000, A.D. 1601-May-19 00:00:00.0000,  1.485157033671050E+01,  1.295897236704474E+01, -1.444498040859928E-01, -2.616142699484258E-03,  2.778437377778056E-03,  4.479646679885014E-05,  1.138414544126671E-01,  1.971103680738253E+01, -1.448226685800603E-04,
2306162.500000000, A.D. 1601-Dec-16 00:00:00.0000,  1.428712885658912E+01,  1.353393433318714E+01, -1.348637989747827E-01, -2.733331150474915E-03,  2.670496653042507E-03,  4.614371715962171E-05,  1.136629663895874E-01,  1.968013256418963E+01, -1.481367629398264E-04,
2306373.500000000, A.D. 1602-Jul-15 00:00:00.0000,  1.369841063404313E+01,  1.408561007270945E+01, -1.250554642864451E-01, -2.846306173480334E-03,  2.557915882839907E-03,  4.708307024458379E-05,  1.134807057395827E-01,  1.964857511089361E+01, -1.509500311621791E-04,
2306584.500000000, A.D. 1603-Feb-11 00:00:00.0000,  1.308626863611122E+01,  1.461306281583441E+01, -1.150399740055720E-01, -2.955270643705378E-03,  2.440734729970496E-03,  4.785008097656895E-05,  1.132951894300512E-01,  1.961645395762470E+01, -1.535629369443326E-04,
2306795.500000000, A.D. 1603-Sep-10 00:00:00.0000,  1.245159387029632E+01,  1.511533175056620E+01, -1.048330450219040E-01, -3.060075446440632E-03,  2.319329527607073E-03,  4.878576813484236E-05,  1.131067745231461E-01,  1.958383092777826E+01, -1.557660395842134E-04,
2307006.500000000, A.D. 1604-Apr-08 00:00:00.0000,  1.179526837242991E+01,  1.559149152745839E+01, -9.444915326870901E-02, -3.160500917399510E-03,  2.193335713796990E-03,  4.964845032343131E-05,  1.129157237490105E-01,  1.955075151166842E+01, -1.578594339840422E-04,
