API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:28:11 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura184_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1601-Aug-26 00:00:00.0000 TDB
Stop  time      : A.D. 2399-Jan-15 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2306050.500000000, A.D. 1601-Aug-26 00:00:00.0000,  1.458982169438785E+01,  1.323157705843969E+01, -1.399810740832035E-01, -2.671697575147151E-03,  2.728555183014984E-03,  4.550308640040223E-05,  1.137582314864121E-01,  1.969662720438602E+01, -1.463637719012126E-04,
2306859.500000000, A.D. 1603-Nov-13 00:00:00.0000,  1.225476272047013E+01,  1.526256088814391E+01, -1.017014576863665E-01, -3.090973539043359E-03,  2.281577820956886E-03,  4.915684231808472E-05,  1.130490872333613E-01,  1.957384268317849E+01, -1.564039445348636E-04,
2307668.500000000, A.D. 1606-Jan-30 00:00:00.0000,  9.606122777769864E+00,  1.690569641110845E+01, -6.088584250960553E-02, -3.445837109388468E-03,  1.769837552987898E-03,  5.174514522256114E-05,  1.123013671138010E-01,  1.944437895773410E+01, -1.637464755687130E-04,
2308477.500000000, A.D. 1608-Apr-18 00:00:00.0000,  6.700422909213047E+00,  1.810862400535223E+01, -1.839440606922664E-02, -3.723285946101194E-03,  1.193521597741944E-03,  5.323077473250364E-05,  1.115166101549860E-01,  1.930850250236151E+01, -1.727495823722818E-04,
2309286.500000000, A.D. 1610-Jul-06 00:00:00.0000,  3.609000710492569E+00,  1.882194062481034E+01,  2.472601203520418E-02, -3.901239367359091E-03,  5.629013085065985E-04,  5.325299051330869E-05,  1.106868627642209E-01,  1.916483619517508E+01, -1.817580840609489E-04,
2310095.500000000, A.D. 1612-Sep-22 00:00:00.0000,  4.189799190593288E-01,  1.901182356708182E+01,  6.717709641859489E-02, -3.966215131789253E-03, -9.587315643098931E-05,  5.154167818388282E-05,  1.098304814730161E-01,  1.901655837108034E+01, -1.830523453067632E-04,
2310904.500000000, A.D. 1614-Dec-10 00:00:00.0000, -2.777682180455314E+00,  1.866532261228408E+01,  1.076390122621033E-01, -3.917959211932650E-03, -7.599130298915590E-04,  4.820800318972415E-05,  1.089908365506751E-01,  1.887117835942480E+01, -1.746572073479225E-04,
2311713.500000000, A.D. 1617-Feb-26 00:00:00.0000, -5.890697499081401E+00,  1.778577572261750E+01,  1.449190425459827E-01, -3.760177597786887E-03, -1.411287274712789E-03,  4.352738733353996E-05,  1.082127995265127E-01,  1.873646542466926E+01, -1.571514243912256E-04,
