API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:24:09 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-04 00:00:00.0000 TDB
Stop  time      : A.D. 2099-Dec-20 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000, -7.145320177819197E-01, -8.326976483422484E-02,  4.010477629316494E-02,  2.216593911173259E-03, -2.018047101160635E-02, -4.037579179774405E-04,  4.161172786034150E-03,  7.204847335319281E-01,  1.115958891389390E-04,
2451577.500000000, A.D. 2000-Feb-03 00:00:00.0000, -4.170576654901318E-01, -5.920728148068430E-01,  1.598046370438059E-02,  1.639524505594425E-02, -1.174179152229730E-02, -1.106816526645911E-03,  4.183734969503371E-03,  7.243912545010356E-01,  1.332780971327171E-04,
2451607.500000000, A.D. 2000-Mar-04 00:00:00.0000,  1.568662110798287E-01, -7.102233666239094E-01, -1.876133109051214E-02,  1.961481279749865E-02,  4.291910498988016E-03, -1.073510627695897E-03,  4.202165796155572E-03,  7.275824532116132E-01,  6.710817288657289E-05,
2451637.500000000, A.D. 2000-Apr-03 00:00:00.0000,  6.288426194530080E-01, -3.644166974134032E-01, -4.127756566127843E-02,  1.002135921500356E-02,  1.741644202894064E-02, -3.403943102355042E-04,  4.204428221698190E-03,  7.279741800511429E-01, -4.249306911203156E-05,
2451667.500000000, A.D. 2000-May-03 00:00:00.0000,  6.905511916317324E-01,  2.187667709938413E-01, -3.686867839317469E-02, -6.177749260865457E-03,  1.919152348293728E-02,  6.188835228854171E-04,  4.189059323142193E-03,  7.253131377560569E-01, -1.246384544002708E-04,
2451697.500000000, A.D. 2000-Jun-02 00:00:00.0000,  2.977695156015082E-01,  6.569531639934345E-01, -8.208263816879073E-03, -1.848759100929021E-02,  8.257226191635081E-03,  1.179964513951491E-03,  4.166072856553775E-03,  7.213331544421265E-01, -1.249292459956078E-04,
2451727.500000000, A.D. 2000-Jul-02 00:00:00.0000, -2.931108712949606E-01,  6.556772781772209E-01,  2.588003840891265E-02, -1.853269201079829E-02, -8.367841440508981E-03,  9.553419867221315E-04,  4.150731472843387E-03,  7.186768761948770E-01, -4.138954637405346E-05,
2451757.500000000, A.D. 2000-Aug-01 00:00:00.0000, -6.858607487033525E-01,  2.120145582171427E-01,  4.248579592119347E-02, -6.070518316614325E-03, -1.941665561362237E-02,  8.501014364900884E-05,  4.153397590317882E-03,  7.191385001256648E-01,  7.026226419450218E-05,
