API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 10:20:53 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2199-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2488069.500000000, A.D. 2100-Jan-01 00:00:00.0000,  6.875297939410026E-01,  2.278299451942747E-01, -3.645142369161136E-02, -6.430238300484908E-03,  1.911072546039930E-02,  6.371059533504123E-04,  4.188475052164672E-03,  7.252119743722721E-01, -1.243888706863032E-04,
2488099.500000000, A.D. 2100-Jan-31 00:00:00.0000,  2.889548589616314E-01,  6.608165947354538E-01, -7.440607283929313E-03, -1.859715082454548E-02,  8.011150642707073E-03,  1.183621539353376E-03,  4.165701829615172E-03,  7.212689131191299E-01, -1.228982247856598E-04,
2488129.500000000, A.D. 2100-Mar-02 00:00:00.0000, -3.018850969584756E-01,  6.516676191470587E-01,  2.648703928433103E-02, -1.841990700024380E-02, -8.614198864537029E-03,  9.415823202364907E-04,  4.150773295590810E-03,  7.186841175791169E-01, -3.890349819623711E-05,
2488159.500000000, A.D. 2100-Apr-01 00:00:00.0000, -6.887004874428659E-01,  2.028420145515728E-01,  4.252406915348660E-02, -5.812476331438516E-03, -1.949355078955623E-02,  6.319923679535644E-05,  4.153804583142750E-03,  7.192089687488278E-01,  7.178950868840343E-05,
2488189.500000000, A.D. 2100-May-01 00:00:00.0000, -6.117843252348665E-01, -3.831734883555870E-01,  2.991889531376522E-02,  1.059521635633737E-02, -1.723570766922589E-02, -8.510538522505268E-04,  4.172775514924791E-03,  7.224936837637171E-01,  1.340030420735852E-04,
2488219.500000000, A.D. 2100-May-31 00:00:00.0000, -1.271960415280692E-01, -7.151067680821765E-01, -2.641533394613353E-03,  1.977822833507326E-02, -3.622248957107484E-03, -1.190526747351912E-03,  4.194964956671199E-03,  7.263356665041453E-01,  1.070127931084074E-04,
2488249.500000000, A.D. 2100-Jun-30 00:00:00.0000,  4.416537040355366E-01, -5.780050516016157E-01, -3.351779265426968E-02,  1.593770885906102E-02,  1.220891357115890E-02, -7.483749332481583E-04,  4.205716730779760E-03,  7.281972784827682E-01,  9.912572870662357E-06,
2488279.500000000, A.D. 2100-Jul-30 00:00:00.0000,  7.227705048749637E-01, -6.421653330528294E-02, -4.255576754337402E-02,  1.698338381678663E-03,  2.005494304038544E-02,  1.818036129418599E-04,  4.198019076794537E-03,  7.268644710110435E-01, -9.367196103317619E-05,
