API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:26:50 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2100-Jan-19 00:00:00.0000 TDB
Stop  time      : A.D. 2199-Dec-06 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2488087.500000000, A.D. 2100-Jan-19 00:00:00.0000,  4.917153278899345E-01,  5.293952586291649E-01, -2.095997145287668E-02, -1.488089478229367E-02,  1.367926723845128E-02,  1.048456469220484E-03,  4.174715578570588E-03,  7.228295953710332E-01, -1.347488507692075E-04,
2488117.500000000, A.D. 2100-Feb-18 00:00:00.0000, -6.789762940066095E-02,  7.160575285882945E-01,  1.389816685475305E-02, -2.020386673788080E-02, -2.018041974532698E-03,  1.136384337118632E-03,  4.154929047495194E-03,  7.194036637160867E-01, -7.985201690135157E-05,
2488147.500000000, A.D. 2100-Mar-20 00:00:00.0000, -5.811699988850773E-01,  4.207995267695239E-01,  3.936540440284001E-02, -1.194025622177220E-02, -1.648353696593758E-02,  4.583714923179201E-04,  4.150265307962718E-03,  7.185961622478476E-01,  2.936018950648245E-05,
2488177.500000000, A.D. 2100-Apr-19 00:00:00.0000, -7.022278139462743E-01, -1.587411745509986E-01,  3.826166373088009E-02,  4.329392438175482E-03, -1.981842628345815E-02, -5.259041521372949E-04,  4.163930900087915E-03,  7.209622861766410E-01,  1.188113611927436E-04,
2488207.500000000, A.D. 2100-May-19 00:00:00.0000, -3.531286429948056E-01, -6.329768076333552E-01,  1.152651686444008E-02,  1.752437998825822E-02, -9.944836648817781E-03, -1.148786319772055E-03,  4.186722349182483E-03,  7.249085032582337E-01,  1.286354409105487E-04,
2488237.500000000, A.D. 2100-Jun-18 00:00:00.0000,  2.297475376955357E-01, -6.902201815898316E-01, -2.286857349996366E-02,  1.905521038584075E-02,  6.319629105706086E-03, -1.010201192602424E-03,  4.203493509725457E-03,  7.278123396899676E-01,  5.365940585163222E-05,
2488267.500000000, A.D. 2100-Jul-18 00:00:00.0000,  6.630896108907830E-01, -2.969339036967884E-01, -4.236135978174778E-02,  8.152489225852358E-03,  1.837373276422133E-02, -2.136588626416318E-04,  4.203260432091990E-03,  7.277719835487364E-01, -5.620222758468150E-05,
2488297.500000000, A.D. 2100-Aug-17 00:00:00.0000,  6.634948068306010E-01,  2.897503892837218E-01, -3.420255028798631E-02, -8.160305405736368E-03,  1.844736797792274E-02,  7.276330001054977E-04,  4.186157127663194E-03,  7.248106381858970E-01, -1.297926731695724E-04,
