API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:31 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1000-Jul-23 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-29 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2086511.500000000, A.D. 1000-Jul-23 00:00:00.0000,  7.154642582297540E-01, -1.240766226647824E-01, -4.313793403240155E-02,  3.347212935802832E-03,  1.983150198137962E-02,  2.031598998111071E-05,  4.201247941963993E-03,  7.274235316847640E-01, -9.168105635717043E-05,
2086722.500000000, A.D. 1001-Feb-19 00:00:00.0000,  6.198000453837332E-01, -3.804350684935470E-01, -4.034011366869392E-02,  1.044860140267295E-02,  1.714920983735821E-02, -4.236217083963761E-04,  4.206664353394141E-03,  7.283613542522495E-01, -4.260007407307843E-05,
2086933.500000000, A.D. 1001-Sep-18 00:00:00.0000,  4.360622188357703E-01, -5.827896233597795E-01, -3.181137921935195E-02,  1.605104022266407E-02,  1.203879437792298E-02, -8.064368290941234E-04,  4.207836582868083E-03,  7.285643194939252E-01,  1.210825242501359E-05,
2087144.500000000, A.D. 1002-Apr-17 00:00:00.0000,  1.903125976011873E-01, -7.024823774058877E-01, -1.876349179814310E-02,  1.937722840106876E-02,  5.211659336579545E-03, -1.074939101697846E-03,  4.204848833467312E-03,  7.280470067214057E-01,  6.428354339080134E-05,
2087355.500000000, A.D. 1002-Nov-14 00:00:00.0000, -8.237700832133228E-02, -7.221641646068269E-01, -3.052789409833707E-03,  1.995112070612185E-02, -2.380181175096055E-03, -1.191118536897351E-03,  4.197957148564324E-03,  7.268537484703712E-01,  1.086933206571353E-04,
2087566.500000000, A.D. 1003-Jun-13 00:00:00.0000, -3.432390977264938E-01, -6.386188414710174E-01,  1.309159758337593E-02,  1.766784309887132E-02, -9.675608711011495E-03, -1.137223332467095E-03,  4.188021423730528E-03,  7.251334310436716E-01,  1.376897368369937E-04,
2087777.500000000, A.D. 1004-Jan-10 00:00:00.0000, -5.547008532314925E-01, -4.631069471547382E-01,  2.735017004290960E-02,  1.281336959837828E-02, -1.563021133730188E-02, -9.186140988816183E-04,  4.176419086719397E-03,  7.231245486637163E-01,  1.462378164280834E-04,
2087988.500000000, A.D. 1004-Aug-08 00:00:00.0000, -6.856231469009584E-01, -2.205024583244151E-01,  3.763936886361061E-02,  6.052775232537817E-03, -1.935377460848964E-02, -5.643538165388888E-04,  4.165254633066127E-03,  7.211914834369126E-01,  1.336540396764001E-04,
