API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:13 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : B.C. 0001-Jan-03 00:00:00.0000 TDB
Stop  time      : A.D. 0999-Dec-25 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
1721059.500000000, B.C. 0001-Jan-03 00:00:00.0000, -6.259225651999397E-01, -3.586454587945656E-01,  3.392940929685248E-02,  9.901560745661148E-03, -1.765849561641913E-02, -7.252121498668804E-04,  4.171015311772190E-03,  7.221889140354278E-01,  1.535926937531010E-04,
1721270.500000000, B.C. 0001-Aug-01 00:00:00.0000, -7.125480246268245E-01, -9.645973759452034E-02,  4.114390752479381E-02,  2.577094668288378E-03, -2.014666317595590E-02, -3.143856499331778E-04,  4.159664426132817E-03,  7.202235691108714E-01,  1.306581429997988E-04,
1721481.500000000, A.D. 0001-Feb-28 00:00:00.0000, -6.945601264437701E-01,  1.797946612370048E-01,  4.231757075947003E-02, -5.178798510247495E-03, -1.968576683311903E-02,  1.456404441447053E-04,  4.150868947404657E-03,  7.187006791772900E-01,  8.870774830284428E-05,
1721692.500000000, A.D. 0001-Sep-27 00:00:00.0000, -5.739457913577333E-01,  4.294915800212750E-01,  3.724111871865551E-02, -1.220830949082436E-02, -1.630921458431900E-02,  5.864798953894649E-04,  4.145775074901102E-03,  7.178187024937724E-01,  3.354423401449055E-05,
1721903.500000000, A.D. 0002-Apr-26 00:00:00.0000, -3.682609111834877E-01,  6.155290954011868E-01,  2.664320554268174E-02, -1.743991685361533E-02, -1.050676052335871E-02,  9.411952736982834E-04,  4.145526998383653E-03,  7.177757493762836E-01, -2.744683133613285E-05,
1722114.500000000, A.D. 0002-Nov-23 00:00:00.0000, -1.079825578187208E-01,  7.103118628956809E-01,  1.209665030568411E-02, -2.008028892574305E-02, -3.156771679084233E-03,  1.155982040709035E-03,  4.150140969901866E-03,  7.185746337799742E-01, -8.348179693501273E-05,
1722325.500000000, A.D. 0003-Jun-22 00:00:00.0000,  1.682654258513812E-01,  7.000845488627960E-01, -4.239852478692230E-03, -1.974922568521891E-02,  4.623162657807553E-03,  1.199398024685220E-03,  4.158572150223960E-03,  7.200344473998535E-01, -1.272055768533341E-04,
1722536.500000000, A.D. 0004-Jan-19 00:00:00.0000,  4.198762534084794E-01,  5.869805550720171E-01, -1.995841672753973E-02, -1.652996804165171E-02,  1.167294918030590E-02,  1.066980472172645E-03,  4.169750560593728E-03,  7.219699291572088E-01, -1.524192318362108E-04,
