API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Apr 13 11:59:34 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1700-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1799-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2341972.500000000, A.D. 1700-Jan-01 00:00:00.0000, -2.529600969055095E-01,  9.500547320733886E-01,  6.389952153253349E-04, -1.690353776621478E-02, -4.491438013852374E-03, -3.623848649849420E-06,  5.678228135661975E-03,  9.831547247897293E-01,  8.957183105452415E-06,
2342002.500000000, A.D. 1700-Jan-31 00:00:00.0000, -7.023467506299251E-01,  6.917907198891257E-01,  4.390201051685455E-04, -1.234943711215730E-02, -1.231799231418895E-02, -9.151311372112460E-06,  5.693693186077734E-03,  9.858324152632544E-01,  1.542962447227868E-04,
2342032.500000000, A.D. 1700-Mar-02 00:00:00.0000, -9.614041357991988E-01,  2.455919103498730E-01,  1.193556387899355E-04, -4.535656941994549E-03, -1.672553909694684E-02, -1.216205900035419E-05,  5.730913037973911E-03,  9.922768328480077E-01,  2.549095012255154E-04,
2342062.500000000, A.D. 1700-Apr-01 00:00:00.0000, -9.645595618167767E-01, -2.665204060451919E-01, -2.327751059802747E-04,  4.301078308447231E-03, -1.663647515104566E-02, -1.183400317717605E-05,  5.779583816442678E-03,  1.000703916907951E+00,  2.851159605978837E-04,
2342092.500000000, A.D. 1700-May-01 00:00:00.0000, -7.168458684299259E-01, -7.099010877480000E-01, -5.248597398297909E-04,  1.182056298835904E-02, -1.227780834403857E-02, -8.353827365826835E-06,  5.826773375526780E-03,  1.008874535781628E+00,  2.403788913884554E-04,
2342122.500000000, A.D. 1700-May-31 00:00:00.0000, -2.867823418468221E-01, -9.733478128585373E-01, -6.836958096933069E-04,  1.621420593518172E-02, -4.918307907794602E-03, -2.753921176812860E-06,  5.860516503077925E-03,  1.014716977206751E+00,  1.352871605252214E-04,
2342152.500000000, A.D. 1700-Jun-30 00:00:00.0000,  2.151462959988969E-01, -9.937881581693057E-01, -6.714649486478453E-04,  1.652489374261807E-02,  3.580331339213120E-03,  3.480554607263351E-06,  5.872606801813078E-03,  1.016810347540171E+00, -2.776863758394393E-06,
2342182.500000000, A.D. 1700-Jul-30 00:00:00.0000,  6.636636591905711E-01, -7.675191788192199E-01, -4.922468754391746E-04,  1.272506488576426E-02,  1.118906046922390E-02,  8.805373543041330E-06,  5.860188765230079E-03,  1.014660231157472E+00, -1.405985054015958E-04,
