API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:08 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2400-Jan-07 00:00:00.0000 TDB
Stop  time      : A.D. 2499-Dec-23 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2597647.500000000, A.D. 2400-Jan-07 00:00:00.0000, -1.757817846629005E-01,  9.676372369113345E-01, -8.612224620763094E-04, -1.719961429782633E-02, -3.150225348351654E-03,  4.513847901170780E-06,  5.680074144771426E-03,  9.834743513588983E-01, -2.531875115439893E-05,
2597677.500000000, A.D. 2400-Feb-06 00:00:00.0000, -6.441347302575056E-01,  7.453760019102637E-01, -6.151228501856584E-04, -1.328697489431182E-02, -1.132121986080257E-02,  1.190494049831284E-05,  5.689677988359208E-03,  9.851372053291662E-01,  1.218399520832882E-04,
2597707.500000000, A.D. 2400-Mar-07 00:00:00.0000, -9.375659899998918E-01,  3.202933189995439E-01, -2.012619574813607E-04, -5.831200706450089E-03, -1.634841231662253E-02,  1.598382450344011E-05,  5.722188855218157E-03,  9.907662874293798E-01,  2.329964270686205E-04,
2597737.500000000, A.D. 2400-Apr-06 00:00:00.0000, -9.803752765343614E-01, -1.909210328856116E-01,  2.670523722541899E-04,  3.016998208783213E-03, -1.695113015651626E-02,  1.566270763357269E-05,  5.768544788860052E-03,  9.987925685320771E-01,  2.788777333351695E-04,
2597767.500000000, A.D. 2400-May-06 00:00:00.0000, -7.668421125948328E-01, -6.527838037679365E-01,  6.659050764645038E-04,  1.087613203111074E-02, -1.316286226138155E-02,  1.118011619786481E-05,  5.816305304833296E-03,  1.007062045526597E+00,  2.504658753423930E-04,
2597797.500000000, A.D. 2400-Jun-05 00:00:00.0000, -3.572621329956583E-01, -9.483960642359309E-01,  8.946101887268777E-04,  1.581985303850722E-02, -6.128651780581153E-03,  3.897790656637842E-06,  5.853231035408529E-03,  1.013455537583273E+00,  1.584265600313067E-04,
2597827.500000000, A.D. 2400-Jul-05 00:00:00.0000,  1.421422809280207E-01, -1.006415430291938E+00,  8.985343841602946E-04,  1.675293475199677E-02,  2.338418726957810E-03, -4.221636318407893E-06,  5.870260395847897E-03,  1.016404079941225E+00,  2.742597738231883E-05,
2597857.500000000, A.D. 2400-Aug-04 00:00:00.0000,  6.062761492598059E-01, -8.142937979332358E-01,  6.786798001262001E-04,  1.351757318660352E-02,  1.020237651790247E-02, -1.117029277027662E-05,  5.863347680562246E-03,  1.015207180392309E+00, -1.106742416899778E-04,
