API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:26:06 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1700-Jan-16 00:00:00.0000 TDB
Stop  time      : A.D. 1799-Dec-03 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2341987.500000000, A.D. 1700-Jan-16 00:00:00.0000, -4.948121612573575E-01,  8.505214232887995E-01,  5.530144496865953E-04, -1.516094945606675E-02, -8.710239475946374E-03, -6.833932985170007E-06,  5.683022207981099E-03,  9.839847926804378E-01,  9.509609521826123E-05,
2342017.500000000, A.D. 1700-Feb-15 00:00:00.0000, -8.613775254880214E-01,  4.853817872782694E-01,  2.840350399013989E-04, -8.735834757490055E-03, -1.505109571304535E-02, -1.046319793446855E-05,  5.710369208640959E-03,  9.887197790644314E-01,  2.218232319348065E-04,
2342047.500000000, A.D. 1700-Mar-17 00:00:00.0000, -9.963680796660764E-01, -1.076738419108278E-02, -6.137701987089390E-05, -1.016632423761593E-04, -1.726900100869126E-02, -1.126435853895740E-05,  5.754878127336367E-03,  9.964262594426755E-01,  2.882668603787616E-04,
2342077.500000000, A.D. 1700-Apr-16 00:00:00.0000, -8.691228531850288E-01, -5.046526745236973E-01, -3.908828338118637E-04,  8.355095068679290E-03, -1.494522599823323E-02, -9.162588675375805E-06,  5.804464908870941E-03,  1.005011944516977E+00,  2.791487102974154E-04,
2342107.500000000, A.D. 1700-May-16 00:00:00.0000, -5.184317240767859E-01, -8.694115742786417E-01, -6.204274411802523E-04,  1.449699501826007E-02, -8.877687001261547E-03, -4.851882250758003E-06,  5.846263468382947E-03,  1.012249140749996E+00,  2.002122921649725E-04,
2342137.500000000, A.D. 1700-Jun-15 00:00:00.0000, -3.701519844879533E-02, -1.015669302724667E+00, -6.943468235538960E-04,  1.691648886590553E-02, -6.899381577137049E-04,  5.165038004183446E-07,  5.869912304008669E-03,  1.016343809707585E+00,  7.338211321282643E-05,
2342167.500000000, A.D. 1700-Jul-15 00:00:00.0000,  4.537381013361989E-01, -9.094068902714380E-01, -5.961152319253435E-04,  1.511902115363964E-02,  7.621969581080403E-03,  5.670886096308851E-06,  5.869755382846568E-03,  1.016316639650614E+00, -7.025279315083603E-05,
2342197.500000000, A.D. 1700-Aug-14 00:00:00.0000,  8.315526612261007E-01, -5.770808566364543E-01, -3.503050755089783E-04,  9.531108489951938E-03,  1.407937276056402E-02,  9.469930481060984E-06,  5.845846780707678E-03,  1.012176993515521E+00, -1.969232485599698E-04,
