API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:27 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : B.C. 0001-Jan-03 00:00:00.0000 TDB
Stop  time      : A.D. 0999-Dec-25 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
1721059.500000000, B.C. 0001-Jan-03 00:00:00.0000, -6.111288859794392E-01,  7.725423839588602E-01,  3.550280561744565E-03, -1.378849291742142E-02, -1.071382142955436E-02, -4.986626823749535E-05,  5.689143117595323E-03,  9.850445953272249E-01,  1.517577264298643E-04,
1721270.500000000, B.C. 0001-Aug-01 00:00:00.0000,  9.037585725859324E-01, -4.492879156094131E-01, -2.053469394084213E-03,  7.353735491782787E-03,  1.536822530745619E-02,  7.046327575923781E-05,  5.829107379011743E-03,  1.009278655957692E+00, -2.565209483293925E-04,
1721481.500000000, A.D. 0001-Feb-28 00:00:00.0000, -9.951248363106686E-01, -9.105769728724490E-02, -4.390482869486684E-04,  1.266045323673978E-03, -1.716014042765105E-02, -7.911807933552304E-05,  5.771373304777744E-03,  9.992823108816592E-01,  3.029418817339164E-04,
1721692.500000000, A.D. 0001-Sep-27 00:00:00.0000,  8.654712353584368E-01,  4.866663284550884E-01,  2.264015204092030E-03, -8.725216800030244E-03,  1.496302139524583E-02,  6.943086121180851E-05,  5.734626422255820E-03,  9.929197854054772E-01, -2.711883569101834E-04,
1721903.500000000, A.D. 0002-Apr-26 00:00:00.0000, -5.017187199343954E-01, -8.811989786855932E-01, -4.077751603859526E-03,  1.465278442561429E-02, -8.552877150406509E-03, -3.907042515033358E-05,  5.856529206953549E-03,  1.014026598283932E+00,  1.828055438291667E-04,
1722114.500000000, A.D. 0002-Nov-23 00:00:00.0000,  5.519796963947515E-02,  9.812036589927986E-01,  4.523733822217308E-03, -1.748437856027091E-02,  9.328155632717886E-04,  3.159514763937292E-06,  5.675979785962603E-03,  9.827654351069085E-01, -5.067929589729544E-05,
1722325.500000000, A.D. 0003-Jun-22 00:00:00.0000,  4.209460689488430E-01, -9.254121505759928E-01, -4.251604798724980E-03,  1.536456792915833E-02,  7.094987646637240E-03,  3.312636302489052E-05,  5.871749152385889E-03,  1.016661850145137E+00, -9.666355209254547E-05,
1722536.500000000, A.D. 0004-Jan-19 00:00:00.0000, -8.046196654817586E-01,  5.734751793107056E-01,  2.622683587877814E-03, -1.027987780994671E-02, -1.404796894911296E-02, -6.440797533056506E-05,  5.706648958436317E-03,  9.880756377092926E-01,  2.176568297419615E-04,
