API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:57 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 3000-Jul-26 00:00:00.0000 TDB
Stop  time      : A.D. 3999-Dec-26 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2816993.500000000, A.D. 3000-Jul-26 00:00:00.0000,  3.429318686104599E-01, -9.566522772701259E-01,  2.047183540393147E-03,  1.593116097521820E-02,  5.733778311993403E-03, -1.793731949679531E-05,  5.869444312781463E-03,  1.016262779538456E+00, -2.161448652103867E-05,
2817204.500000000, A.D. 3001-Feb-22 00:00:00.0000, -7.420806431904191E-01,  6.496259899301787E-01, -1.237025876179244E-03, -1.159713422227071E-02, -1.302798599054895E-02,  3.324509605099909E-05,  5.696134455632498E-03,  9.862551079835730E-01,  1.446374277026404E-04,
2817415.500000000, A.D. 3001-Sep-21 00:00:00.0000,  9.701534140182339E-01, -2.749948132609273E-01,  3.272885198078653E-04,  4.417479597837806E-03,  1.647130855038235E-02, -3.794879039133164E-05,  5.823887611715831E-03,  1.008374881266596E+00, -2.418782245689632E-04,
2817626.500000000, A.D. 3002-Apr-20 00:00:00.0000, -9.627372438693396E-01, -2.686933424020770E-01,  8.893362440744783E-04,  4.353862148710121E-03, -1.664211331490411E-02,  3.552358667803832E-05,  5.772802921980538E-03,  9.995298414271018E-01,  2.801631194850609E-04,
2817837.500000000, A.D. 3002-Nov-17 00:00:00.0000,  7.608849097700928E-01,  6.383372434466098E-01, -1.659111780437973E-03, -1.131990239388443E-02,  1.310263197995681E-02, -2.641064086472726E-05,  5.736177336966084E-03,  9.931883179632949E-01, -2.509102341252157E-04,
2818048.500000000, A.D. 3003-Jun-16 00:00:00.0000, -3.340564278926805E-01, -9.565257661059620E-01,  2.252454849850007E-03,  1.597397162975623E-02, -5.757236504415342E-03,  8.668445579233767E-06,  5.851658472565355E-03,  1.013183256767435E+00,  1.685348433123484E-04,
2818259.500000000, A.D. 3004-Jan-13 00:00:00.0000, -1.256909419607540E-01,  9.758459519186373E-01, -2.161407258264205E-03, -1.734056475612907E-02, -2.274433354026184E-03,  1.073212302820553E-05,  5.682588240847666E-03,  9.839096536005272E-01, -4.062147316902121E-05,
2818470.500000000, A.D. 3004-Aug-11 00:00:00.0000,  5.820634774718721E-01, -8.320360723245376E-01,  1.698251705906088E-03,  1.383103629954508E-02,  9.790010997224267E-03, -2.669209796953843E-05,  5.864596802840642E-03,  1.015423459210367E+00, -9.370134364091643E-05,
