API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:28:16 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 4000-Jun-17 00:00:00.0000 TDB
Stop  time      : A.D. 7998-Jun-23 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
3182197.500000000, A.D. 4000-Jun-17 00:00:00.0000, -5.108411275716656E-01, -8.714082756056997E-01,  4.246340691063961E-03,  1.459245007821318E-02, -8.792794195614817E-03,  2.817677686727873E-05,  5.833928432693308E-03,  1.010113395526490E+00,  2.057290051625306E-04,
3183006.500000000, A.D. 4002-Sep-04 00:00:00.0000,  7.146612082144252E-01, -7.196495403800323E-01,  2.627041771850823E-03,  1.194523326302324E-02,  1.202845419726117E-02, -6.286273941526619E-05,  5.857648469801940E-03,  1.014220392638683E+00, -1.179643421653251E-04,
3183815.500000000, A.D. 4004-Nov-21 00:00:00.0000,  8.526976302059015E-01,  5.157693085339240E-01, -2.945406993923727E-03, -9.158163096055308E-03,  1.463641207136516E-02, -5.819522765780250E-05,  5.755615978405138E-03,  9.965540143949461E-01, -2.608593444954342E-04,
3184624.500000000, A.D. 4007-Feb-08 00:00:00.0000, -3.418087063805066E-01,  9.229089677822309E-01, -3.825270058065321E-03, -1.638797031868576E-02, -6.072702368901014E-03,  4.016527559957221E-05,  5.684145273771178E-03,  9.841792454941303E-01, -3.204886853276426E-06,
3185433.500000000, A.D. 4009-Apr-27 00:00:00.0000, -9.835030918547614E-01, -1.633894321263747E-01,  1.491397212256074E-03,  2.558158442244982E-03, -1.705825475682894E-02,  7.406464429016174E-05,  5.758098111731104E-03,  9.969837824579189E-01,  2.721130322884505E-04,
3186242.500000000, A.D. 4011-Jul-15 00:00:00.0000, -7.513560269601939E-02, -1.011689173921642E+00,  4.556532803927535E-03,  1.690741723344798E-02, -1.364925658470914E-03, -7.749174942978804E-06,  5.859180387024648E-03,  1.014485635883496E+00,  1.089184654139067E-04,
3187051.500000000, A.D. 4013-Oct-01 00:00:00.0000,  9.543369354544350E-01, -3.296433886244067E-01,  7.241428282050130E-04,  5.355944341831710E-03,  1.616514521263783E-02, -7.630743646882042E-05,  5.831341182085303E-03,  1.009665426970330E+00, -2.153317203170803E-04,
3187860.500000000, A.D. 4015-Dec-19 00:00:00.0000,  5.198038284017878E-01,  8.424917518688215E-01, -4.160409693907488E-03, -1.489782262272762E-02,  8.949310761421553E-03, -2.758907540348077E-05,  5.717488019719958E-03,  9.899523629937819E-01, -2.061815886392998E-04,
