API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:19 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1000-Jul-23 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-29 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2086511.500000000, A.D. 1000-Jul-23 00:00:00.0000,  7.631328819927304E-01, -6.664040110038159E-01, -1.441558157089504E-03,  1.102607979674044E-02,  1.290259315420095E-02,  3.020887099314224E-05,  5.851452878754899E-03,  1.013147659302643E+00, -1.816312993434710E-04,
2086722.500000000, A.D. 1001-Feb-19 00:00:00.0000, -9.786200308788395E-01,  1.738788402056374E-01,  2.938143981646820E-04, -3.306853854917772E-03, -1.698895422210233E-02, -3.908355656313505E-05,  5.740560465390496E-03,  9.939472331243037E-01,  2.838403010260078E-04,
2086933.500000000, A.D. 1001-Sep-18 00:00:00.0000,  9.683762717617254E-01,  2.431383220735716E-01,  6.611020276518416E-04, -4.478074048221224E-03,  1.664440264722672E-02,  3.827408885932939E-05,  5.766470491743634E-03,  9.984334151197976E-01, -2.899975225822089E-04,
2087144.500000000, A.D. 1002-Apr-17 00:00:00.0000, -7.063352919306134E-01, -7.217078831525388E-01, -1.728533935628054E-03,  1.201193770166199E-02, -1.208736725281087E-02, -2.659434053618450E-05,  5.832343642401634E-03,  1.009838997593572E+00,  2.368087185656993E-04,
2087355.500000000, A.D. 1002-Nov-14 00:00:00.0000,  3.199128823668606E-01,  9.315579188715912E-01,  2.163557287717286E-03, -1.656463290110413E-02,  5.532558146773584E-03,  1.026644654086324E-05,  5.688663002618340E-03,  9.849614659958937E-01, -1.475376412868324E-04,
2087566.500000000, A.D. 1003-Jun-13 00:00:00.0000,  1.755364593040983E-01, -1.001824678510288E+00, -2.266933688559740E-03,  1.665116910205066E-02,  2.923526137772373E-03,  8.653235267695989E-06,  5.874218549403765E-03,  1.017089412984724E+00, -5.892286240020997E-06,
2087777.500000000, A.D. 1004-Jan-10 00:00:00.0000, -6.178153545607128E-01,  7.670958218481426E-01,  1.682018309391661E-03, -1.368367434173530E-02, -1.083722623486114E-02, -2.557115357458435E-05,  5.688620642849105E-03,  9.849541316292092E-01,  1.429001963432993E-04,
2087988.500000000, A.D. 1004-Aug-08 00:00:00.0000,  9.095106510431166E-01, -4.385769777998136E-01, -9.045367119642808E-04,  7.185647446590075E-03,  1.544094004989127E-02,  3.585196600034339E-05,  5.831729954800323E-03,  1.009732740879266E+00, -2.343693078312382E-04,
