API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:41 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : B.C. 0001-Mar-27 00:00:00.0000 TDB
Stop  time      : A.D. 3998-Mar-31 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
1721143.500000000, B.C. 0001-Mar-27 00:00:00.0000, -8.550179988780935E-01, -5.324866063890918E-01, -2.478516955191615E-03,  8.802335844256727E-03, -1.464182258331486E-02, -6.713021091600901E-05,  5.817538042052642E-03,  1.007275487359624E+00,  2.686308030849084E-04,
1721952.500000000, A.D. 0002-Jun-14 00:00:00.0000,  2.986450494169096E-01, -9.723118725106539E-01, -4.476571695538318E-03,  1.614077654946402E-02,  5.014942874564554E-03,  2.288852630924081E-05,  5.874583120855390E-03,  1.017152536574799E+00, -5.488650598746132E-05,
1722761.500000000, A.D. 0004-Aug-31 00:00:00.0000,  9.996840717250368E-01,  4.889289841924098E-02,  2.525485127561779E-04, -1.135839800967055E-03,  1.715510063501603E-02,  7.891217040396837E-05,  5.780595156070083E-03,  1.000879024936248E+00, -2.964378589170958E-04,
1723570.500000000, A.D. 0006-Nov-18 00:00:00.0000,  1.427222070526195E-01,  9.726829788356964E-01,  4.478572419599484E-03, -1.732006268720912E-02,  2.456339017860663E-03,  1.154991243312454E-05,  5.677959813938540E-03,  9.831082663234870E-01, -8.408706934692463E-05,
1724379.500000000, A.D. 0009-Feb-04 00:00:00.0000, -9.400240748430988E-01,  3.178174637618812E-01,  1.434590456150913E-03, -5.814297924229436E-03, -1.632762912594907E-02, -7.522462142158560E-05,  5.731035111152744E-03,  9.922979691637162E-01,  2.784107607728364E-04,
1725188.500000000, A.D. 0011-Apr-24 00:00:00.0000, -5.350627314300396E-01, -8.608784804957756E-01, -3.964805879484423E-03,  1.432000581277969E-02, -9.117676560880290E-03, -4.210035559826127E-05,  5.854164082334857E-03,  1.013617089650600E+00,  1.847611299692967E-04,
1725997.500000000, A.D. 0013-Jul-11 00:00:00.0000,  6.918494087093120E-01, -7.412257833944336E-01, -3.378647105000516E-03,  1.227154889196238E-02,  1.170058995764670E-02,  5.420921771898746E-05,  5.856052860867081E-03,  1.013944121515765E+00, -1.803829842469295E-04,
1726806.500000000, A.D. 0015-Sep-28 00:00:00.0000,  8.619846010332245E-01,  4.927855433085336E-01,  2.277390389462723E-03, -8.837067107250492E-03,  1.490717400180360E-02,  6.859930732882568E-05,  5.734540713588869E-03,  9.929049454098209E-01, -2.731577669384368E-04,
