API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : B.C. 4001-Feb-02 00:00:00.0000 TDB
Stop  time      : B.C. 0003-Jan-08 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
 260089.500000000, B.C. 4001-Feb-02 00:00:00.0000, -1.000389288471700E+00, -7.092413176805323E-02,  1.335932145088386E-03,  9.006652746136222E-04, -1.713268129699948E-02, -2.410265029079016E-04,  5.792274059945106E-03,  1.002901164457726E+00,  3.128749558718214E-04,
 260898.500000000, B.C. 3999-Apr-21 00:00:00.0000, -1.862975704192315E-01, -1.001390941067297E+00, -1.351176489962676E-02,  1.658671692883953E-02, -3.112119794489665E-03, -8.247792450038496E-05,  5.883303603476302E-03,  1.018662441334939E+00,  2.699415022414101E-05,
 261707.500000000, B.C. 3997-Jul-08 00:00:00.0000,  9.088441398647080E-01, -4.312496289578331E-01, -8.113086495068164E-03,  7.060695521896406E-03,  1.557910556386473E-02,  2.008614209691506E-04,  5.810182163485138E-03,  1.006001856467057E+00, -3.012333919672184E-04,
 262516.500000000, B.C. 3995-Sep-25 00:00:00.0000,  5.934148829751527E-01,  7.847266885349999E-01,  9.540926828753779E-03, -1.404559218866670E-02,  1.040111194157654E-02,  1.778046835434663E-04,  5.682441553944480E-03,  9.838842555505565E-01, -1.739400661390873E-04,
 263325.500000000, B.C. 3993-Dec-12 00:00:00.0000, -6.729064556926740E-01,  7.225550067244330E-01,  1.160893908370682E-02, -1.291500876506056E-02, -1.168643894361065E-02, -1.330793054892497E-04,  5.702936438686811E-03,  9.874328348409684E-01,  2.480704364466235E-04,
 264134.500000000, B.C. 3990-Mar-01 00:00:00.0000, -8.713065827443448E-01, -5.124776412820827E-01, -5.106416768271171E-03,  8.409048586339327E-03, -1.479899101428143E-02, -2.255233898489499E-04,  5.838230832854029E-03,  1.010858333021935E+00,  2.556681074252556E-04,
 264943.500000000, B.C. 3988-May-18 00:00:00.0000,  2.683397198132706E-01, -9.812742463619003E-01, -1.426163064503933E-02,  1.626771089224417E-02,  4.568758776338468E-03,  2.651184250335334E-05,  5.876029340619295E-03,  1.017402941764587E+00, -1.162867134363335E-04,
 265752.500000000, B.C. 3986-Aug-05 00:00:00.0000,  9.970764339686268E-01,  2.281078607180359E-02, -1.992902486232092E-03, -7.102817432140608E-04,  1.723779312618225E-02,  2.413682765280448E-04,  5.760151524104102E-03,  9.973393197889707E-01, -3.163202266914426E-04,
