API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 10:20:58 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2199-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2488069.500000000, A.D. 2100-Jan-01 00:00:00.0000, -5.373760304528921E+00, -9.084799102285207E-01,  1.238877644450175E-01,  1.166243143921560E-03, -7.098218632485186E-03,  3.817565881560050E-06,  3.148477811273055E-02,  5.451420341158694E+00,  3.337678111460423E-05,
2488099.500000000, A.D. 2100-Jan-31 00:00:00.0000, -5.334344017678575E+00, -1.120641005943284E+00,  1.239001137192241E-01,  1.460535325630314E-03, -7.043091666290679E-03, -2.973517849353997E-06,  3.148924331505489E-02,  5.452193466974958E+00,  1.860004315566619E-05,
2488129.500000000, A.D. 2100-Mar-02 00:00:00.0000, -5.286157987552462E+00, -1.330963187874342E+00,  1.237089195788213E-01,  1.752188538718892E-03, -6.976130198288371E-03, -9.748097396725324E-06,  3.149126628997226E-02,  5.452543734223934E+00,  3.928647350823836E-06,
2488159.500000000, A.D. 2100-Apr-01 00:00:00.0000, -5.229281677945606E+00, -1.539099109744045E+00,  1.233145275488407E-01,  2.041019976125255E-03, -6.897762681998451E-03, -1.651514770078208E-05,  3.149083530387349E-02,  5.452469111294176E+00, -1.077759796890215E-05,
2488189.500000000, A.D. 2100-May-01 00:00:00.0000, -5.163806854772361E+00, -1.744704163116549E+00,  1.227176332983615E-01,  2.325083947616379E-03, -6.807205869381424E-03, -2.324368526406143E-05,  3.148794027611809E-02,  5.451967852776884E+00, -2.431716780917417E-05,
2488219.500000000, A.D. 2100-May-31 00:00:00.0000, -5.089840100598235E+00, -1.947440506726832E+00,  1.219190714814835E-01,  2.605597146093595E-03, -6.706368151743474E-03, -2.997288433534004E-05,  3.148259413601904E-02,  5.451042197313209E+00, -3.769446415083004E-05,
2488249.500000000, A.D. 2100-Jun-30 00:00:00.0000, -5.007499722463411E+00, -2.146973199337621E+00,  1.209200835481477E-01,  2.882792920479584E-03, -6.594018274791193E-03, -3.662436316925486E-05,  3.147480990917960E-02,  5.449694400216442E+00, -5.189884745553847E-05,
2488279.500000000, A.D. 2100-Jul-30 00:00:00.0000, -4.916917693018077E+00, -2.342970560008452E+00,  1.197222599084333E-01,  3.155785866459717E-03, -6.471477027416999E-03, -4.324178387973425E-05,  3.146461045544510E-02,  5.447928419546105E+00, -6.597667655876216E-05,
