API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:57 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1600-Jan-31 00:00:00.0000 TDB
Stop  time      : A.D. 1699-Dec-17 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305477.500000000, A.D. 1600-Jan-31 00:00:00.0000, -4.212968037100722E+00,  3.301664657970539E+00,  8.225513103605138E-02, -4.736746728795187E-03, -5.592267921252795E-03,  1.284968122485988E-04,  3.091756129907047E-02,  5.353209794310866E+00,  2.806799648462961E-04,
2305507.500000000, A.D. 1600-Mar-01 00:00:00.0000, -4.351348652022112E+00,  3.131075439593984E+00,  8.603757770039798E-02, -4.489588255445534E-03, -5.778688003721041E-03,  1.236032923036934E-04,  3.096522001068339E-02,  5.361461644426813E+00,  2.709877168133356E-04,
2305537.500000000, A.D. 1600-Mar-31 00:00:00.0000, -4.482201342683776E+00,  2.955069080876707E+00,  8.967112640438567E-02, -4.234565212261720E-03, -5.953467888897087E-03,  1.185678768433549E-04,  3.101114702660704E-02,  5.369413660728738E+00,  2.603444623582196E-04,
2305567.500000000, A.D. 1600-Apr-30 00:00:00.0000, -4.605336231987081E+00,  2.773975493519498E+00,  9.315030268893833E-02, -3.973753678066524E-03, -6.117620738799792E-03,  1.133348682626724E-04,  3.105528957878831E-02,  5.377056706711466E+00,  2.493741526148744E-04,
2305597.500000000, A.D. 1600-May-30 00:00:00.0000, -4.720575044474297E+00,  2.588127741193722E+00,  9.646985347319377E-02, -3.707494396318607E-03, -6.270024896688479E-03,  1.079572241175083E-04,  3.109758131924444E-02,  5.384379294577896E+00,  2.385223438067305E-04,
2305627.500000000, A.D. 1600-Jun-29 00:00:00.0000, -4.827753932167187E+00,  2.397862552212301E+00,  9.962481035803428E-02, -3.437423194065256E-03, -6.411479898967443E-03,  1.023787989257910E-04,  3.113796027025637E-02,  5.391370693218627E+00,  2.283992932728259E-04,
2305657.500000000, A.D. 1600-Jul-29 00:00:00.0000, -4.926722449209566E+00,  2.203516867370131E+00,  1.026103490621848E-01, -3.161284998380545E-03, -6.541934510524620E-03,  9.665113541973988E-05,  3.117635792103214E-02,  5.398019040357754E+00,  2.166402394468529E-04,
2305687.500000000, A.D. 1600-Aug-28 00:00:00.0000, -5.017342619419061E+00,  2.005434316833737E+00,  1.054219396350086E-01, -2.880474899328457E-03, -6.660718409593026E-03,  9.077968028733808E-05,  3.121271336530477E-02,  5.404313790402047E+00,  2.043305433411180E-04,
