API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:36 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1600-Mar-23 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-29 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305529.500000000, A.D. 1600-Mar-23 00:00:00.0000, -4.448055704996314E+00,  3.002514781226909E+00,  8.871702411466945E-02, -4.302273835066740E-03, -5.908658137002051E-03,  1.199217831750557E-04,  3.099907726804710E-02,  5.367323846816409E+00,  2.620597204179854E-04,
2305740.500000000, A.D. 1600-Oct-20 00:00:00.0000, -5.156661077342918E+00,  1.647429879598095E+00,  1.099515364613615E-01, -2.375236993282290E-03, -6.841307310376341E-03,  8.012739093144681E-05,  3.127178814820789E-02,  5.414542271988116E+00,  1.821997417854246E-04,
2305951.500000000, A.D. 1601-May-19 00:00:00.0000, -5.439610158614594E+00,  1.558521290254721E-01,  1.221124636480621E-01, -2.941891914687336E-04, -7.198068697765615E-03,  3.448195590957818E-05,  3.143737235409542E-02,  5.443212288493171E+00,  8.867022523765878E-05,
2306162.500000000, A.D. 1601-Dec-16 00:00:00.0000, -5.280374036166185E+00, -1.348640102757703E+00,  1.243493834016667E-01,  1.791577323374483E-03, -6.966525590564191E-03, -1.341370266304533E-05,  3.148406780662168E-02,  5.451297355468388E+00, -1.220454052036161E-05,
2306373.500000000, A.D. 1602-Jul-15 00:00:00.0000, -4.693790195670186E+00, -2.744031978680102E+00,  1.165250856546111E-01,  3.733042074738840E-03, -6.169230649432969E-03, -6.030819491772270E-05,  3.140892121673645E-02,  5.438286126765989E+00, -1.104350723950574E-04,
2306584.500000000, A.D. 1603-Feb-11 00:00:00.0000, -3.724768680049113E+00, -3.915616781813163E+00,  9.920914320445352E-02,  5.394135721934832E-03, -4.854727276827033E-03, -1.027907988207596E-04,  3.121762434828033E-02,  5.405164100745420E+00, -2.021870129079927E-04,
2306795.500000000, A.D. 1603-Sep-10 00:00:00.0000, -2.446966864452480E+00, -4.761988284128221E+00,  7.367181763263954E-02,  6.637425268360827E-03, -3.102707255766173E-03, -1.377175324487047E-04,  3.092443936135941E-02,  5.354400693879394E+00, -2.757824976647240E-04,
2307006.500000000, A.D. 1604-Apr-08 00:00:00.0000, -9.609881919760392E-01, -5.201726764204280E+00,  4.186641845201769E-02,  7.348639563838045E-03, -1.023010799893897E-03, -1.617245359847634E-04,  3.055200745454011E-02,  5.289916108177001E+00, -3.303084550726176E-04,
