API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:23:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1700-Jan-16 00:00:00.0000 TDB
Stop  time      : A.D. 1799-Dec-03 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2341987.500000000, A.D. 1700-Jan-16 00:00:00.0000, -1.649761182429244E+00,  2.750218160244556E-02,  4.218701140930624E-02,  3.152516251526527E-04, -1.281307136681619E-02, -2.749497377639024E-04,  9.532664158206625E-03,  1.650529634079583E+00, -5.356320777038892E-04,
2342017.500000000, A.D. 1700-Feb-15 00:00:00.0000, -1.591245732350331E+00, -3.538604335553623E-01,  3.276418293931710E-02,  3.586187872120773E-03, -1.248122850489978E-02, -3.505424349955895E-04,  9.416669911138008E-03,  1.630445852778562E+00, -7.981733653538562E-04,
2342047.500000000, A.D. 1700-Mar-17 00:00:00.0000, -1.435372586572288E+00, -7.133921050374677E-01,  2.134049506633964E-02,  6.777831372512823E-03, -1.135203667120131E-02, -4.075185817079818E-04,  9.258280500437170E-03,  1.603021576443276E+00, -1.022417092540037E-03,
2342077.500000000, A.D. 1700-Apr-16 00:00:00.0000, -1.187200734150617E+00, -1.026778935256113E+00,  8.550219651847353E-03,  9.705726142513370E-03, -9.403690935207765E-03, -4.407732450040026E-04,  9.065528640623046E-03,  1.569647626478483E+00, -1.191924934251226E-03,
2342107.500000000, A.D. 1700-May-16 00:00:00.0000, -8.578677646527014E-01, -1.269558994427765E+00, -4.815996551019163E-03,  1.214853482260277E-02, -6.652071146340546E-03, -4.450525257736126E-04,  8.849444245259084E-03,  1.532233773216554E+00, -1.288639057398901E-03,
2342137.500000000, A.D. 1700-Jun-15 00:00:00.0000, -4.656882631822492E-01, -1.418657700263589E+00, -1.781524892288879E-02,  1.385084986831595E-02, -3.179278680496394E-03, -4.156206671269807E-04,  8.624248365049972E-03,  1.493242315257996E+00, -1.294140697739215E-03,
2342167.500000000, A.D. 1700-Jul-15 00:00:00.0000, -3.691094210232203E-02, -1.454889803172250E+00, -2.938552932668094E-02,  1.454487720999444E-02,  8.316731714805210E-04, -3.495391300717660E-04,  8.407159731027743E-03,  1.455654583462464E+00, -1.192993560913455E-03,
2342197.500000000, A.D. 1700-Aug-14 00:00:00.0000,  3.945811615985726E-01, -1.366455616699483E+00, -3.842626151692491E-02,  1.400040816097140E-02,  5.068286515323201E-03, -2.475146942912717E-04,  8.217431803148907E-03,  1.422804211081838E+00, -9.781951625410521E-04,
