API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:26:29 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1900-Jan-18 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-05 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2415037.500000000, A.D. 1900-Jan-18 00:00:00.0000,  6.632262932480256E-01, -1.239461866559052E+00, -4.236527739469975E-02,  1.287613450367853E-02,  7.795932975299449E-03, -1.562260689214076E-04,  8.122624695252352E-03,  1.406388869210182E+00, -7.937720090013207E-04,
2415067.500000000, A.D. 1900-Feb-17 00:00:00.0000,  1.011265311895876E+00, -9.496302640168183E-01, -4.493356598732907E-02,  1.011896544608626E-02,  1.139219881809617E-02, -1.265028596746626E-05,  8.016274211595037E-03,  1.387974853782609E+00, -4.213690178950882E-04,
2415097.500000000, A.D. 1900-Mar-19 00:00:00.0000,  1.259484971960765E+00, -5.663429642461092E-01, -4.307234947538761E-02,  6.281517849803113E-03,  1.395195331509723E-02,  1.360306665400809E-04,  7.979630475223402E-03,  1.381630187508730E+00,  2.915089046729134E-06,
2415127.500000000, A.D. 1900-Apr-18 00:00:00.0000,  1.381880104648422E+00, -1.264750365034332E-01, -3.690811643079210E-02,  1.820270743612450E-03,  1.512405138669571E-02,  2.711558858372998E-04,  8.017265686610667E-03,  1.388146522359995E+00,  4.268808169087803E-04,
2415157.500000000, A.D. 1900-May-18 00:00:00.0000,  1.368135018041914E+00,  3.260609582317280E-01, -2.710348271818117E-02, -2.699113141828487E-03,  1.480111166778186E-02,  3.764557623197678E-04,  8.124501461623230E-03,  1.406713821234083E+00,  7.983927982349684E-04,
2415187.500000000, A.D. 1900-Jun-17 00:00:00.0000,  1.224661735500284E+00,  7.480520298620967E-01, -1.472118197297150E-02, -6.751077175133631E-03,  1.313016205365172E-02,  4.419735698116705E-04,  8.288613188155124E-03,  1.435128885841983E+00,  1.078476037084599E-03,
2415217.500000000, A.D. 1900-Jul-17 00:00:00.0000,  9.715430678613647E-01,  1.103589280547614E+00, -1.010143913546255E-03, -9.962219151483027E-03,  1.043304388301499E-02,  4.651843834265657E-04,  8.491792060660679E-03,  1.470308217089124E+00,  1.247765952160451E-03,
2415247.500000000, A.D. 1900-Aug-16 00:00:00.0000,  6.372685847907378E-01,  1.367631240250117E+00,  1.279961121505896E-02, -1.214462460657099E-02,  7.094572883164122E-03,  4.494775163234117E-04,  8.714509429155951E-03,  1.508870534047411E+00,  1.305032385766841E-03,
