API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1600-Mar-23 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-29 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305529.500000000, A.D. 1600-Mar-23 00:00:00.0000, -1.541177350375256E+00,  6.283900285232147E-01,  5.226859823280799E-02, -4.723212992507732E-03, -1.178522207417226E-02, -1.250036865992072E-04,  9.617293616993178E-03,  1.665182770634600E+00, -7.983563132369448E-05,
2305740.500000000, A.D. 1600-Oct-20 00:00:00.0000, -2.831226011933376E-01, -1.448178541176839E+00, -2.292340163620725E-02,  1.429661309487998E-02, -1.503651561819153E-03, -3.948970166107216E-04,  8.523352114988432E-03,  1.475772671102881E+00, -1.261092589643956E-03,
2305951.500000000, A.D. 1601-May-19 00:00:00.0000,  1.264785856706071E+00,  6.697392252171575E-01, -1.823610924001492E-02, -5.977189051340329E-03,  1.354126075192605E-02,  4.337038310830402E-04,  8.266391968819202E-03,  1.431281400982491E+00,  1.048948332587010E-03,
2306162.500000000, A.D. 1601-Dec-16 00:00:00.0000, -1.152427757399270E+00,  1.186775725527353E+00,  5.399712880784183E-02, -9.474807428830175E-03, -8.577944366469255E-03,  6.253997446165012E-05,  9.559210506326674E-03,  1.655125991773670E+00,  4.484926891928273E-04,
2306373.500000000, A.D. 1602-Jul-15 00:00:00.0000, -9.871951710712021E-01, -1.188938154034771E+00,  3.767179337448716E-04,  1.132657767605900E-02, -7.763826792491077E-03, -4.495581403994687E-04,  8.925237914526901E-03,  1.545357040240963E+00, -1.262492872176527E-03,
2306584.500000000, A.D. 1603-Feb-11 00:00:00.0000,  1.383457728267812E+00, -1.237680319531747E-01, -3.775881815795339E-02,  1.817097259474446E-03,  1.511089011753636E-02,  2.680986699855201E-04,  8.025060463177294E-03,  1.389496146085402E+00,  4.559271564605853E-04,
2306795.500000000, A.D. 1603-Sep-10 00:00:00.0000, -5.474433143283417E-01,  1.521601407104062E+00,  4.557088520338157E-02, -1.260241415754265E-02, -3.570212621085330E-03,  2.462342785262493E-04,  9.343213877980637E-03,  1.617727334899822E+00,  9.135581189711555E-04,
2307006.500000000, A.D. 1604-Apr-08 00:00:00.0000, -1.467796937178753E+00, -6.542715787906019E-01,  2.371785358394874E-02,  6.255381421637058E-03, -1.160736933930475E-02, -4.005083140449742E-04,  9.282358879239993E-03,  1.607190618496482E+00, -9.935081797432556E-04,
