API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:47 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-27 00:00:00.0000 TDB
Stop  time      : A.D. 2599-Aug-23 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451752.500000000, A.D. 2000-Jul-27 00:00:00.0000, -6.062139068617793E-01,  1.500639120771446E+00,  4.633457779423301E-02, -1.244315353479823E-02, -4.052577564490793E-03,  2.209514553418341E-04,  9.351275772364326E-03,  1.619123208641544E+00,  9.091303054118645E-04,
2451963.500000000, A.D. 2001-Feb-23 00:00:00.0000, -1.441611012112080E+00, -7.086029027816841E-01,  2.059005407443666E-02,  6.699281445749893E-03, -1.136431032054316E-02, -4.027011582266247E-04,  9.278266092860100E-03,  1.606481974502121E+00, -1.004223071538761E-03,
2452174.500000000, A.D. 2001-Sep-22 00:00:00.0000,  1.106540219360135E+00, -8.307229044614135E-01, -4.459469006045874E-02,  8.936492194073340E-03,  1.238668478139555E-02,  3.983563592074015E-05,  7.995538148454150E-03,  1.384384515746969E+00, -2.911699594737287E-04,
2452385.500000000, A.D. 2002-Apr-21 00:00:00.0000,  1.042847041618867E-01,  1.556906532840751E+00,  3.004826062366941E-02, -1.343012642463328E-02,  2.121984448066975E-03,  3.744839855390435E-04,  9.013762015111121E-03,  1.560684513119435E+00,  1.226658728933444E-03,
2452596.500000000, A.D. 2002-Nov-18 00:00:00.0000, -1.648522078687906E+00, -4.481883689470609E-02,  3.956434463900046E-02,  9.038549097618581E-04, -1.279266291152070E-02, -2.902084272705515E-04,  9.527328211999335E-03,  1.649605743633552E+00, -5.626522652508075E-04,
2452807.500000000, A.D. 2003-Jun-17 00:00:00.0000,  4.762979218631607E-01, -1.335928379117806E+00, -3.968928510543075E-02,  1.371216349305908E-02,  5.902654925073065E-03, -2.132310677166096E-04,  8.194602857613184E-03,  1.418851501692715E+00, -9.486449147827879E-04,
2453018.500000000, A.D. 2004-Jan-14 00:00:00.0000,  7.878575032993743E-01,  1.265887121938365E+00,  7.167519914075261E-03, -1.134726147465606E-02,  8.586960208490931E-03,  4.586888840822811E-04,  8.611607760695665E-03,  1.491053662460288E+00,  1.296656827453829E-03,
2453229.500000000, A.D. 2004-Aug-12 00:00:00.0000, -1.542255384955048E+00,  6.281612918283099E-01,  5.104990040187488E-02, -4.752993437386104E-03, -1.176505032399119E-02, -1.297456728958799E-04,  9.622340051284184E-03,  1.666056533646231E+00, -4.000043744717342E-05,
