API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:28:07 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1601-Aug-26 00:00:00.0000 TDB
Stop  time      : A.D. 2598-May-21 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2306050.500000000, A.D. 1601-Aug-26 00:00:00.0000,  2.189448906459280E-01,  1.538482785133582E+00,  2.643460145883778E-02, -1.328737480270221E-02,  3.139375290203320E-03,  4.032471155595832E-04,  8.976361302775756E-03,  1.554208780520374E+00,  1.242646237685686E-03,
2306859.500000000, A.D. 1603-Nov-13 00:00:00.0000, -1.243403112805018E+00,  1.096948164505053E+00,  5.443697915312679E-02, -8.695338528594557E-03, -9.322501408352687E-03,  2.721908055631757E-05,  9.581635323473295E-03,  1.659008728501310E+00,  3.538208686284055E-04,
2307668.500000000, A.D. 1606-Jan-30 00:00:00.0000, -1.590870034533610E+00, -3.521004669887767E-01,  3.312181776045581E-02,  3.580185390079271E-03, -1.248979272942748E-02, -3.508177680316903E-04,  9.412392649988249E-03,  1.629705267967935E+00, -8.035609569701228E-04,
2308477.500000000, A.D. 1608-Apr-18 00:00:00.0000, -4.368967286878894E-01, -1.424078430596803E+00, -1.851797947194498E-02,  1.394053634738353E-02, -2.926135057696658E-03, -4.152624342824683E-04,  8.603818645589038E-03,  1.489705018986294E+00, -1.286052648005246E-03,
2309286.500000000, A.D. 1610-Jul-06 00:00:00.0000,  1.143982694034369E+00, -7.761269386001104E-01, -4.521799407536475E-02,  8.425254821299194E-03,  1.275483970727022E-02,  5.120797105000490E-05,  7.988429420592332E-03,  1.383153677672554E+00, -1.903942504187517E-04,
2310095.500000000, A.D. 1612-Sep-22 00:00:00.0000,  1.103059593569562E+00,  9.505642545043280E-01, -8.248203971552862E-03, -8.565425827875246E-03,  1.177459553902271E-02,  4.626265389474024E-04,  8.410037040696748E-03,  1.456152774188194E+00,  1.195285749539061E-03,
2310904.500000000, A.D. 1614-Dec-10 00:00:00.0000, -3.823995149567828E-01,  1.558529431842267E+00,  4.214298023738477E-02, -1.302606081292735E-02, -2.166753268275526E-03,  2.858657322537041E-04,  9.271495918074064E-03,  1.605309755075652E+00,  1.006819914541594E-03,
2311713.500000000, A.D. 1617-Feb-26 00:00:00.0000, -1.546775144633054E+00,  6.139990518425974E-01,  5.206192361165644E-02, -4.605047656257285E-03, -1.183296198017803E-02, -1.292146269778421E-04,  9.616226969624617E-03,  1.664998086367778E+00, -8.959850766796748E-05,
