API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Apr 13 11:59:52 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2415020.500000000, A.D. 1900-Jan-01 00:00:00.0000, -3.873786086579065E-01, -1.626546484088456E-01,  2.239016479422692E-02,  5.080088572356584E-03, -2.470280930917782E-02, -2.482303035708166E-03,  2.429977121103597E-03,  4.207374960402903E-01,  4.740556676334209E-03,
2415050.500000000, A.D. 1900-Jan-31 00:00:00.0000,  1.501855137174329E-01, -4.198023543075506E-01, -4.806187486259612E-02,  2.085654206526894E-02,  1.091986342114218E-02, -1.029118682412778E-03,  2.589981267367368E-03,  4.484413551714865E-01, -3.127214961255236E-03,
2415080.500000000, A.D. 1900-Mar-02 00:00:00.0000,  1.473701983914774E-01,  2.719768957721840E-01,  8.617335934138881E-03, -3.034723490654753E-02,  1.453404282157783E-02,  3.978644902772547E-03,  1.787274864056942E-03,  3.094570498250422E-01, -1.567483629028157E-03,
2415110.500000000, A.D. 1900-Apr-01 00:00:00.0000, -3.739862260867945E-01, -2.113949475836770E-01,  1.718213172479182E-02,  8.057146952057588E-03, -2.324253841526232E-02, -2.637227047606542E-03,  2.483128656688594E-03,  4.299403991452264E-01,  4.314039875170156E-03,
2415140.500000000, A.D. 1900-May-01 00:00:00.0000,  1.914183054804328E-01, -3.947944269531107E-01, -4.981751331601410E-02,  1.968972490410255E-02,  1.369895354025006E-02, -6.950534747211032E-04,  2.550304307584755E-03,  4.415715025442953E-01, -3.634000136518989E-03,
2415170.500000000, A.D. 1900-May-31 00:00:00.0000,  8.310903705237067E-02,  2.956635178025649E-01,  1.646409289943694E-02, -3.271729132241557E-02,  8.691244682021952E-03,  3.720258032142534E-03,  1.776336638280534E-03,  3.075631547408779E-01, -2.866660872353389E-04,
2415200.500000000, A.D. 1900-Jun-30 00:00:00.0000, -3.548490940356419E-01, -2.568956639897472E-01,  1.170965217045036E-02,  1.073790273890449E-02, -2.152213410369765E-02, -2.743657712436594E-03,  2.531037323257737E-03,  4.382355276202533E-01,  3.848342930965388E-03,
2415230.500000000, A.D. 1900-Jul-30 00:00:00.0000,  2.299360434888869E-01, -3.641925414945780E-01, -5.086675157377019E-02,  1.817663059588636E-02,  1.642142655397101E-02, -3.337254825190403E-04,  2.504832497732811E-03,  4.336983027304475E-01, -4.113742216731320E-03,
