API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:24:23 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2100-Jan-19 00:00:00.0000 TDB
Stop  time      : A.D. 2199-Dec-06 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2488087.500000000, A.D. 2100-Jan-19 00:00:00.0000,  3.191241871162075E-01,  1.032135333903109E-01, -2.076386020270799E-02, -1.411792434273612E-02,  2.801003185337115E-02,  3.583990909855652E-03,  1.940818384545742E-03,  3.360422862795851E-01, -5.025481395806114E-03,
2488117.500000000, A.D. 2100-Feb-18 00:00:00.0000, -3.898749252586539E-01, -2.086091548703441E-02,  3.397763679676299E-02, -4.353057200898032E-03, -2.689746554331147E-02, -1.802347632581205E-03,  2.263473565983450E-03,  3.919082991500574E-01,  5.605939190072226E-03,
2488147.500000000, A.D. 2100-Mar-20 00:00:00.0000,  3.202184893101630E-02, -4.588330173032130E-01, -4.047306228143283E-02,  2.242044979000965E-02,  3.391170602781528E-03, -1.774631887783924E-03,  2.666708892601782E-03,  4.617263316586657E-01, -1.659450510543139E-03,
2488177.500000000, A.D. 2100-Apr-19 00:00:00.0000,  2.853354309269545E-01,  1.580808496319989E-01, -1.318184086423212E-02, -1.913247485136613E-02,  2.583405283187406E-02,  3.864927082958995E-03,  1.885506607671189E-03,  3.264653489900811E-01, -4.368766221237876E-03,
2488207.500000000, A.D. 2100-May-19 00:00:00.0000, -3.948520616291600E-01, -7.510661607970050E-02,  2.999472161596200E-02, -5.919647131324761E-04, -2.644106940303027E-02, -2.109255879090124E-03,  2.327819333131859E-03,  4.030494233671108E-01,  5.350140870708922E-03,
2488237.500000000, A.D. 2100-Jun-18 00:00:00.0000,  7.726259533158217E-02, -4.490972423047659E-01, -4.381714389930018E-02,  2.208185814541531E-02,  6.199494225220874E-03, -1.513839559662060E-03,  2.644013013730901E-03,  4.577966620483481E-01, -2.210024773486390E-03,
2488267.500000000, A.D. 2100-Jul-18 00:00:00.0000,  2.416114291131716E-01,  2.073815521855340E-01, -5.145518719942413E-03, -2.387092935118719E-02,  2.253820198753826E-02,  4.028924925824314E-03,  1.839207145060524E-03,  3.184488455433428E-01, -3.498875776670195E-03,
2488297.500000000, A.D. 2100-Aug-17 00:00:00.0000, -3.924695580055373E-01, -1.279468109054815E-01,  2.545244090866483E-02,  2.887269818444651E-03, -2.554711943921316E-02, -2.354565413425889E-03,  2.388653888613231E-03,  4.135826001298337E-01,  5.018532000327562E-03,
