API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:26:03 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1700-Jan-16 00:00:00.0000 TDB
Stop  time      : A.D. 1799-Dec-03 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2341987.500000000, A.D. 1700-Jan-16 00:00:00.0000, -1.610077605519702E-01,  2.769243451205869E-01,  3.741440902365741E-02, -2.997094565523148E-02, -1.301693570600636E-02,  1.715787303317686E-03,  1.862642089387481E-03,  3.225064803705749E-01,  3.984551293972073E-03,
2342017.500000000, A.D. 1700-Feb-15 00:00:00.0000, -2.462415019705588E-01, -3.884346590999831E-01, -8.786328160128216E-03,  1.809172899886702E-02, -1.367783929763574E-02, -2.786416166748564E-03,  2.656698011343335E-03,  4.599930013004267E-01,  1.918495905835607E-03,
2342047.500000000, A.D. 1700-Mar-17 00:00:00.0000,  3.349304989234801E-01, -2.080519059805044E-01, -4.791292774117648E-02,  9.332860495579789E-03,  2.524042545029959E-02,  1.188089874126677E-03,  2.293976579167902E-03,  3.971897321633368E-01, -5.494562643722807E-03,
2342077.500000000, A.D. 1700-Apr-16 00:00:00.0000, -2.186701435329813E-01,  2.457511888447984E-01,  4.021712996052534E-02, -2.669929458441544E-02, -1.753383160653371E-02,  1.045756247737033E-03,  1.914021902458892E-03,  3.314026192316956E-01,  4.741772817784932E-03,
2342107.500000000, A.D. 1700-May-16 00:00:00.0000, -2.080475416402925E-01, -4.137394992394943E-01, -1.437883302994338E-02,  1.948003018968161E-02, -1.122745743687113E-02, -2.715699590589038E-03,  2.675947316398808E-03,  4.633259151534909E-01,  1.363012074093054E-03,
2342137.500000000, A.D. 1700-Jun-15 00:00:00.0000,  3.504678606751843E-01, -1.548859931560236E-01, -4.502870456243398E-02,  5.893336680803323E-03,  2.705728903243200E-02,  1.654151099779706E-03,  2.228219946056082E-03,  3.858043240772959E-01, -5.701994843041077E-03,
2342167.500000000, A.D. 1700-Jul-15 00:00:00.0000, -2.690516742429080E-01,  2.063447550384443E-01,  4.167656260293284E-02, -2.284441966562943E-02, -2.111743135726379E-02,  3.976194027140348E-04,  1.973029806646924E-03,  3.416195211272091E-01,  5.284913349394093E-03,
2342197.500000000, A.D. 1700-Aug-14 00:00:00.0000, -1.672990591869042E-01, -4.339709602851111E-01, -1.979523270561939E-02,  2.060670595856438E-02, -8.683771097690715E-03, -2.613181086591176E-03,  2.688636355230115E-03,  4.655229541209266E-01,  8.007134487424355E-04,
