API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:11 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : B.C. 0001-Jan-03 00:00:00.0000 TDB
Stop  time      : A.D. 0999-Dec-25 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
1721059.500000000, B.C. 0001-Jan-03 00:00:00.0000,  1.106192261451660E-01, -4.346051519063086E-01, -4.504125178534846E-02,  2.170249818051558E-02,  8.696573449300787E-03, -1.415244933600677E-03,  2.603131673670804E-03,  4.507182774404119E-01, -2.917826352479910E-03,
1721270.500000000, B.C. 0001-Aug-01 00:00:00.0000,  2.489387830172399E-02,  3.069016141450500E-01,  2.182917144079338E-02, -3.357449374741708E-02,  3.614237033534817E-03,  3.537515121410854E-03,  1.782800809253485E-03,  3.086823912495330E-01,  1.135914623263001E-03,
1721481.500000000, A.D. 0001-Feb-28 00:00:00.0000, -2.677118751373308E-01, -3.733946493677379E-01, -3.562320080255163E-03,  1.724933984464699E-02, -1.476663233705638E-02, -2.837092259792610E-03,  2.653634804614606E-03,  4.594626234965755E-01,  1.971944992995266E-03,
1721692.500000000, A.D. 0001-Sep-27 00:00:00.0000,  3.553198747661930E-01, -9.237408775911525E-02, -4.171181291471011E-02,  1.709498415725617E-03,  2.880817528817494E-02,  2.109845507061290E-03,  2.134013468077259E-03,  3.694929780521188E-01, -5.796363550997168E-03,
1721903.500000000, A.D. 0002-Apr-26 00:00:00.0000, -3.833983598614153E-01,  2.784240736412517E-02,  3.933386112053961E-02, -7.794044400073028E-03, -2.654412386044022E-02, -1.341695801442756E-03,  2.231747681282790E-03,  3.864151324972964E-01,  5.684035817940652E-03,
1722114.500000000, A.D. 0002-Nov-23 00:00:00.0000,  9.685497233157929E-02, -4.398250051213383E-01, -4.412081424413378E-02,  2.191249402966456E-02,  7.809319259842423E-03, -1.505512769343820E-03,  2.613532556351706E-03,  4.525191344516843E-01, -2.753420433296496E-03,
1722325.500000000, A.D. 0003-Jun-22 00:00:00.0000,  4.606695734921330E-02,  3.039867516337501E-01,  1.954901990213909E-02, -3.334903457713060E-02,  5.564016411264298E-03,  3.669455408805227E-03,  1.779312197018666E-03,  3.080783567655925E-01,  7.362833942415831E-04,
1722536.500000000, A.D. 0004-Jan-19 00:00:00.0000, -2.784104237220608E-01, -3.638621771988030E-01, -1.776047842399316E-03,  1.672212214084414E-02, -1.547889578086788E-02, -2.842194294251963E-03,  2.646115366254269E-03,  4.581606731037585E-01,  2.142522349396761E-03,
