API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:21 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-27 00:00:00.0000 TDB
Stop  time      : A.D. 2999-Dec-27 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451752.500000000, A.D. 2000-Jul-27 00:00:00.0000,  3.543074809915426E-01, -3.667825732688429E-03, -3.281962685622126E-02, -5.142171007557114E-03,  2.939435118956816E-02,  2.873213454714101E-03,  2.055178835067295E-03,  3.558431844776000E-01, -5.687957212493649E-03,
2451963.500000000, A.D. 2001-Feb-23 00:00:00.0000, -3.942567976668946E-01, -5.731512989461576E-02,  3.150387327683436E-02, -1.801953565036502E-03, -2.662988353529296E-02, -2.010021291746560E-03,  2.308155684102547E-03,  3.996447680788955E-01,  5.438340229970327E-03,
2452174.500000000, A.D. 2001-Sep-22 00:00:00.0000,  1.706108184700095E-01, -4.085101722689159E-01, -4.903034720688505E-02,  2.032755809949252E-02,  1.226044407058262E-02, -8.641218679032414E-04,  2.572489952046049E-03,  4.454128278051875E-01, -3.363276730680233E-03,
2452385.500000000, A.D. 2002-Apr-21 00:00:00.0000, -5.059805236175890E-02,  3.058406190186601E-01,  2.962835921645141E-02, -3.340090706239731E-02, -3.564965972607911E-03,  2.774294329503439E-03,  1.798556933621128E-03,  3.114104796155382E-01,  2.189737591487355E-03,
2452596.500000000, A.D. 2002-Nov-18 00:00:00.0000, -2.143640340258763E-01, -4.097348930458138E-01, -1.379833400574069E-02,  1.926097906986733E-02, -1.168056365925401E-02, -2.721936503532685E-03,  2.671918674995095E-03,  4.626283775174687E-01,  1.501489211881437E-03,
2452807.500000000, A.D. 2003-Jun-17 00:00:00.0000,  3.570998235321144E-01, -2.220798120121459E-02, -3.458756045358398E-02, -3.690000567033544E-03,  2.934107312355288E-02,  2.735624195690333E-03,  2.076054050851186E-03,  3.594576160464973E-01, -5.741770452993143E-03,
2453018.500000000, A.D. 2004-Jan-14 00:00:00.0000, -3.927502714056627E-01, -4.047098261778527E-02,  3.273803547284997E-02, -2.967280636481641E-03, -2.677500917314233E-02, -1.915053913100628E-03,  2.288173007552784E-03,  3.961848748878387E-01,  5.518423952533932E-03,
2453229.500000000, A.D. 2004-Aug-12 00:00:00.0000,  1.576961183571784E-01, -4.159602625058075E-01, -4.845454054962267E-02,  2.067154248008869E-02,  1.139675461549989E-02, -9.660353450529416E-04,  2.584432155627943E-03,  4.474805562576954E-01, -3.204533053246382E-03,
