API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:32 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : B.C. 4001-Feb-02 00:00:00.0000 TDB
Stop  time      : B.C. 0003-Jan-08 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
 260089.500000000, B.C. 4001-Feb-02 00:00:00.0000,  3.115676175266185E-01,  9.969943858279572E-02, -2.590550839658018E-02, -1.365795824660119E-02,  2.897895422735666E-02,  3.568529766796330E-03,  1.895263015285078E-03,  3.281546186026081E-01, -4.444967521822857E-03,
 260898.500000000, B.C. 3999-Apr-21 00:00:00.0000, -1.725880770406812E-01,  2.799070665361359E-01,  3.879897519348723E-02, -2.922746168512951E-02, -1.280315285749771E-02,  2.178168950655156E-03,  1.912385411546124E-03,  3.311192696137296E-01,  4.666382524783109E-03,
 261707.500000000, B.C. 3997-Jul-08 00:00:00.0000, -4.064693997967323E-01, -1.152090965332845E-01,  3.487545588626383E-02,  2.135608828015011E-03, -2.495770390482202E-02, -2.048329918507656E-03,  2.448348466117687E-03,  4.239183958244867E-01,  4.566582765103627E-03,
 262516.500000000, B.C. 3995-Sep-25 00:00:00.0000, -1.858123278311716E-01, -4.273860483646082E-01, -1.139926718353216E-02,  2.042249624212340E-02, -8.946259115444770E-03, -2.827223533388067E-03,  2.692376663127133E-03,  4.661705683578443E-01,  1.308170114277570E-04,
 263325.500000000, B.C. 3993-Dec-12 00:00:00.0000,  1.922949953855928E-01, -3.794607896375411E-01, -4.816178768377696E-02,  1.974909462478963E-02,  1.506339993548074E-02, -1.003518377224961E-03,  2.472619491525680E-03,  4.281207936033808E-01, -4.367894209576196E-03,
 264134.500000000, B.C. 3990-Mar-01 00:00:00.0000,  3.299741576747878E-01,  5.284087662848023E-02, -3.127494291774911E-02, -9.529245471024845E-03,  2.996310140318200E-02,  3.200972751796043E-03,  1.938486501765910E-03,  3.356385332922316E-01, -4.949486659723966E-03,
 264943.500000000, B.C. 3988-May-18 00:00:00.0000, -1.245514542404448E-01,  2.972102621330791E-01,  3.494811652663726E-02, -3.121416003956481E-02, -8.940046269328851E-03,  2.670599152763757E-03,  1.872091086280372E-03,  3.241425234667346E-01,  4.084709179341293E-03,
 265752.500000000, B.C. 3986-Aug-05 00:00:00.0000, -4.078094715316281E-01, -7.513632919810347E-02,  3.792978399031530E-02, -4.413898238564362E-04, -2.556041383806277E-02, -1.818380744044073E-03,  2.404951780944536E-03,  4.164044927109019E-01,  4.878784609942916E-03,
