API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:24:21 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Sun (10)                        {source: nep097_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-04 00:00:00.0000 TDB
Stop  time      : A.D. 2099-Dec-20 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000,  1.681849414897232E+01, -2.498731981842213E+01,  1.269833822908660E-01,  2.578981253102042E-03,  1.777973026158124E-03, -9.564152512626157E-05,  1.739614521260006E-01,  3.012049172783381E+01, -3.533622264537313E-05,
2451577.500000000, A.D. 2000-Feb-03 00:00:00.0000,  1.689577235839085E+01, -2.493387444742745E+01,  1.241055914123453E-01,  2.573475454046965E-03,  1.785781403110079E-03, -9.591401313498506E-05,  1.739553735219386E-01,  3.011943925016633E+01, -3.511012641221394E-05,
2451607.500000000, A.D. 2000-Mar-04 00:00:00.0000,  1.697287821621132E+01, -2.488019261942761E+01,  1.212266549572210E-01,  2.567774402720479E-03,  1.793436242204228E-03, -9.619999772848549E-05,  1.739493000806649E-01,  3.011838766640793E+01, -3.486836507277601E-05,
2451637.500000000, A.D. 2000-Apr-03 00:00:00.0000,  1.704981083983879E+01, -2.482627474862210E+01,  1.183466413576687E-01,  2.561841770285837E-03,  1.801033612939290E-03, -9.639147712304826E-05,  1.739432305495839E-01,  3.011733675967840E+01, -3.471240957586057E-05,
2451667.500000000, A.D. 2000-May-03 00:00:00.0000,  1.712656879891471E+01, -2.477212156824143E+01,  1.154657260436931E-01,  2.555724555334007E-03,  1.808655422622189E-03, -9.641945961951926E-05,  1.739371633747383E-01,  3.011628626091839E+01, -3.468464571336019E-05,
2451697.500000000, A.D. 2000-Jun-02 00:00:00.0000,  1.720315117783073E+01, -2.471773472325731E+01,  1.125840186347095E-01,  2.549580811532801E-03,  1.816368321824930E-03, -9.628831357340879E-05,  1.739311029551237E-01,  3.011523693179038E+01, -3.475073848369666E-05,
2451727.500000000, A.D. 2000-Jul-02 00:00:00.0000,  1.727955829986933E+01, -2.466311540850486E+01,  1.097015447080423E-01,  2.543552646088193E-03,  1.824230002870455E-03, -9.606552596567292E-05,  1.739250555916566E-01,  3.011418986326420E+01, -3.487616292996055E-05,
2451757.500000000, A.D. 2000-Aug-01 00:00:00.0000,  1.735579029183819E+01, -2.460826407580798E+01,  1.068183329292130E-01,  2.537703499973195E-03,  1.832193825085565E-03, -9.585574213094308E-05,  1.739190234430997E-01,  3.011314542911809E+01, -3.498468369661473E-05,
