API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:26:01 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Sun (10)                        {source: nep097_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1600-Jan-31 00:00:00.0000 TDB
Stop  time      : A.D. 1699-Dec-17 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305477.500000000, A.D. 1600-Jan-31 00:00:00.0000, -2.663131952605538E+01,  1.410324629943693E+01,  3.226739152993990E-01, -1.491604996756939E-03, -2.762038540596855E-03,  9.120231352811708E-05,  1.740562292043445E-01,  3.013690187024962E+01,  2.651659615680139E-05,
2305507.500000000, A.D. 1600-Mar-01 00:00:00.0000, -2.667592268333478E+01,  1.402030238120364E+01,  3.254048842237980E-01, -1.482332958118483E-03, -2.766645548985007E-03,  9.095060345000335E-05,  1.740607101245934E-01,  3.013767771754015E+01,  2.598036853638165E-05,
2305537.500000000, A.D. 1600-Mar-31 00:00:00.0000, -2.672025585769440E+01,  1.393721754057045E+01,  3.281323685010413E-01, -1.473037455530400E-03, -2.771383086150251E-03,  9.071111624717759E-05,  1.740651329269563E-01,  3.013844350203067E+01,  2.536076533540763E-05,
2305567.500000000, A.D. 1600-Apr-30 00:00:00.0000, -2.676431960016692E+01,  1.385399369654221E+01,  3.308564387770013E-01, -1.463867757445961E-03, -2.776259979925970E-03,  9.053594165447408E-05,  1.740695053857513E-01,  3.013920056980262E+01,  2.478800485478646E-05,
2305597.500000000, A.D. 1600-May-30 00:00:00.0000, -2.680811432614997E+01,  1.377063175297271E+01,  3.335771191290935E-01, -1.454884779438769E-03, -2.781180106450195E-03,  9.044814173314972E-05,  1.740738318453200E-01,  3.013994967305543E+01,  2.436241110108007E-05,
2305627.500000000, A.D. 1600-Jun-29 00:00:00.0000, -2.685164033851597E+01,  1.368713256939601E+01,  3.362944694509886E-01, -1.446106251570418E-03, -2.786016336366421E-03,  9.044017716738934E-05,  1.740781159655360E-01,  3.014069144547654E+01,  2.415885364849527E-05,
2305657.500000000, A.D. 1600-Jul-29 00:00:00.0000, -2.689489759282847E+01,  1.360349641737458E+01,  3.390084903563029E-01, -1.437428149065211E-03, -2.790670546239967E-03,  9.046524979970421E-05,  1.740823580872130E-01,  3.014142594607607E+01,  2.412873821481088E-05,
2305687.500000000, A.D. 1600-Aug-28 00:00:00.0000, -2.693788479711612E+01,  1.351972378662336E+01,  3.417190544157969E-01, -1.428688668335621E-03, -2.795064841471669E-03,  9.046245308245349E-05,  1.740865527020688E-01,  3.014215222112449E+01,  2.416081223251507E-05,
