API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:40 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Sun (10)                        {source: nep097_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1600-Mar-23 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-29 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305529.500000000, A.D. 1600-Mar-23 00:00:00.0000, -2.670845955666893E+01,  1.395938646768033E+01,  3.274052214350137E-01, -1.476156257067914E-03, -2.770661480721730E-03,  9.110901181434381E-05,  1.740639543706734E-01,  3.013823944133599E+01,  2.584606437997567E-05,
2305740.500000000, A.D. 1600-Oct-20 00:00:00.0000, -2.701316513625142E+01,  1.337139733032543E+01,  3.464988289086159E-01, -1.412725407962509E-03, -2.802885420533643E-03,  9.026387144099342E-05,  1.740938411931393E-01,  3.014341418423364E+01,  2.371882725410756E-05,
2305951.500000000, A.D. 1601-May-19 00:00:00.0000, -2.730442842793317E+01,  1.277685018509515E+01,  3.654153214178618E-01, -1.348283273757318E-03, -2.833207872612029E-03,  8.930453275287999E-05,  1.741214125591907E-01,  3.014818801828094E+01,  2.146944491116862E-05,
2306162.500000000, A.D. 1601-Dec-16 00:00:00.0000, -2.758209048182741E+01,  1.217616991773068E+01,  3.841449969716399E-01, -1.283390054059459E-03, -2.861303308359119E-03,  8.827144716638320E-05,  1.741468087877451E-01,  3.015258523894530E+01,  1.965915545571782E-05,
2306373.500000000, A.D. 1602-Jul-15 00:00:00.0000, -2.784604604004906E+01,  1.156974508209074E+01,  4.026788157168534E-01, -1.217927638334523E-03, -2.887283842323185E-03,  8.721109836967889E-05,  1.741702745798987E-01,  3.015664821490813E+01,  1.805403283287738E-05,
2306584.500000000, A.D. 1603-Feb-11 00:00:00.0000, -2.809622659456558E+01,  1.095800536946778E+01,  4.210085931996640E-01, -1.152520821861133E-03, -2.911318970679100E-03,  8.616806258991809E-05,  1.741922638926890E-01,  3.016045554639397E+01,  1.709240588382687E-05,
2306795.500000000, A.D. 1603-Sep-10 00:00:00.0000, -2.833257992231656E+01,  1.034132911980189E+01,  4.391269603380398E-01, -1.087076726961836E-03, -2.933369208002187E-03,  8.516647132238561E-05,  1.742131283737355E-01,  3.016406811930072E+01,  1.664731461889570E-05,
2307006.500000000, A.D. 1604-Apr-08 00:00:00.0000, -2.855511742128144E+01,  9.720100309827943E+00,  4.570271272558014E-01, -1.021792158429162E-03, -2.953979576622858E-03,  8.420118454598860E-05,  1.742335138938220E-01,  3.016759776268797E+01,  1.667018685321540E-05,
