API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:53 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Sun (10)                        {source: nep097_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-27 00:00:00.0000 TDB
Stop  time      : A.D. 2399-Oct-05 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451752.500000000, A.D. 2000-Jul-27 00:00:00.0000,  1.734309679003395E+01, -2.461742194500233E+01,  1.072992650210645E-01,  2.538970404257773E-03,  1.831261814047116E-03, -9.571706902559654E-05,  1.739200260413975E-01,  3.011331902363209E+01, -3.512086032165706E-05,
2451963.500000000, A.D. 2001-Feb-23 00:00:00.0000,  1.787448142206483E+01, -2.422540297460008E+01,  8.699746926325097E-02,  2.497220542024641E-03,  1.884625703073164E-03, -9.594939955655542E-05,  1.738780971225988E-01,  3.010605925638826E+01, -3.413406830184753E-05,
2452174.500000000, A.D. 2001-Sep-22 00:00:00.0000,  1.839708058098909E+01, -2.382218136247014E+01,  6.666006934823299E-02,  2.455218902786993E-03,  1.937119219943425E-03, -9.627592562302595E-05,  1.738376660204279E-01,  3.009905882805426E+01, -3.269082748330037E-05,
2452385.500000000, A.D. 2002-Apr-21 00:00:00.0000,  1.891076899477869E+01, -2.340794872570704E+01,  4.629351545286169E-02,  2.412885511452140E-03,  1.988626506395677E-03, -9.663667657792693E-05,  1.737990977527445E-01,  3.009238093951334E+01, -3.072606423902083E-05,
2452596.500000000, A.D. 2002-Nov-18 00:00:00.0000,  1.941545884554102E+01, -2.298285758800709E+01,  2.590410696690745E-02,  2.370068443240389E-03,  2.039773791957449E-03, -9.694837231362914E-05,  1.737627302065348E-01,  3.008608409408359E+01, -2.879655623361959E-05,
2452807.500000000, A.D. 2003-Jun-17 00:00:00.0000,  1.991100464134084E+01, -2.254704661946846E+01,  5.498635609583442E-03,  2.326793482123796E-03,  2.090437296814681E-03, -9.712798172560116E-05,  1.737286519784678E-01,  3.008018363180275E+01, -2.675932585982299E-05,
2453018.500000000, A.D. 2004-Jan-14 00:00:00.0000,  2.039725474109791E+01, -2.210060041645180E+01, -1.491549642419905E-02,  2.282473107879272E-03,  2.140735736455248E-03, -9.713281934561148E-05,  1.736967105909701E-01,  3.007465315199735E+01, -2.506798331030645E-05,
2453229.500000000, A.D. 2004-Aug-12 00:00:00.0000,  2.087402840646758E+01, -2.164364089043069E+01, -3.533039960704228E-02,  2.237288951339241E-03,  2.190704540896953E-03, -9.696468180280996E-05,  1.736668208249711E-01,  3.006947789944274E+01, -2.361741889557032E-05,
