API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:28:12 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Sun (10)                        {source: nep097_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1601-Aug-26 00:00:00.0000 TDB
Stop  time      : A.D. 2399-Jan-15 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2306050.500000000, A.D. 1601-Aug-26 00:00:00.0000, -2.743639957558498E+01,  1.249575405087864E+01,  3.742268399185596E-01, -1.317592370813747E-03, -2.846362786928933E-03,  8.868600756932818E-05,  1.741335477673089E-01,  3.015028916443299E+01,  2.042203042731903E-05,
2306859.500000000, A.D. 1603-Nov-13 00:00:00.0000, -2.840154053272885E+01,  1.015336393283197E+01,  4.445798085403954E-01, -1.067445290478620E-03, -2.939667181289613E-03,  8.494536307054658E-05,  1.742193462062644E-01,  3.016514470362996E+01,  1.681891299372864E-05,
2307668.500000000, A.D. 1606-Jan-30 00:00:00.0000, -2.916391260917565E+01,  7.745212614120724E+00,  5.117096110287993E-01, -8.183359715251371E-04, -3.010064921886367E-03,  8.106844150847566E-05,  1.743005085898277E-01,  3.017919753471898E+01,  1.967479275004840E-05,
2308477.500000000, A.D. 1608-Apr-18 00:00:00.0000, -2.972536783203179E+01,  5.287288939533533E+00,  5.753119513501714E-01, -5.694030340802966E-04, -3.065184635250181E-03,  7.617576110504194E-05,  1.744057265949729E-01,  3.019741546757058E+01,  2.526781272760555E-05,
2309286.500000000, A.D. 1610-Jul-06 00:00:00.0000, -3.008368126529409E+01,  2.789610082845124E+00,  6.350101041425595E-01, -3.138357915333619E-04, -3.106481007355464E-03,  7.109693090422469E-05,  1.745327850853017E-01,  3.021941496320669E+01,  2.715514024153328E-05,
2310095.500000000, A.D. 1612-Sep-22 00:00:00.0000, -3.023034960823994E+01,  2.665968768732241E-01,  6.902647506857179E-01, -4.800855838908018E-05, -3.125841851876601E-03,  6.552577088180249E-05,  1.746482342806824E-01,  3.023940437173342E+01,  2.193184596918624E-05,
2310904.500000000, A.D. 1614-Dec-10 00:00:00.0000, -3.016015862359299E+01, -2.259857325313187E+00,  7.405836785786831E-01,  2.210110424451517E-04, -3.115586135072593E-03,  5.885419022935043E-05,  1.747312021135990E-01,  3.025376980668755E+01,  1.383756495971828E-05,
2311713.500000000, A.D. 1617-Feb-26 00:00:00.0000, -2.987543750958620E+01, -4.766572728829501E+00,  7.856389849992534E-01,  4.813155846420150E-04, -3.077307102878064E-03,  5.232340487471312E-05,  1.747873778718754E-01,  3.026349633771951E+01,  1.089767508904285E-05,
