API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:23:49 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Jan-02 00:00:00.0000 TDB
Stop  time      : A.D. 1899-Dec-19 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2378497.500000000, A.D. 1800-Jan-02 00:00:00.0000, -5.690780499849777E+00,  7.106499308793604E+00,  9.846961618258980E-02, -4.670178318692332E-03, -3.501146194093864E-03,  2.468636644276250E-04,  5.258482142770011E-02,  9.104779590339659E+00,  1.889529836211633E-04,
2378527.500000000, A.D. 1800-Feb-01 00:00:00.0000, -5.829892290273683E+00,  7.000206480999834E+00,  1.058620654027528E-01, -4.602181852225602E-03, -3.584964915854727E-03,  2.459037051298578E-04,  5.261802820262668E-02,  9.110529165186616E+00,  1.932666810889222E-04,
2378557.500000000, A.D. 1800-Mar-03 00:00:00.0000, -5.966940554522489E+00,  6.891436667621969E+00,  1.132165098106580E-01, -4.533093475606429E-03, -3.667149410062442E-03,  2.448173002049636E-04,  5.265204553291049E-02,  9.116419083343164E+00,  1.979383276106966E-04,
2378587.500000000, A.D. 1800-Apr-02 00:00:00.0000, -6.101880901041310E+00,  6.780233020749127E+00,  1.205308516130497E-01, -4.462662137076239E-03, -3.747536091553451E-03,  2.434802702668556E-04,  5.268685948496816E-02,  9.122446932284127E+00,  2.028854544938078E-04,
2378617.500000000, A.D. 1800-May-02 00:00:00.0000, -6.234669581692462E+00,  6.666639045036986E+00,  1.278028181315858E-01, -4.390673730891024E-03, -3.826138248674098E-03,  2.419008070647642E-04,  5.272245249050306E-02,  9.128609670153242E+00,  2.078994486814958E-04,
2378647.500000000, A.D. 1800-Jun-01 00:00:00.0000, -6.365265335803752E+00,  6.550699237828175E+00,  1.350302329130822E-01, -4.317017443675139E-03, -3.903056282594955E-03,  2.401126788860172E-04,  5.275881352931761E-02,  9.134905388862439E+00,  2.127702544150438E-04,
2378677.500000000, A.D. 1800-Jul-01 00:00:00.0000, -6.493627538174385E+00,  6.432457493000347E+00,  1.422109019153407E-01, -4.241472439315446E-03, -3.978584768787757E-03,  2.382410926414794E-04,  5.279592460402566E-02,  9.141330972260910E+00,  2.170740030636549E-04,
2378707.500000000, A.D. 1800-Jul-31 00:00:00.0000, -6.619715033212653E+00,  6.311960170452332E+00,  1.493419388506148E-01, -4.164366901632553E-03, -4.052953479693997E-03,  2.364764982952149E-04,  5.283376846911488E-02,  9.147883434380757E+00,  2.208332800985541E-04,
