API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 10:20:37 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2415020.500000000, A.D. 1900-Jan-01 00:00:00.0000, -3.669668301916346E-01, -1.005835162253679E+01,  1.915839287938125E-01,  5.273178648010184E-03, -2.278387865106885E-04, -2.049162460889196E-04,  5.814137352835647E-02,  1.006686676274308E+01,  3.152344443031287E-05,
2415050.500000000, A.D. 1900-Jan-31 00:00:00.0000, -2.087061987995842E-01, -1.006386273836088E+01,  1.854072511280285E-01,  5.275772688593485E-03, -1.393639713879029E-04, -2.068165582281563E-04,  5.814638211469984E-02,  1.006773397258572E+01,  2.613379796499349E-05,
2415080.500000000, A.D. 1900-Mar-02 00:00:00.0000, -5.039072788987842E-02, -1.006673499219071E+01,  1.791825181170447E-01,  5.277355584615278E-03, -5.105617506626804E-05, -2.086131143349595E-04,  5.815055012628451E-02,  1.006845564142053E+01,  2.092270942319394E-05,
2415110.500000000, A.D. 1900-Apr-01 00:00:00.0000,  1.079387880378906E-01, -1.006696776334052E+01,  1.729109621653609E-01,  5.277763559299113E-03,  3.690212086953832E-05, -2.101842586465005E-04,  5.815387416768001E-02,  1.006903118134695E+01,  1.607302387284129E-05,
2415140.500000000, A.D. 1900-May-01 00:00:00.0000,  2.662415182259623E-01, -1.006455911732343E+01,  1.665937951196615E-01,  5.276551923043648E-03,  1.245735790442137E-04, -2.115097877369488E-04,  5.815634037102099E-02,  1.006945819121852E+01,  1.150238908575693E-05,
2415170.500000000, A.D. 1900-May-31 00:00:00.0000,  4.244763218594619E-01, -1.005950840322904E+01,  1.602325688036136E-01,  5.273634560421325E-03,  2.121853769879986E-04, -2.127204776494517E-04,  5.815793936290814E-02,  1.006973504808147E+01,  6.948312868263366E-06,
2415200.500000000, A.D. 1900-Jun-30 00:00:00.0000,  5.826017271937415E-01, -1.005181562636039E+01,  1.538287374041586E-01,  5.268981642098040E-03,  2.998391731190684E-04, -2.138744847743835E-04,  5.815866246452289E-02,  1.006986024924494E+01,  2.273087904185331E-06,
2415230.500000000, A.D. 1900-Jul-30 00:00:00.0000,  7.405751657702023E-01, -1.004148224924704E+01,  1.473842494534420E-01,  5.262599171696718E-03,  3.877107274481284E-04, -2.150892234749312E-04,  5.815850589103825E-02,  1.006983313938646E+01, -2.734990435071328E-06,
