API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Apr 13 12:00:20 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2199-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2488069.500000000, A.D. 2100-Jan-01 00:00:00.0000, -9.153087247698588E+00, -3.078992753104979E+00,  4.182399691810392E-01,  1.475845250342279E-03, -5.306942349010840E-03,  3.299025118069638E-05,  5.582692834629947E-02,  9.666133001851158E+00,  2.943570644391134E-04,
2488099.500000000, A.D. 2100-Jan-31 00:00:00.0000, -9.107450508515717E+00, -3.237714967145562E+00,  4.191561205857194E-01,  1.565698006666887E-03, -5.275419643180069E-03,  2.874185502233433E-05,  5.587769805818849E-02,  9.674923504967161E+00,  2.928018348354522E-04,
2488129.500000000, A.D. 2100-Mar-02 00:00:00.0000, -9.059114204442347E+00, -3.395478963671229E+00,  4.199481724913797E-01,  1.655177327090721E-03, -5.242260455720407E-03,  2.437619683102781E-05,  5.592812991126476E-02,  9.683655509643131E+00,  2.907767011407219E-04,
2488159.500000000, A.D. 2100-Apr-01 00:00:00.0000, -9.008098689086875E+00, -3.552240674552286E+00,  4.206163609276334E-01,  1.744396154494424E-03, -5.207632204226725E-03,  1.998067515987592E-05,  5.597820369705137E-02,  9.692325516889762E+00,  2.882150847513210E-04,
2488189.500000000, A.D. 2100-May-01 00:00:00.0000, -8.954426120410114E+00, -3.707954702003270E+00,  4.211605818217594E-01,  1.833107944462605E-03, -5.171826921617365E-03,  1.572406899163530E-05,  5.602790160368042E-02,  9.700930442677731E+00,  2.854460885930995E-04,
2488219.500000000, A.D. 2100-May-31 00:00:00.0000, -8.898119846593259E+00, -3.862576763412641E+00,  4.215808041281318E-01,  1.921005685811122E-03, -5.134880086430200E-03,  1.163356626076906E-05,  5.607720970542221E-02,  9.709467875841675E+00,  2.827584590367931E-04,
2488249.500000000, A.D. 2100-Jun-30 00:00:00.0000, -8.839203463664884E+00, -4.016063051454901E+00,  4.218769448553070E-01,  2.007902157795026E-03, -5.096737684870782E-03,  7.688861153675516E-06,  5.612611167609876E-02,  9.717934989591512E+00,  2.802867015940781E-04,
2488279.500000000, A.D. 2100-Jul-30 00:00:00.0000, -8.777702178517250E+00, -4.168371219257246E+00,  4.220490293679279E-01,  2.093503154738747E-03, -5.057351041632637E-03,  3.854574764146506E-06,  5.617459848054269E-02,  9.726330219536504E+00,  2.782546020945098E-04,
