API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:26:55 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2100-Jan-19 00:00:00.0000 TDB
Stop  time      : A.D. 2199-Dec-06 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2488087.500000000, A.D. 2100-Jan-19 00:00:00.0000, -9.126030239264633E+00, -3.174340710233305E+00,  4.188056181537341E-01,  1.530717591820642E-03, -5.288258045555255E-03,  3.037970896866047E-05,  5.585743370264876E-02,  9.671414840570852E+00,  2.926232623604684E-04,
2488117.500000000, A.D. 2100-Feb-18 00:00:00.0000, -9.078772917678670E+00, -3.332492585013794E+00,  4.196471159951571E-01,  1.620084688129678E-03, -5.256279834046440E-03,  2.635443207163578E-05,  5.590801032206891E-02,  9.680171910762260E+00,  2.912336855358844E-04,
2488147.500000000, A.D. 2100-Mar-20 00:00:00.0000, -9.028827289891915E+00, -3.489659237143699E+00,  4.203642224387828E-01,  1.708797758379738E-03, -5.222431035053381E-03,  2.213044277453238E-05,  5.595823080471125E-02,  9.688867317782091E+00,  2.895454775477492E-04,
2488177.500000000, A.D. 2100-Apr-19 00:00:00.0000, -8.976214223325178E+00, -3.645796400526607E+00,  4.209572937247747E-01,  1.797164091554494E-03, -5.186829013713325E-03,  1.774124441312291E-05,  5.600807471662558E-02,  9.697497523601543E+00,  2.872762759193888E-04,
2488207.500000000, A.D. 2100-May-19 00:00:00.0000, -8.920957332456892E+00, -3.800859844816127E+00,  4.214266454253673E-01,  1.885150516801573E-03, -5.149889378704105E-03,  1.337856864896281E-05,  5.605753191329026E-02,  9.706060771751151E+00,  2.845952203865672E-04,
2488237.500000000, A.D. 2100-Jun-18 00:00:00.0000, -8.863080503920193E+00, -3.954805948744284E+00,  4.217724210958920E-01,  1.972543568148744E-03, -5.111718608756250E-03,  9.109741651811119E-06,  5.610659025784862E-02,  9.714554960799310E+00,  2.817303488486950E-04,
2488267.500000000, A.D. 2100-Jul-18 00:00:00.0000, -8.802609066234607E+00, -4.107591389402192E+00,  4.219945899456726E-01,  2.059167512489745E-03, -5.072467959520028E-03,  5.001467774000295E-06,  5.615524113248976E-02,  9.722978598618335E+00,  2.788949563185026E-04,
2488297.500000000, A.D. 2100-Aug-17 00:00:00.0000, -8.739568786855280E+00, -4.259175280433086E+00,  4.220931962131128E-01,  2.144722711520652E-03, -5.032244216010869E-03,  1.100489851573167E-06,  5.620347947716874E-02,  9.731330809088586E+00,  2.763982713070590E-04,
