API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:38 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1750-Jun-05 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-29 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2360389.500000000, A.D. 1750-Jun-05 00:00:00.0000, -4.567891130930541E+00, -8.875646561283041E+00,  3.391781844625685E-01,  4.644693979823989E-03, -2.571137311740660E-03, -1.375227709547324E-04,  5.768519161055941E-02,  9.987881312153478E+00,  1.559294539817234E-04,
2360600.500000000, A.D. 1751-Jan-02 00:00:00.0000, -3.560016130048666E+00, -9.358678247393666E+00,  3.080187627239073E-01,  4.896874555218061E-03, -2.003595997541900E-03, -1.572579991048374E-04,  5.785716082661381E-02,  1.001765685889849E+01,  1.267381663126863E-04,
2360811.500000000, A.D. 1751-Aug-01 00:00:00.0000, -2.505846604870838E+00, -9.719436485938125E+00,  2.728336061059716E-01,  5.084457023787098E-03, -1.413905075670839E-03, -1.753729184272554E-04,  5.799182713600463E-02,  1.004097360757157E+01,  9.497521067008109E-05,
2361022.500000000, A.D. 1752-Feb-28 00:00:00.0000, -1.419313124033624E+00, -9.954151631925015E+00,  2.341044086601415E-01,  5.204572750341441E-03, -8.090980386622803E-04, -1.914289047886179E-04,  5.808758659675867E-02,  1.005755384422891E+01,  6.185915695505658E-05,
2361233.500000000, A.D. 1752-Sep-26 00:00:00.0000, -3.144864685835477E-01, -1.006046634014028E+01,  1.923473655078982E-01,  5.256636557436372E-03, -1.968992058561344E-04, -2.044638835054910E-04,  5.814340324421805E-02,  1.006721819715037E+01,  2.865028554645793E-05,
2361444.500000000, A.D. 1753-Apr-25 00:00:00.0000,  7.944382434851788E-01, -1.003737307363293E+01,  1.481091312167949E-01,  5.242320051007322E-03,  4.156626520681697E-04, -2.144203344509903E-04,  5.815861693002771E-02,  1.006985236519150E+01, -3.894713298958302E-06,
2361655.500000000, A.D. 1753-Nov-22 00:00:00.0000,  1.893301632178519E+00, -9.885214331341093E+00,  1.019594991489192E-01,  5.161919846521942E-03,  1.024175132637807E-03, -2.220628714431131E-04,  5.813295156753715E-02,  1.006540854543063E+01, -3.713320187895564E-05,
2361866.500000000, A.D. 1754-Jun-21 00:00:00.0000,  2.967980809180169E+00, -9.605719775340834E+00,  5.448754021614578E-02,  5.014590951999932E-03,  1.622215581828359E-03, -2.273163675977561E-04,  5.806672105035408E-02,  1.005394108686114E+01, -7.079059707856932E-05,
