API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Apr 13 11:59:50 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura184_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1899-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -1.827115638972852E+01,  9.817349703869337E-01,  2.420130819728843E-01, -2.508486033089763E-04, -4.110763800534321E-03, -1.221497547562552E-05,  1.056868614940360E-01,  1.829911281187818E+01,  2.976413692599422E-05,
2378526.500000000, A.D. 1800-Jan-31 00:00:00.0000, -1.827828059104153E+01,  8.583859588499574E-01,  2.416443087270635E-01, -2.242625425142385E-04, -4.112422675678126E-03, -1.234097895003531E-05,  1.056921053610661E-01,  1.830002075930890E+01,  3.093470092715564E-05,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -1.828460588756309E+01,  7.349895101208227E-01,  2.412651594173470E-01, -1.975362778806229E-04, -4.113932309367816E-03, -1.283428026470565E-05,  1.056975447952635E-01,  1.830096256814496E+01,  3.196987207411648E-05,
2378586.500000000, A.D. 1800-Apr-01 00:00:00.0000, -1.829013324102733E+01,  6.115521550247122E-01,  2.408752118234496E-01, -1.709494731945275E-04, -4.115195312491596E-03, -1.315994228610793E-05,  1.057031873069746E-01,  1.830193953876253E+01,  3.315835326296739E-05,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -1.829486232935334E+01,  4.880795694886909E-01,  2.404748760246928E-01, -1.442949898838913E-04, -4.116308249095335E-03, -1.368308751192122E-05,  1.057090325183686E-01,  1.830295160574226E+01,  3.428302666057965E-05,
2378646.500000000, A.D. 1800-May-31 00:00:00.0000, -1.829879417132645E+01,  3.645773363569721E-01,  2.400638803035834E-01, -1.179002470037883E-04, -4.117156905213271E-03, -1.389102061734021E-05,  1.057150874479673E-01,  1.830399998430350E+01,  3.567938827872418E-05,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -1.830192822966389E+01,  2.410500517725823E-01,  2.396431575267316E-01, -9.105214276876785E-05, -4.117961973105827E-03, -1.413607914238147E-05,  1.057213498801542E-01,  1.830508429082415E+01,  3.662409907567284E-05,
2378706.500000000, A.D. 1800-Jul-30 00:00:00.0000, -1.830426325456156E+01,  1.175023419053654E-01,  2.392114779347502E-01, -6.446029707680589E-05, -4.118542659757270E-03, -1.457191419611034E-05,  1.057278132055512E-01,  1.830620338092586E+01,  3.782729033770057E-05,
