API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 10:20:39 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura184_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2415020.500000000, A.D. 1900-Jan-01 00:00:00.0000, -6.479284811082752E+00, -1.785343203465369E+01,  1.776413785456968E-02,  3.674237186266362E-03, -1.528459134446180E-03, -5.355736338888084E-05,  1.096932692488663E-01,  1.899280081093149E+01,  1.832726365928924E-04,
2415050.500000000, A.D. 1900-Jan-31 00:00:00.0000, -6.368927596290646E+00, -1.789893424470604E+01,  1.615839622082703E-02,  3.682848322898729E-03, -1.505016219098715E-03, -5.353503842933354E-05,  1.097250214081719E-01,  1.899829852689108E+01,  1.832546730914351E-04,
2415080.500000000, A.D. 1900-Mar-02 00:00:00.0000, -6.258318211175709E+00, -1.794373218314418E+01,  1.455182785731410E-02,  3.691150501742305E-03, -1.481508330632163E-03, -5.345868504658487E-05,  1.097567753314922E-01,  1.900379654828033E+01,  1.832589807139982E-04,
2415110.500000000, A.D. 1900-Apr-01 00:00:00.0000, -6.147460031026461E+00, -1.798782507760762E+01,  1.294491249698588E-02,  3.699551287376834E-03, -1.458026525761163E-03, -5.356473688253350E-05,  1.097885297697925E-01,  1.900929465883563E+01,  1.832361012706650E-04,
2415140.500000000, A.D. 1900-May-01 00:00:00.0000, -6.036356955823437E+00, -1.803121082716179E+01,  1.133662365141695E-02,  3.707364552609603E-03, -1.434361749482960E-03, -5.368278330379703E-05,  1.098202771686309E-01,  1.901479155054586E+01,  1.832097244744585E-04,
2415170.500000000, A.D. 1900-May-31 00:00:00.0000, -5.925014362239613E+00, -1.807388661748419E+01,  9.728110497546943E-03,  3.715315041163695E-03, -1.410649211036342E-03, -5.351532446952738E-05,  1.098520086051633E-01,  1.902028567846849E+01,  1.830728714620050E-04,
2415200.500000000, A.D. 1900-Jun-30 00:00:00.0000, -5.813436962998381E+00, -1.811585072130323E+01,  8.119053525538114E-03,  3.723025649143166E-03, -1.386901626491202E-03, -5.362714158652346E-05,  1.098837196054005E-01,  1.902577626795629E+01,  1.829566613771759E-04,
2415230.500000000, A.D. 1900-Jul-30 00:00:00.0000, -5.701631100932664E+00, -1.815710122161769E+01,  6.509814944265508E-03,  3.730639128729696E-03, -1.363112869495655E-03, -5.358144534148419E-05,  1.099154072625675E-01,  1.903126281571678E+01,  1.828098058229737E-04,
