API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:24:52 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura184_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2200-Jan-05 00:00:00.0000 TDB
Stop  time      : A.D. 2299-Dec-22 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2524597.500000000, A.D. 2200-Jan-05 00:00:00.0000,  1.689693559625983E+00,  1.900501094482530E+01,  4.832505910752526E-02, -3.944903501107653E-03,  1.698108758237738E-04,  5.136417826018048E-05,  1.101971078060236E-01,  1.908003775283762E+01, -1.800802678246782E-04,
2524627.500000000, A.D. 2200-Feb-04 00:00:00.0000,  1.571311354748903E+00,  1.900974226609451E+01,  4.986785343777603E-02, -3.947364979619319E-03,  1.456391165709910E-04,  5.147034532469123E-05,  1.101659202791970E-01,  1.907463779996122E+01, -1.798938813038802E-04,
2524657.500000000, A.D. 2200-Mar-06 00:00:00.0000,  1.452859598645151E+00,  1.901374710688583E+01,  5.140943155256986E-02, -3.949459389496791E-03,  1.213560172468259E-04,  5.129742493341749E-05,  1.101347616642686E-01,  1.906924285302480E+01, -1.797627843236537E-04,
2524687.500000000, A.D. 2200-Apr-05 00:00:00.0000,  1.334341336369582E+00,  1.901702434628020E+01,  5.294896061390020E-02, -3.951719372194118E-03,  9.709844255116978E-05,  5.125301730862734E-05,  1.101036315870774E-01,  1.906385284724441E+01, -1.795914653511209E-04,
2524717.500000000, A.D. 2200-May-05 00:00:00.0000,  1.215760743246374E+00,  1.901957198107616E+01,  5.448696482709690E-02, -3.953573474208245E-03,  7.271227871823055E-05,  5.117623179408727E-05,  1.100725250680847E-01,  1.905846692043965E+01, -1.794926414192630E-04,
2524747.500000000, A.D. 2200-Jun-04 00:00:00.0000,  1.097122556561370E+00,  1.902138845994006E+01,  5.602264362951510E-02, -3.955566676375545E-03,  4.835898237817810E-05,  5.112141758157774E-05,  1.100414397732863E-01,  1.905308466849019E+01, -1.793422187423231E-04,
2524777.500000000, A.D. 2200-Jul-04 00:00:00.0000,  9.784314932664331E-01,  1.902247289221124E+01,  5.755696223503445E-02, -3.957091876695213E-03,  2.392383209237785E-05,  5.120459892761575E-05,  1.100103770037132E-01,  1.904770631666261E+01, -1.792187273645284E-04,
2524807.500000000, A.D. 2200-Aug-03 00:00:00.0000,  8.596931610926501E-01,  1.902282409242830E+01,  5.908902502372274E-02, -3.958676433772618E-03, -5.182589756838292E-07,  5.100949513143338E-05,  1.099793363712073E-01,  1.904233179774941E+01, -1.790795235219293E-04,
